DATE,total_vol_m,baseline,overnight_model,robustARMA_model,combined_model,combinedVIX_model,overnightVIX_model,robustVIX_model,baseline_error,overnight_error,robustARMA_error,combined_error,combinedVIX_error,overnightVIX_error,robustVIX_error
2021-01-04,2276821.0,1828462.0,1915181.0,1858098.0,1858098.0,1861094.0,1918269.0,1918269.0,0.1969232539580406,0.15883549914551912,0.18390685960819933,0.18390685960819933,0.1825909898055227,0.15747922212593787,0.15747922212593787
2021-01-05,2273988.0,2136317.0,2194678.0,2252100.0,2252100.0,2288066.0,2229728.0,2229728.0,0.060541656332399295,0.034877053001159196,0.009625380608868648,0.009625380608868648,0.006190885791833554,0.0194636031500606,0.0194636031500606
2021-01-06,2696908.0,2230684.0,2335924.0,2420359.0,2420359.0,2445817.0,2360494.0,2360494.0,0.17287352775845524,0.13385106203103703,0.10254298626427004,0.10254298626427004,0.09310328717182789,0.12474062889798243,0.12474062889798243
2021-01-07,2712257.0,2503477.0,2568863.0,2699059.0,2699059.0,2725230.0,2593772.0,2593772.0,0.07697648121103567,0.052868883737787385,0.004866058046859129,0.004866058046859129,0.004783101306402748,0.04368501952432974,0.04368501952432974
2021-01-08,2524717.0,2617131.0,2688364.0,2755435.0,2755435.0,2757460.0,2690340.0,2690340.0,0.0366037064748247,0.06481795781467785,0.09138370756009485,0.09138370756009485,0.09218577765349542,0.0656006197922381,0.0656006197922381
2021-01-11,2138325.0,2571445.0,2670246.0,2649872.0,2649872.0,2642960.0,2663280.0,2663280.0,0.2025510621631417,0.24875591876819472,0.23922790034255784,0.23922790034255784,0.23599546373914163,0.24549822875381433,0.24549822875381433
2021-01-12,2814490.0,2329134.0,2497463.0,2385812.0,2385812.0,2399754.0,2512058.0,2512058.0,0.17244900497070517,0.11264101133775568,0.1523110758965212,0.1523110758965212,0.14735742532394858,0.1074553471499277,0.1074553471499277
2021-01-13,3250164.0,2532087.0,2688877.0,2761496.0,2761496.0,2770756.0,2697894.0,2697894.0,0.2209356204794589,0.17269497785342525,0.15035179763236564,0.15035179763236564,0.14750271063244808,0.1699206563114969,0.1699206563114969
2021-01-14,2878011.0,2779047.0,2940292.0,3086753.0,3086753.0,3085552.0,2939148.0,2939148.0,0.034386248002526744,0.021640292549264056,0.07252995210928659,0.07252995210928659,0.07211265002114307,0.021242795805853417,0.021242795805853417
2021-01-15,2868820.0,2708895.0,2921455.0,2917684.0,2917684.0,2928579.0,2932364.0,2932364.0,0.05574591643951172,0.018347264729052362,0.01703278699953291,0.01703278699953291,0.020830515682406008,0.0221498734671398,0.0221498734671398
2021-01-19,2351993.0,2674965.0,2914797.0,2888846.0,2888846.0,2910144.0,2936286.0,2936286.0,0.13731843589670548,0.23928812713303144,0.22825450585949872,0.22825450585949872,0.2373098049186371,0.24842463391685266,0.24842463391685266
2021-01-20,2258649.0,2425398.0,2698226.0,2555830.0,2555830.0,2565236.0,2708156.0,2708156.0,0.0738268761547279,0.19461943843421445,0.1315746714075538,0.1315746714075538,0.13573910775866457,0.1990158718773922,0.1990158718773922
2021-01-21,1866210.0,2219578.0,2562666.0,2447937.0,2447937.0,2443499.0,2558019.0,2558019.0,0.18935060898827036,0.3731927275065507,0.31171572331088143,0.31171572331088143,0.3093376415301601,0.3707026540421496,0.3707026540421496
2021-01-22,1709312.0,1999337.0,2324716.0,2160512.0,2160512.0,2154757.0,2318524.0,2318524.0,0.16967352946682643,0.3600302343867006,0.26396585292796165,0.26396585292796165,0.2605990012355848,0.35640772427737005,0.35640772427737005
2021-01-25,2893601.0,1864012.0,2148345.0,2007601.0,2007601.0,2006209.0,2146855.0,2146855.0,0.35581581565668524,0.2575531318934435,0.30619287178847393,0.30619287178847393,0.3066739332755276,0.25806806121507425,0.25806806121507425
2021-01-26,2230376.0,2311824.0,2537557.0,2443976.0,2443976.0,2452917.0,2546840.0,2546840.0,0.03651760958690373,0.13772610537416113,0.09576860583148313,0.09576860583148313,0.09977734695853972,0.1418881838757232,0.1418881838757232
2021-01-27,2951370.0,2373626.0,2477822.0,2451566.0,2451566.0,2459113.0,2485450.0,2485450.0,0.19575451400536023,0.16045023158736452,0.16934643911132796,0.16934643911132796,0.1667893215693051,0.15786566916381206,0.15786566916381206
2021-01-28,1953466.0,2647304.0,2728362.0,2851449.0,2851449.0,2997736.0,2868334.0,2868334.0,0.35518304388200256,0.3966774952827436,0.45968703832060553,0.45968703832060553,0.5345729078468732,0.4683306492152922,0.4683306492152922
2021-01-29,4616065.0,2305289.0,2440166.0,2285159.0,2285159.0,2342764.0,2501678.0,2501678.0,0.5005943373847639,0.471375294758631,0.5049551945217409,0.5049551945217409,0.49247595083691414,0.4580496591794093,0.4580496591794093
2021-02-01,2472558.0,3178296.0,3208184.0,2695513.0,2695513.0,2790330.0,3321034.0,3321034.0,0.28542828924538877,0.29751617555584137,0.09017179778998106,0.09017179778998106,0.12851953321216328,0.3431571675972818,0.3431571675972818
