DATE,total_vol_m,baseline,overnight_model,robustARMA_model,combined_model,combinedVIX_model,overnightVIX_model,robustVIX_model,baseline_error,overnight_error,robustARMA_error,combined_error,combinedVIX_error,overnightVIX_error,robustVIX_error
2021-01-04,2793750.0,2539899.0,2343647.0,2279100.0,2279100.0,2281642.0,2346261.0,2346261.0,0.09086389261744966,0.16111069351230425,0.18421476510067114,0.18421476510067114,0.1833048769574944,0.160175033557047,0.160175033557047
2021-01-05,5854985.0,2786755.0,2510406.0,2554788.0,2554788.0,2599530.0,2554371.0,2554371.0,0.5240372093182134,0.571236134678398,0.5636559273849548,0.5636559273849548,0.5560142340245108,0.5637271487458977,0.5637271487458977
2021-01-06,4367576.0,3975747.0,3529862.0,3409237.0,3409237.0,3448178.0,3570181.0,3570181.0,0.08971314981124541,0.19180295889527738,0.21942125334510493,0.21942125334510493,0.21050532377685013,0.18257152251042683,0.18257152251042683
2021-01-07,3193711.0,3980903.0,3762262.0,4051134.0,4051134.0,4093206.0,3801335.0,3801335.0,0.24648191398658176,0.17802205647286182,0.268472319505428,0.268472319505428,0.2816457093331238,0.19025641330727797,0.19025641330727797
2021-01-08,2702600.0,3404256.0,3411190.0,3344880.0,3344880.0,3343513.0,3409796.0,3409796.0,0.259622585658255,0.26218826315399985,0.2376526307999704,0.2376526307999704,0.23714682157922,0.26167246355361506,0.26167246355361506
2021-01-11,2117727.0,2957220.0,3682108.0,2848539.0,3465012.0,4137231.0,4396444.0,3024729.0,0.3964122854362248,0.7387075860108503,0.34509263941952856,0.6361939003469286,0.9536186675619662,1.0760201857935419,0.42829033203996547
2021-01-12,4031303.0,2510302.0,2566047.0,2331610.0,2331610.0,2351324.0,2587743.0,2587743.0,0.37729761320347294,0.363469577950355,0.4216237281097452,0.4216237281097452,0.41673349782936187,0.3580876952191388,0.3580876952191388
2021-01-13,2369666.0,3320077.0,3061006.0,2822292.0,2822292.0,2838124.0,3078178.0,3078178.0,0.4010738222179835,0.29174575657497726,0.1910083530759187,0.1910083530759187,0.1976894634096113,0.2989923474447454,0.2989923474447454
2021-01-14,2938177.0,2765530.0,2710591.0,2314151.0,2314151.0,2317328.0,2714312.0,2714312.0,0.05875990452583354,0.07745823345564273,0.21238543491423423,0.21238543491423423,0.21130415220049711,0.07619180192343757,0.07619180192343757
2021-01-15,2751689.0,2921584.0,2768157.0,2649247.0,2649247.0,2665282.0,2784912.0,2784912.0,0.061742079137576955,0.005984687949837354,0.0372287711292955,0.0372287711292955,0.03140144107855212,0.012073675477134225,0.012073675477134225
2021-01-19,1845662.0,2903872.0,2730581.0,2666369.0,2666369.0,2687941.0,2752672.0,2752672.0,0.573349833284751,0.4794588608315065,0.44466809199084123,0.44466809199084123,0.456356039188107,0.4914280079451167,0.4914280079451167
2021-01-20,2301807.0,2400412.0,2303963.0,2105463.0,2105463.0,2113579.0,2312844.0,2312844.0,0.042838083297166096,0.0009366554189816957,0.08529994043809928,0.08529994043809928,0.08177401493696039,0.004794928506169284,0.004794928506169284
2021-01-21,4046894.0,2406222.0,2298601.0,2224726.0,2224726.0,2219186.0,2292877.0,2292877.0,0.40541511588887674,0.43200859721060153,0.4502633377597733,0.4502633377597733,0.45163228886153184,0.4334230152803607,0.4334230152803607
2021-01-22,4462178.0,3127629.0,2880551.0,2906000.0,2906000.0,2896180.0,2870817.0,2870817.0,0.29908018012728316,0.35445179461688886,0.3487485259440569,0.3487485259440569,0.3509492449651269,0.356633240538589,0.356633240538589
2021-01-25,3470026.0,3551502.0,3398749.0,3785185.0,3785185.0,3781352.0,3395307.0,3395307.0,0.023479939343393968,0.020540768282427856,0.09082323878841253,0.09082323878841253,0.08971863611396572,0.02153269168588362,0.02153269168588362
2021-01-26,2761299.0,3297672.0,3348266.0,3428405.0,3428405.0,3445127.0,3364596.0,3364596.0,0.19424662088386663,0.21256915676281343,0.24159136696170896,0.24159136696170896,0.24764721241705442,0.21848304004745592,0.21848304004745592
2021-01-27,4060165.0,3046637.0,3026073.0,2895611.0,2895611.0,2907857.0,3038870.0,3038870.0,0.24962729347206333,0.2546921122663734,0.28682430393838676,0.28682430393838676,0.28380817035760864,0.2515402699151389,0.2515402699151389
