DATE,total_vol_m,baseline,overnight_model,robustARMA_model,combined_model,combinedVIX_model,overnightVIX_model,robustVIX_model,baseline_error,overnight_error,robustARMA_error,combined_error,combinedVIX_error,overnightVIX_error,robustVIX_error
2021-01-04,225672.0,197497.0,168650.0,147648.0,147648.0,148427.0,169539.0,169539.0,0.12484933886348329,0.25267645077812045,0.3457407210464745,0.3457407210464745,0.34228880853628274,0.24873710517919811,0.24873710517919811
2021-01-05,287861.0,217045.0,196042.0,205048.0,205048.0,207507.0,198393.0,198393.0,0.24600762173410085,0.3189699195097634,0.28768398636842085,0.28768398636842085,0.2791416690694467,0.31080278328776734,0.31080278328776734
2021-01-06,265866.0,248979.0,234747.0,250322.0,250322.0,252646.0,236926.0,236926.0,0.06351695967141342,0.11704768567624292,0.058465542792233684,0.058465542792233684,0.049724297202350054,0.10885182761240625,0.10885182761240625
2021-01-07,448565.0,250364.0,245462.0,252767.0,252767.0,254994.0,247624.0,247624.0,0.4418556953841695,0.4527838774759511,0.43649861224125824,0.43649861224125824,0.4315338914092718,0.44796406317924936,0.44796406317924936
2021-01-08,168800.0,323333.0,319257.0,347610.0,347610.0,349168.0,320688.0,320688.0,0.9154798578199053,0.8913329383886256,1.0593009478672986,1.0593009478672986,1.0685308056872038,0.8998104265402843,0.8998104265402843
2021-01-11,205429.0,210289.0,228460.0,211886.0,211886.0,212469.0,229088.0,229088.0,0.023657808780649277,0.11211172716607684,0.031431784217418185,0.031431784217418185,0.034269747698718295,0.11516874443238297,0.11516874443238297
2021-01-12,158784.0,217666.0,215133.0,206297.0,206297.0,207719.0,216616.0,216616.0,0.3708308141878275,0.3548783252720677,0.29923040104796456,0.29923040104796456,0.30818596332124143,0.3642180572349859,0.3642180572349859
2021-01-13,122553.0,186401.0,185944.0,175453.0,175453.0,176401.0,186948.0,186948.0,0.5209827584800045,0.5172537595978882,0.4316499800086493,0.4316499800086493,0.4393854087619234,0.5254461335095836,0.5254461335095836
2021-01-14,115427.0,156163.0,154412.0,143268.0,143268.0,143725.0,154905.0,154905.0,0.3529156956344703,0.3377459346600016,0.24120006584248052,0.24120006584248052,0.24515927815848979,0.3420170324100947,0.3420170324100947
2021-01-15,268400.0,145241.0,138343.0,130390.0,130390.0,131198.0,139200.0,139200.0,0.45886363636363636,0.4845640834575261,0.5141952309985097,0.5141952309985097,0.5111847988077496,0.481371087928465,0.481371087928465
2021-01-19,531713.0,217914.0,196716.0,183158.0,183158.0,184783.0,198461.0,198461.0,0.5901661234538181,0.6300334955135571,0.6555322138070726,0.6555322138070726,0.6524760538109845,0.6267516498562195,0.6267516498562195
2021-01-20,215179.0,324822.0,318367.0,352233.0,352233.0,354575.0,320484.0,320484.0,0.5095432175072846,0.4795449370059346,0.636930183707518,0.636930183707518,0.6478141454324075,0.48938325765990176,0.48938325765990176
2021-01-21,413155.0,208559.0,252609.0,216532.0,216532.0,217271.0,253471.0,253471.0,0.49520397913615954,0.388585397732086,0.4759061369219784,0.4759061369219784,0.4741174619694788,0.38649901368735706,0.38649901368735706
2021-01-22,297476.0,281838.0,312091.0,307197.0,307197.0,308097.0,313006.0,313006.0,0.05256894673856042,0.049130013849856796,0.03267826648200191,0.03267826648200191,0.03570372063628662,0.05220589224004626,0.05220589224004626
2021-01-25,324605.0,263109.0,292597.0,288651.0,288651.0,290187.0,294155.0,294155.0,0.18944871459158052,0.09860599805917962,0.11076231111658785,0.11076231111658785,0.10603040618597988,0.09380631844857597,0.09380631844857597
2021-01-26,141609.0,267768.0,296486.0,296525.0,296525.0,298874.0,298836.0,298836.0,0.8908967650361206,1.093694609805874,1.0939700160300545,1.0939700160300545,1.1105579447633978,1.110289600237273,1.110289600237273
2021-01-27,221776.0,188045.0,201664.0,180581.0,180581.0,181937.0,203178.0,203178.0,0.15209490657239738,0.09068609768414977,0.18575048697785151,0.18575048697785151,0.17963620950869347,0.08385938965442609,0.08385938965442609
2021-01-28,1020781.0,221410.0,211814.0,207381.0,207381.0,215033.0,219631.0,219631.0,0.7830974518530419,0.7924980970453016,0.796840850290121,0.796840850290121,0.7893446292593612,0.7848402350749083,0.7848402350749083
