DATE,total_vol_m,baseline,overnight_model,robustARMA_model,combined_model,combinedVIX_model,overnightVIX_model,robustVIX_model,baseline_error,overnight_error,robustARMA_error,combined_error,combinedVIX_error,overnightVIX_error,robustVIX_error
2021-01-04,6923.0,3003.0,2700.0,2594.0,2594.0,2602.0,2708.0,2708.0,0.5662285136501517,0.609995666618518,0.6253069478549762,0.6253069478549762,0.6241513794597717,0.6088400982233136,0.6088400982233136
2021-01-05,4062.0,4282.0,3509.0,3736.0,3736.0,3863.0,3628.0,3628.0,0.05416051206302314,0.1361398325947809,0.08025603151157065,0.08025603151157065,0.04899064500246184,0.1068439192516002,0.1068439192516002
2021-01-06,6309.0,4294.0,3611.0,3749.0,3749.0,3833.0,3692.0,3692.0,0.3193850055476304,0.4276430496116659,0.40576953558408624,0.40576953558408624,0.3924552226977334,0.4148042478998257,0.4148042478998257
2021-01-07,2950.0,4959.0,4148.0,4415.0,4415.0,4506.0,4232.0,4232.0,0.6810169491525424,0.4061016949152542,0.4966101694915254,0.4966101694915254,0.5274576271186441,0.43457627118644065,0.43457627118644065
2021-01-08,1541.0,4084.0,3692.0,3651.0,3651.0,3664.0,3705.0,3705.0,1.6502271252433485,1.3958468526930565,1.3692407527579493,1.3692407527579493,1.3776768332251785,1.4042829331602855,1.4042829331602855
2021-01-11,2475.0,2967.0,2875.0,2584.0,2584.0,2579.0,2870.0,2870.0,0.1987878787878788,0.16161616161616163,0.04404040404040404,0.04404040404040404,0.04202020202020202,0.1595959595959596,0.1595959595959596
2021-01-12,8113.0,3001.0,2768.0,2564.0,2564.0,2607.0,2814.0,2814.0,0.6300998397633428,0.6588191790952792,0.6839640083816098,0.6839640083816098,0.678663872796746,0.6531492666091459,0.6531492666091459
2021-01-13,1737.0,4567.0,3711.0,3825.0,3825.0,3869.0,3754.0,3754.0,1.6292458261370177,1.1364421416234887,1.2020725388601037,1.2020725388601037,1.2274035693724812,1.1611974668969487,1.1611974668969487
2021-01-14,2501.0,3220.0,2986.0,2167.0,2167.0,2175.0,2997.0,2997.0,0.28748500599760096,0.19392243102758897,0.133546581367453,0.133546581367453,0.13034786085565775,0.1983206717313075,0.1983206717313075
2021-01-15,3343.0,3020.0,2839.0,2329.0,2329.0,2364.0,2881.0,2881.0,0.09661980257253963,0.15076278791504635,0.30332037092431946,0.30332037092431946,0.29285073287466346,0.13819922225545916,0.13819922225545916
2021-01-19,4149.0,2989.0,2981.0,2717.0,2717.0,2772.0,3041.0,3041.0,0.27958544227524706,0.2815136177392143,0.34514340805013255,0.34514340805013255,0.3318872017353579,0.2670523017594601,0.2670523017594601
2021-01-20,2917.0,3440.0,3260.0,3212.0,3212.0,3252.0,3300.0,3300.0,0.17929379499485773,0.11758656153582447,0.10113129928008227,0.10113129928008227,0.11484401782653411,0.13129928008227632,0.13129928008227632
2021-01-21,1935.0,2918.0,3144.0,3056.0,3056.0,3059.0,3147.0,3147.0,0.5080103359173127,0.6248062015503876,0.579328165374677,0.579328165374677,0.5808785529715762,0.6263565891472869,0.6263565891472869
2021-01-22,5668.0,2541.0,2748.0,2548.0,2548.0,2546.0,2745.0,2745.0,0.5516937191249118,0.5151729004940014,0.5504587155963303,0.5504587155963303,0.5508115737473536,0.5157021877205363,0.5157021877205363
2021-01-25,1819.0,3429.0,3367.0,3500.0,3500.0,3510.0,3377.0,3377.0,0.8851017042330951,0.8510170423309511,0.9241341396371633,0.9241341396371633,0.9296316657504123,0.8565145684442002,0.8565145684442002
