DATE,total_vol_m,baseline,overnight_model,robustARMA_model,combined_model,combinedVIX_model,overnightVIX_model,robustVIX_model,baseline_error,overnight_error,robustARMA_error,combined_error,combinedVIX_error,overnightVIX_error,robustVIX_error
2021-01-04,232621.0,143244.0,142554.0,142974.0,142974.0,142688.0,142270.0,142270.0,0.38421724607838503,0.3871834443150017,0.38537793234488715,0.38537793234488715,0.38660740001977467,0.388404314313841,0.388404314313841
2021-01-05,167527.0,186669.0,179075.0,188135.0,188135.0,189480.0,180355.0,180355.0,0.11426217863389185,0.06893217212747796,0.12301300685859592,0.12301300685859592,0.13104156344947382,0.07657273155968888,0.07657273155968888
2021-01-06,305622.0,179976.0,175675.0,177290.0,177290.0,178034.0,176413.0,176413.0,0.4111156919331723,0.4251886317084503,0.41990432625923524,0.41990432625923524,0.41746994653526254,0.4227738840790257,0.4227738840790257
2021-01-07,158572.0,234297.0,220696.0,224169.0,224169.0,225036.0,221550.0,221550.0,0.4775433241682012,0.3917715611835633,0.4136732840602376,0.4136732840602376,0.41914083192493,0.3971571273617032,0.3971571273617032
2021-01-08,158381.0,193921.0,189999.0,166344.0,166344.0,166246.0,189886.0,189886.0,0.22439560300793657,0.19963253167993636,0.050277495406646,0.050277495406646,0.04965873431787904,0.19891906226125608,0.19891906226125608
2021-01-11,151531.0,174629.0,176739.0,164440.0,164440.0,164316.0,176607.0,176607.0,0.15243085573249038,0.16635539922524104,0.08519048907484277,0.08519048907484277,0.08437217467052946,0.1654842903432301,0.1654842903432301
2021-01-12,136203.0,159256.0,167833.0,160340.0,160340.0,160845.0,168361.0,168361.0,0.16925471538806047,0.2322268966175488,0.1772134240802332,0.1772134240802332,0.18092112508535055,0.23610346321299824,0.23610346321299824
2021-01-13,150418.0,148308.0,156965.0,150618.0,150618.0,150887.0,157246.0,157246.0,0.014027576486856626,0.04352537595234613,0.0013296281030195855,0.0013296281030195855,0.0031179779015809276,0.045393503437088645,0.045393503437088645
2021-01-14,157328.0,147517.0,157977.0,154756.0,154756.0,154725.0,157945.0,157945.0,0.0623601647513475,0.004125139835248652,0.016348011797010068,0.016348011797010068,0.01654505237465677,0.00392174310993593,0.00392174310993593
2021-01-15,201022.0,152425.0,161141.0,159670.0,159670.0,160041.0,161515.0,161515.0,0.2417496592412771,0.19839122086139827,0.20570882788948475,0.20570882788948475,0.20386325874779876,0.19653072798002208,0.19653072798002208
2021-01-19,138784.0,172137.0,179200.0,182625.0,182625.0,183421.0,179981.0,179981.0,0.2403230919990777,0.29121512566290064,0.31589376296979477,0.31589376296979477,0.32162929444316346,0.29684257551302745,0.29684257551302745
2021-01-20,174072.0,155296.0,163191.0,159252.0,159252.0,159634.0,163582.0,163582.0,0.10786341284066363,0.06250861712394871,0.08513718461326347,0.08513718461326347,0.08294269038099178,0.06026242014798474,0.06026242014798474
2021-01-21,131297.0,151627.0,170356.0,169700.0,169700.0,169616.0,170271.0,170271.0,0.1548397907035195,0.2974858526851337,0.29248954660045545,0.29248954660045545,0.2918497756993686,0.29683846546379583,0.29683846546379583
2021-01-22,109805.0,137802.0,155841.0,150917.0,150917.0,150774.0,155693.0,155693.0,0.25497017440007286,0.4192523109148035,0.3744091799098402,0.3744091799098402,0.37310687127180003,0.417904467009699,0.417904467009699
2021-01-25,160170.0,125261.0,139407.0,132464.0,132464.0,132397.0,139336.0,139336.0,0.21794967846662922,0.12963101704439034,0.17297871012049698,0.17297871012049698,0.17339701567084972,0.13007429606043577,0.13007429606043577
2021-01-26,103964.0,143145.0,152732.0,152281.0,152281.0,152296.0,152747.0,152747.0,0.37687083990612136,0.46908545265668883,0.4647474125658882,0.4647474125658882,0.46489169327844254,0.4692297333692432,0.4692297333692432
2021-01-27,221018.0,131018.0,135013.0,129048.0,129048.0,129018.0,134982.0,134982.0,0.4072066528518039,0.38913120198354884,0.4161199540308934,0.4161199540308934,0.416255689581844,0.38927146205286445,0.38927146205286445
2021-01-28,146588.0,171031.0,170120.0,156636.0,156636.0,160439.0,174251.0,174251.0,0.16674625480939778,0.16053155783556636,0.06854585641389473,0.06854585641389473,0.09448931699729855,0.1887125822031817,0.1887125822031817
2021-01-29,235301.0,159768.0,162696.0,161981.0,161981.0,163828.0,164551.0,164551.0,0.32100586057857805,0.30856222455493176,0.31160088567409405,0.31160088567409405,0.3037513652725658,0.3006787051478744,0.3006787051478744
