DATE,total_vol_m,baseline,overnight_model,robustARMA_model,combined_model,combinedVIX_model,overnightVIX_model,robustVIX_model,baseline_error,overnight_error,robustARMA_error,combined_error,combinedVIX_error,overnightVIX_error,robustVIX_error
2021-01-04,254502.0,130516.0,128809.0,128570.0,128570.0,128577.0,128816.0,128816.0,0.4871710241962735,0.4938782406425097,0.4948173295298269,0.4948173295298269,0.49478982483438244,0.49385073594706524,0.49385073594706524
2021-01-05,486904.0,176859.0,183762.0,178936.0,178936.0,182866.0,187798.0,187798.0,0.636768233573764,0.6225909008757373,0.6325025056273926,0.6325025056273926,0.6244310993542875,0.6143017925504822,0.6143017925504822
2021-01-06,584300.0,250331.0,289148.0,313564.0,313564.0,318101.0,293331.0,293331.0,0.571571110730789,0.5051377716926236,0.4633510183125107,0.4633510183125107,0.4555861714872497,0.4979787780249872,0.4979787780249872
2021-01-07,191411.0,311083.0,385177.0,430049.0,430049.0,435795.0,390323.0,390323.0,0.6252096274508779,1.0123033681449864,1.2467308566383333,1.2467308566383333,1.276750030040071,1.0391879254588294,1.0391879254588294
2021-01-08,134945.0,232023.0,265060.0,247920.0,247920.0,247586.0,264702.0,264702.0,0.7193893808588684,0.9642076401496906,0.8371929304531476,0.8371929304531476,0.8347178480121531,0.9615547074734151,0.9615547074734151
2021-01-11,109890.0,179724.0,195698.0,174431.0,174431.0,173813.0,195005.0,195005.0,0.6354900354900355,0.7808535808535808,0.5873236873236873,0.5873236873236873,0.5816998816998817,0.7745472745472746,0.7745472745472746
2021-01-12,88726.0,152955.0,155718.0,140154.0,140154.0,141672.0,157404.0,157404.0,0.7239028018844532,0.7550436174289386,0.5796271667831301,0.5796271667831301,0.5967360187543673,0.7740459391835539,0.7740459391835539
2021-01-13,129258.0,129885.0,128311.0,116972.0,116972.0,117741.0,129153.0,129153.0,0.004850763589100868,0.00732643240650482,0.09505020965820297,0.09505020965820297,0.08910086803137911,0.0008123288307106717,0.0008123288307106717
2021-01-14,148351.0,135115.0,139652.0,137544.0,137544.0,137593.0,139702.0,139702.0,0.0892208343725354,0.05863795997330655,0.07284750355575628,0.07284750355575628,0.07251720581593653,0.058300921463286394,0.058300921463286394
2021-01-15,139409.0,145261.0,153809.0,155629.0,155629.0,156448.0,154618.0,154618.0,0.04197720376733209,0.10329318767081035,0.11634829889031555,0.11634829889031555,0.12222309893909289,0.10909625633926073,0.10909625633926073
2021-01-19,119952.0,145939.0,155782.0,155220.0,155220.0,156750.0,157318.0,157318.0,0.21664499132986528,0.298702814459117,0.29401760704281715,0.29401760704281715,0.30677270908363347,0.3115079365079365,0.3115079365079365
2021-01-20,123371.0,140006.0,146657.0,142569.0,142569.0,143098.0,147201.0,147201.0,0.13483719836914673,0.1887477608189931,0.15561193473344628,0.15561193473344628,0.15989981438101336,0.19315722495562165,0.19315722495562165
2021-01-21,89951.0,130159.0,144578.0,141362.0,141362.0,140616.0,143816.0,143816.0,0.44699892163511246,0.6072973063112139,0.57154450756523,0.57154450756523,0.563251103378506,0.5988260275038633,0.5988260275038633
2021-01-22,247316.0,113686.0,125073.0,118001.0,118001.0,117223.0,124248.0,124248.0,0.5403208850215918,0.4942785747788255,0.5228735706545472,0.5228735706545472,0.5260193436736806,0.497614388070323,0.497614388070323
2021-01-25,118446.0,158198.0,182095.0,151540.0,151540.0,151136.0,181609.0,181609.0,0.33561285311449945,0.5373672390794118,0.2794015838441146,0.2794015838441146,0.2759907468382216,0.5332641034733128,0.5332641034733128
2021-01-26,183627.0,138846.0,155596.0,131560.0,131560.0,132224.0,156381.0,156381.0,0.24386936561616757,0.15265184313853628,0.2835476264383778,0.2835476264383778,0.2799316004726974,0.1483768726821219,0.1483768726821219
2021-01-27,309567.0,160779.0,223121.0,172656.0,219568.0,229106.0,232813.0,176182.0,0.480632625570555,0.2792481110712705,0.44226613301805423,0.29072543262040207,0.25991465498583505,0.24793986439123034,0.4308760300678044
2021-01-28,195335.0,200252.0,231708.0,250755.0,250755.0,271952.0,251295.0,251295.0,0.02517214016945248,0.1862083088028259,0.28371771571914917,0.28371771571914917,0.39223385465994315,0.2864821972508767,0.2864821972508767
2021-01-29,237938.0,198420.0,214761.0,212889.0,212889.0,222089.0,224041.0,224041.0,0.16608528272070874,0.09740772806361321,0.10527532382385327,0.10527532382385327,0.06660978910472476,0.058405971303448795,0.058405971303448795
2021-02-01,167775.0,213586.0,226114.0,227824.0,227824.0,241394.0,239582.0,239582.0,0.27305021606317986,0.3477216510207123,0.35791387274623754,0.35791387274623754,0.43879600655639994,0.4279958277454925,0.4279958277454925
2021-02-02,109698.0,198036.0,199274.0,190482.0,190482.0,198663.0,207833.0,207833.0,0.8052835967838976,0.816569126146329,0.7364218126128097,0.7364218126128097,0.8109992889569545,0.8945924264799723,0.8945924264799723
2021-02-03,129122.0,158833.0,157162.0,142533.0,142533.0,144963.0,159841.0,159841.0,0.23010021530025868,0.2171589659391893,0.10386301327426775,0.10386301327426775,0.12268242437384799,0.2379067858304549,0.2379067858304549
2021-02-04,175541.0,141216.0,151676.0,144690.0,144690.0,145132.0,152139.0,152139.0,0.1955383642567833,0.13595114531647878,0.17574811582479308,0.17574811582479308,0.17323018554069988,0.13331358486051692,0.13331358486051692
