DATE,total_vol_m,baseline,overnight_model,robustARMA_model,combined_model,combinedVIX_model,overnightVIX_model,robustVIX_model,baseline_error,overnight_error,robustARMA_error,combined_error,combinedVIX_error,overnightVIX_error,robustVIX_error
2021-01-04,34695.0,23134.0,23123.0,21022.0,21022.0,20987.0,23084.0,23084.0,0.3332180429456694,0.3335350915117452,0.3940913676322237,0.3940913676322237,0.39510015852428304,0.3346591727914685,0.3346591727914685
2021-01-05,28672.0,31333.0,28325.0,26892.0,26892.0,26980.0,28417.0,28417.0,0.09280831473214286,0.012102399553571428,0.06208147321428571,0.06208147321428571,0.05901227678571429,0.008893694196428572,0.008893694196428572
2021-01-06,46800.0,31147.0,29658.0,30414.0,30414.0,30477.0,29719.0,29719.0,0.334465811965812,0.36628205128205127,0.35012820512820514,0.35012820512820514,0.3487820512820513,0.3649786324786325,0.3649786324786325
2021-01-07,20187.0,37400.0,35270.0,38145.0,38145.0,38219.0,35339.0,35339.0,0.8526774656957448,0.7471640164462278,0.8895824045177589,0.8895824045177589,0.8932481299846435,0.7505820577599445,0.7505820577599445
2021-01-08,28423.0,28272.0,29794.0,27735.0,27735.0,27759.0,29820.0,29820.0,0.00531259895155332,0.048235583858143055,0.024205748865355523,0.024205748865355523,0.023361362277029167,0.049150335995496605,0.049150335995496605
2021-01-11,24924.0,30281.0,30337.0,29529.0,29529.0,29548.0,30356.0,30356.0,0.21493339752848659,0.2171802278927941,0.18476167549350023,0.18476167549350023,0.18552399293853314,0.217942545337827,0.217942545337827
2021-01-12,22445.0,28304.0,29458.0,28349.0,28349.0,28378.0,29488.0,29488.0,0.261038093116507,0.31245266206282024,0.2630429939852974,0.2630429939852974,0.2643350412118512,0.3137892626420138,0.3137892626420138
2021-01-13,27724.0,25230.0,28079.0,26683.0,26683.0,26695.0,28092.0,28092.0,0.0899581589958159,0.012804790073582456,0.03754869427211081,0.03754869427211081,0.03711585629779253,0.013273697879093925,0.013273697879093925
2021-01-14,14593.0,26703.0,29202.0,28885.0,28885.0,28875.0,29193.0,29193.0,0.8298499280476941,1.001096416089906,0.9793736723086411,0.9793736723086411,0.9786884122524498,1.000479682039334,1.000479682039334
2021-01-15,57092.0,21090.0,26442.0,21998.0,23743.0,26625.0,29651.0,24499.0,0.6305962306452743,0.536852798991102,0.6146920759475933,0.5841273733622925,0.5336474462271421,0.4806452742941218,0.5708855881734743
2021-01-19,47716.0,34324.0,33704.0,27376.0,27376.0,27433.0,33775.0,33775.0,0.2806605750691592,0.29365412021124987,0.42627210998407244,0.42627210998407244,0.42507754212423504,0.29216614971917176,0.29216614971917176
2021-01-20,18780.0,36506.0,37789.0,40832.0,40832.0,40885.0,37838.0,37838.0,0.9438764643237487,1.0121938232161873,1.1742279020234292,1.1742279020234292,1.1770500532481363,1.0148029818956337,1.0148029818956337
2021-01-21,18699.0,24627.0,30324.0,27641.0,27641.0,27642.0,30326.0,30326.0,0.3170223006577892,0.6216909995186909,0.47820739076955987,0.47820739076955987,0.4782608695652174,0.6217979571100059,0.6217979571100059
2021-01-22,16504.0,21626.0,26997.0,24467.0,24467.0,24463.0,26993.0,26993.0,0.31034900630150264,0.635785264178381,0.48248909355307806,0.48248909355307806,0.4822467280659234,0.6355428986912264,0.6355428986912264
2021-01-25,25143.0,19724.0,24458.0,22309.0,22309.0,22299.0,24448.0,24448.0,0.21552718450463348,0.02724416338543531,0.11271526866324623,0.11271526866324623,0.1131129936761723,0.02764188839836137,0.02764188839836137
2021-01-26,16261.0,21889.0,26320.0,26233.0,26233.0,26265.0,26352.0,26352.0,0.3461041756349548,0.618596642272923,0.6132464178094829,0.6132464178094829,0.6152143164627022,0.6205645409261423,0.6205645409261423
2021-01-27,33499.0,21263.0,23951.0,22557.0,22557.0,22582.0,23977.0,23977.0,0.36526463476521687,0.28502343353532944,0.3266366160183886,0.3266366160183886,0.32589032508433086,0.2842472909639094,0.2842472909639094
2021-01-28,26628.0,25323.0,28397.0,28952.0,28952.0,29287.0,28726.0,28726.0,0.04900856241550248,0.06643382905212558,0.08727655099894847,0.08727655099894847,0.09985729307495869,0.07878924440438637,0.07878924440438637
2021-01-29,46191.0,26033.0,28926.0,29295.0,29295.0,29471.0,29099.0,29099.0,0.4364053603515836,0.37377411183996884,0.36578554263817625,0.36578554263817625,0.3619752765690286,0.3700287934879089,0.3700287934879089
2021-02-01,29740.0,32930.0,34199.0,37027.0,37027.0,37251.0,34405.0,34405.0,0.10726294552790853,0.14993275050437121,0.24502353732347007,0.24502353732347007,0.25255548083389373,0.15685944855413583,0.15685944855413583
2021-02-02,19083.0,31107.0,33079.0,33003.0,33003.0,33059.0,33136.0,33136.0,0.6300896085521145,0.7334276581250327,0.7294450558088351,0.7294450558088351,0.7323796048839281,0.736414609862181,0.736414609862181
2021-02-03,15553.0,24518.0,28382.0,26005.0,26005.0,25955.0,28326.0,28326.0,0.5764161255063331,0.8248569407831287,0.6720246897704623,0.6720246897704623,0.668809875908185,0.821256349257378,0.821256349257378
2021-02-04,23214.0,20649.0,24526.0,21925.0,21925.0,21844.0,24434.0,24434.0,0.11049366761437064,0.05651761867838374,0.05552683725338158,0.05552683725338158,0.0590161109675196,0.05255449297837512,0.05255449297837512
2021-02-05,40517.0,21910.0,50904.0,24967.0,49523.0,54149.0,55658.0,25586.0,0.45923933163857145,0.2563615272601624,0.3837895204482069,0.2222770688846657,0.33645136609324483,0.3736949922254856,0.36851198262457735
2021-02-08,45660.0,28751.0,30903.0,33245.0,33245.0,33159.0,30823.0,30823.0,0.3703241349102059,0.32319316688567673,0.27190100744634255,0.27190100744634255,0.273784494086728,0.32494524748138415,0.32494524748138415
2021-02-09,25319.0,33475.0,35425.0,38400.0,38400.0,38310.0,35342.0,35342.0,0.32212962597258976,0.39914688573798335,0.5166475769185197,0.5166475769185197,0.5130929341601169,0.395868715194123,0.395868715194123
2021-02-10,29222.0,28772.0,32045.0,30971.0,30971.0,30908.0,31979.0,31979.0,0.015399356649099994,0.0966052973786873,0.05985216617616864,0.05985216617616864,0.05769625624529464,0.09434672507015263,0.09434672507015263
2021-02-11,25084.0,28682.0,31668.0,30822.0,30822.0,30767.0,31611.0,31611.0,0.14343804815818847,0.2624780736724605,0.2287513953117525,0.2287513953117525,0.22655876255780577,0.2602057088183703,0.2602057088183703
2021-02-12,24902.0,26846.0,30093.0,28778.0,28778.0,28713.0,30024.0,30024.0,0.07806601879367119,0.20845715203598106,0.15565014858244317,0.15565014858244317,0.15303991647257248,0.20568629025781063,0.20568629025781063
2021-02-16,19119.0,26745.0,29178.0,28038.0,28038.0,27927.0,29063.0,29063.0,0.39887023379883885,0.5261258434018515,0.46649929389612427,0.46649929389612427,0.460693550917935,0.5201108844604844,0.5201108844604844
2021-02-17,26710.0,22667.0,26547.0,24750.0,24750.0,24682.0,26474.0,26474.0,0.15136652938974168,0.006102583302134032,0.07338075627105953,0.07338075627105953,0.07592661924372894,0.008835642081617372,0.008835642081617372
2021-02-18,27966.0,23973.0,27832.0,27565.0,27565.0,27490.0,27757.0,27757.0,0.142780519201888,0.004791532575269971,0.014338840020024316,0.014338840020024316,0.017020667953944076,0.00747336050918973,0.00747336050918973
2021-02-19,23953.0,25952.0,28938.0,29096.0,29096.0,29041.0,28883.0,28883.0,0.08345509956999124,0.20811589362501565,0.21471214461654073,0.21471214461654073,0.21241598129670605,0.20581973030518097,0.20581973030518097
2021-02-22,17742.0,25476.0,28132.0,27602.0,27602.0,27586.0,28117.0,28117.0,0.43591477849171456,0.5856160523052644,0.5557434336602413,0.5557434336602413,0.55484161875775,0.5847706008341788,0.5847706008341788
2021-02-23,24363.0,22978.0,25419.0,23802.0,23802.0,23829.0,25448.0,25448.0,0.056848499774247836,0.043344415712350697,0.023026720847186308,0.023026720847186308,0.02191848294545007,0.04453474531051184,0.04453474531051184
2021-02-24,14380.0,23880.0,26346.0,26012.0,26012.0,26034.0,26368.0,26368.0,0.6606397774687065,0.8321279554937413,0.8089012517385258,0.8089012517385258,0.8104311543810848,0.8336578581363004,0.8336578581363004
2021-02-25,38719.0,20678.0,23023.0,21159.0,21159.0,21144.0,23007.0,23007.0,0.46594695110927453,0.405382370412459,0.45352410961026884,0.45352410961026884,0.45391151630982207,0.40579560422531574,0.40579560422531574
2021-02-26,28826.0,26436.0,28510.0,26321.0,26321.0,26478.0,28680.0,28680.0,0.082911260667453,0.010962325678207175,0.08690071463262333,0.08690071463262333,0.0814542426975647,0.005064871990564074,0.005064871990564074
2021-03-01,37103.0,27357.0,29501.0,30328.0,30328.0,30475.0,29644.0,29644.0,0.26267417729024606,0.20488909252621082,0.18259978977441177,0.18259978977441177,0.17863784599628063,0.20103495674204241,0.20103495674204241
2021-03-02,14598.0,29238.0,32318.0,33770.0,33770.0,33799.0,32346.0,32346.0,1.0028771064529387,1.2138649130017811,1.3133305932319497,1.3133305932319497,1.3153171667351693,1.2157829839704068,1.2157829839704068
2021-03-03,32103.0,22142.0,28022.0,23495.0,25360.0,28031.0,30973.0,25998.0,0.31028252811263746,0.12712207581845933,0.26813693424290563,0.21004267513939506,0.1268417281873968,0.03519920256673831,0.19016914307074106
2021-03-04,60057.0,26023.0,28811.0,27372.0,27372.0,27471.0,28915.0,28915.0,0.56669497310888,0.5202724078791815,0.5442329786702632,0.5442329786702632,0.5425845446825516,0.5185407196496662,0.5185407196496662
2021-03-05,42025.0,35303.0,36468.0,40577.0,40577.0,40764.0,36636.0,36636.0,0.15995240928019036,0.13223081499107675,0.03445568114217728,0.03445568114217728,0.030005948839976204,0.12823319452706722,0.12823319452706722
2021-03-08,52574.0,36083.0,37638.0,39404.0,39404.0,39411.0,37645.0,37645.0,0.3136721573401301,0.2840947997108837,0.2505040514322669,0.2505040514322669,0.25037090577091337,0.28396165404953017,0.28396165404953017
2021-03-09,37551.0,38503.0,40810.0,42803.0,42803.0,42872.0,40875.0,40875.0,0.025352187691406354,0.08678863412425768,0.1398631194908258,0.1398631194908258,0.14170062048946766,0.08851961332587681,0.08851961332587681
2021-03-10,40724.0,34848.0,38842.0,38361.0,38361.0,38369.0,38851.0,38851.0,0.14428838031627542,0.04621353501620666,0.05802475198899912,0.05802475198899912,0.05782830763186327,0.045992535114428836,0.045992535114428836
2021-03-11,32486.0,35438.0,38659.0,38127.0,38127.0,38081.0,38612.0,38612.0,0.0908699131933756,0.19002031644400666,0.17364403127501077,0.17364403127501077,0.17222803669272918,0.1885735393708059,0.1885735393708059
2021-03-12,36264.0,32753.0,36148.0,34617.0,34617.0,34566.0,36095.0,36095.0,0.09681778071917052,0.0031987646150452237,0.04541694242223693,0.04541694242223693,0.046823295830575776,0.004660269137436576,0.004660269137436576
2021-03-15,34681.0,33369.0,35925.0,35031.0,35031.0,34914.0,35806.0,35806.0,0.03783051238430264,0.03586978460828696,0.010091981200080737,0.010091981200080737,0.006718376056053747,0.03243851100025951,0.03243851100025951
2021-03-16,20595.0,33276.0,35287.0,34445.0,34445.0,34350.0,35190.0,35190.0,0.6157319737800437,0.7133770332605002,0.6724933236222385,0.6724933236222385,0.6678805535324108,0.708667152221413,0.708667152221413
2021-03-17,44561.0,27709.0,30116.0,27584.0,27584.0,27499.0,30024.0,30024.0,0.3781782275981239,0.324162384147573,0.38098337110926594,0.38098337110926594,0.3828908686968425,0.3262269697717735,0.3262269697717735
2021-03-18,36984.0,34015.0,34385.0,33194.0,33194.0,33075.0,34262.0,34262.0,0.08027795803590743,0.07027363184079602,0.10247674670127623,0.10247674670127623,0.10569435431537963,0.0735993943326844,0.0735993943326844
2021-03-19,63811.0,34593.0,35130.0,35407.0,35407.0,35336.0,35059.0,35059.0,0.45788343702496437,0.44946796006958045,0.4451270157182931,0.4451270157182931,0.44623967654479635,0.45058062089608375,0.45058062089608375
2021-03-22,26423.0,43545.0,41496.0,44584.0,44584.0,44460.0,41380.0,41380.0,0.6479960640351209,0.5704499867539643,0.687317867009802,0.687317867009802,0.6826249858078189,0.5660598720811414,0.5660598720811414
