DATE,total_vol_m,baseline,overnight_model,robustARMA_model,combined_model,combinedVIX_model,overnightVIX_model,robustVIX_model,baseline_error,overnight_error,robustARMA_error,combined_error,combinedVIX_error,overnightVIX_error,robustVIX_error
2021-01-04,332420.0,295878.0,289189.0,286104.0,286104.0,286265.0,289352.0,289352.0,0.1099272005294507,0.1300493351783888,0.13932976355213283,0.13932976355213283,0.13884543649599904,0.12955899163708562,0.12955899163708562
2021-01-05,338088.0,338898.0,353871.0,368435.0,368435.0,372056.0,357349.0,357349.0,0.002395825938808831,0.04668311208916022,0.08976065403090319,0.08976065403090319,0.10047088332031898,0.056970374577033196,0.056970374577033196
2021-01-06,392515.0,317988.0,382538.0,387658.0,387658.0,389909.0,384759.0,384759.0,0.18987045081079704,0.025418136886488415,0.01237404939938601,0.01237404939938601,0.006639236717068137,0.019759754404290283,0.019759754404290283
2021-01-07,450996.0,360258.0,418859.0,425043.0,425043.0,427236.0,421019.0,421019.0,0.20119468908815155,0.07125783820699075,0.05754596493095283,0.05754596493095283,0.05268339408775244,0.0664684387444678,0.0664684387444678
2021-01-08,377052.0,374647.0,458199.0,466462.0,466462.0,465751.0,457500.0,457500.0,0.0063784305613018896,0.2152143470927087,0.23712909625197587,0.23712909625197587,0.2352434147014205,0.21336049139110785,0.21336049139110785
2021-01-11,426918.0,330802.0,438989.0,428660.0,428660.0,427506.0,437807.0,437807.0,0.22513925390824469,0.02827475065469247,0.004080408884141685,0.004080408884141685,0.0013773136761626354,0.025506069081181866,0.025506069081181866
2021-01-12,388640.0,375257.0,455261.0,452602.0,452602.0,454238.0,456907.0,456907.0,0.03443546727048168,0.1714208522025525,0.16457904487443392,0.16457904487443392,0.1687885961300947,0.17565613421160972,0.17565613421160972
2021-01-13,253584.0,339496.0,443406.0,433459.0,433459.0,434220.0,444185.0,444185.0,0.3387910909205628,0.7485566912738975,0.7093310303489179,0.7093310303489179,0.7123320083286012,0.7516286516499464,0.7516286516499464
2021-01-14,371429.0,275859.0,367881.0,339078.0,339078.0,338749.0,367524.0,367524.0,0.2573035492651355,0.009552296670426919,0.08709874565529348,0.08709874565529348,0.08798451386402246,0.010513449407558375,0.010513449407558375
2021-01-15,503895.0,359546.0,402237.0,401447.0,401447.0,401855.0,402645.0,402645.0,0.2864664265372746,0.20174441103801388,0.2033121979777533,0.2033121979777533,0.20250250548229293,0.20093471854255351,0.20093471854255351
2021-01-19,236730.0,388788.0,472840.0,490705.0,490705.0,492689.0,474752.0,474752.0,0.6423267013052845,0.9973809825539645,1.072846702994973,1.072846702994973,1.081227558822287,1.0054576944198033,1.0054576944198033
2021-01-20,372351.0,255314.0,366182.0,335047.0,335047.0,335440.0,366611.0,366611.0,0.31431901619708286,0.016567700905865703,0.10018504045913668,0.10018504045913668,0.09912958471979395,0.015415562198033576,0.015415562198033576
2021-01-21,454965.0,347511.0,401038.0,399454.0,399454.0,398325.0,399904.0,399904.0,0.2361808051168771,0.11852999681294166,0.12201158330860616,0.12201158330860616,0.12449309287527612,0.12102249623597419,0.12102249623597419
2021-01-22,201888.0,363621.0,450322.0,460791.0,460791.0,459202.0,448769.0,448769.0,0.8011025915359011,1.230553574258995,1.2824090584878745,1.2824090584878745,1.2745383579014107,1.2228611903629736,1.2228611903629736
