DATE,total_vol_m,baseline,overnight_model,robustARMA_model,combined_model,combinedVIX_model,overnightVIX_model,robustVIX_model,baseline_error,overnight_error,robustARMA_error,combined_error,combinedVIX_error,overnightVIX_error,robustVIX_error
2021-01-04,27892227.0,20009180.0,17263904.0,17152940.0,17152940.0,17192907.0,17304131.0,17304131.0,0.28262522745136126,0.38104963795110375,0.3850279506186437,0.3850279506186437,0.383595042446772,0.3796074081858003,0.3796074081858003
2021-01-05,50593198.0,23821208.0,21539002.0,21269105.0,21269105.0,21522945.0,21796063.0,21796063.0,0.5291618450369554,0.5742707942676405,0.5796054441942966,0.5796054441942966,0.5745881689471379,0.5691898543357548,0.5691898543357548
2021-01-06,40130751.0,31633210.0,32317657.0,32670621.0,32670621.0,32958629.0,32602554.0,32602554.0,0.21174637374715463,0.19469094909287893,0.18589559911300937,0.18589559911300937,0.17871885826407785,0.18759172984328154,0.18759172984328154
2021-01-07,29709911.0,32259267.0,35431337.0,38263576.0,38263576.0,38578616.0,35723057.0,35723057.0,0.08580826782012238,0.19257634262182743,0.2879061132158895,0.2879061132158895,0.2985099820729857,0.20239528822553524,0.20239528822553524
2021-01-08,22502367.0,28853961.0,31829305.0,31324022.0,31324022.0,31382975.0,31889209.0,31889209.0,0.2822633725598734,0.4144869737481395,0.3920323137561484,0.3920323137561484,0.3946521714804491,0.41714909369312125,0.41714909369312125
2021-01-11,21228302.0,24198989.0,28678892.0,24499011.0,26586499.0,29162269.0,31457379.0,26446265.0,0.13993992548249973,0.35097437373935986,0.15407303890815197,0.2524081765936814,0.3737447771376156,0.4818603485102106,0.24580218427267522
2021-01-12,39687521.0,22422390.0,23426903.0,21892048.0,21892048.0,22029382.0,23573865.0,23573865.0,0.4350266926472933,0.40971614226043496,0.4483896336080049,0.4483896336080049,0.4449292511870419,0.4060131646922467,0.4060131646922467
2021-01-13,32007042.0,28599118.0,29924139.0,26835799.0,26835799.0,26960905.0,30063643.0,30063643.0,0.10647419402267788,0.0650763978751926,0.1615657891785189,0.1615657891785189,0.15765708683732785,0.060717857026588086,0.060717857026588086
2021-01-14,34462291.0,28401161.0,30425332.0,31166926.0,31166926.0,31236389.0,30493143.0,30493143.0,0.17587716382523727,0.11714134153182097,0.0956223426933514,0.0956223426933514,0.09360671929791319,0.11517365458959185,0.11517365458959185
2021-01-15,30038036.0,29515038.0,31786899.0,32464247.0,32464247.0,32607520.0,31927183.0,31927183.0,0.01741119159721361,0.05822161608701714,0.08077129277027299,0.08077129277027299,0.08554101206883166,0.06289182821406833,0.06289182821406833
2021-01-19,23967630.0,28354113.0,30404245.0,30033555.0,30033555.0,30238448.0,30611667.0,30611667.0,0.1830169691371237,0.2685545045546848,0.253088227747174,0.253088227747174,0.2616369661914841,0.2772087603154755,0.2772087603154755
2021-01-20,27084788.0,25922903.0,26654089.0,25274450.0,25274450.0,25385609.0,26771316.0,26771316.0,0.042898065142691906,0.01590187820558167,0.06683965922125734,0.06683965922125734,0.06273554734857072,0.011573729135336042,0.011573729135336042
2021-01-21,31024530.0,26035462.0,26521633.0,26006744.0,26006744.0,26026682.0,26541966.0,26541966.0,0.16081042968257697,0.14513989414182907,0.16173608431779626,0.16173608431779626,0.16109343155238773,0.14448450951553496,0.14448450951553496
2021-01-22,25621968.0,27878275.0,28255183.0,28676242.0,28676242.0,28684047.0,28262873.0,28262873.0,0.08806142447762014,0.10277176991244388,0.11920528508973237,0.11920528508973237,0.11950990649898556,0.10307190298575035,0.10307190298575035
2021-01-25,28705983.0,26752713.0,26577448.0,26064828.0,26064828.0,26129831.0,26643730.0,26643730.0,0.06804400323096409,0.07414952485689133,0.09200712617993259,0.09200712617993259,0.08974268534890445,0.07184052885421133,0.07184052885421133
2021-01-26,29404808.0,27142398.0,27241159.0,27273943.0,27273943.0,27429286.0,27396316.0,27396316.0,0.07694013849707844,0.0735814700779546,0.0724665503682255,0.0724665503682255,0.06718363881172086,0.06830488401760691,0.06830488401760691
2021-01-27,28824615.0,28438837.0,27898486.0,28097785.0,28097785.0,28247734.0,28047372.0,28047372.0,0.013383630622646652,0.03212979600941764,0.02521560131852585,0.02521560131852585,0.02001348500231486,0.026964557896089852,0.026964557896089852
2021-01-28,26121216.0,29033057.0,27958230.0,27987697.0,27987697.0,28985097.0,28954580.0,28954580.0,0.1114741748623035,0.07032651159884747,0.07145459843829628,0.07145459843829628,0.10963811945048807,0.10846983540123094,0.10846983540123094
2021-01-29,23241727.0,28304826.0,26700380.0,26217527.0,26217527.0,26739240.0,27231701.0,27231701.0,0.21784521434229048,0.148812220365552,0.12803695697828307,0.12803695697828307,0.1504842131567934,0.17167287095317832,0.17167287095317832
2021-02-01,16763169.0,26681207.0,24677256.0,23818333.0,23818333.0,24430556.0,25311558.0,25311558.0,0.5916565059983586,0.47211162758068,0.42087292683143623,0.42087292683143623,0.45739483984203705,0.5099506543184048,0.5099506543184048
2021-02-02,18723990.0,23189054.0,22010052.0,18666130.0,20283426.0,21099264.0,22895339.0,20644206.0,0.23846754885043198,0.1755000937300223,0.0030901533273623837,0.08328545358120786,0.12685725638605874,0.22278098845384986,0.10255378260723276
2021-02-03,24017856.0,22399586.0,19396677.0,18630006.0,18630006.0,18797731.0,19571305.0,19571305.0,0.0673777875926977,0.19240597495463374,0.2243268508229877,0.2243268508229877,0.2173435047657876,0.18513521773134123,0.18513521773134123
2021-02-04,15755550.0,23482156.0,21432483.0,21898099.0,21898099.0,21971560.0,21504381.0,21504381.0,0.4904053492261457,0.36031322295952856,0.3898657298539245,0.3898657298539245,0.3945282773371923,0.36487656730485446,0.36487656730485446
2021-02-05,17577622.0,20305335.0,18316443.0,17445241.0,17445241.0,17481724.0,18354748.0,18354748.0,0.1551810022994009,0.04203190852551045,0.00753122350679745,0.00753122350679745,0.005455686781750114,0.044211099772198996,0.044211099772198996
2021-02-08,36425702.0,20131172.0,17954980.0,17518132.0,17518132.0,17492549.0,17928759.0,17928759.0,0.447336059576834,0.5070793693969164,0.5190722199396459,0.5190722199396459,0.5197745536928842,0.5077992182552857,0.5077992182552857
2021-02-09,24196740.0,27422253.0,25007451.0,22060367.0,22060367.0,22028773.0,24971637.0,24971637.0,0.13330361858663606,0.03350496802461819,0.08829176988305036,0.08829176988305036,0.0895974829667137,0.03202485128161893,0.03202485128161893
