DATE,total_vol_m,baseline,overnight_model,robustARMA_model,combined_model,combinedVIX_model,overnightVIX_model,robustVIX_model,baseline_error,overnight_error,robustARMA_error,combined_error,combinedVIX_error,overnightVIX_error,robustVIX_error
2021-01-04,124349.0,84264.0,81837.0,79057.0,79057.0,79068.0,81849.0,81849.0,0.322358844864052,0.34187649277436893,0.36423292507378424,0.36423292507378424,0.36414446437044123,0.3417799901889038,0.3417799901889038
2021-01-05,108559.0,102264.0,94516.0,97248.0,97248.0,98634.0,95864.0,95864.0,0.05798690113210328,0.12935822916570713,0.10419219042179828,0.10419219042179828,0.09142493943385624,0.11694101824814156,0.11694101824814156
2021-01-06,297965.0,104046.0,117462.0,107659.0,125914.0,128412.0,119793.0,101365.0,0.6508113369019851,0.6057859144530398,0.6386857516822445,0.5774201667981139,0.5690366318191734,0.5979628479855017,0.6598090379742587
2021-01-07,101910.0,157045.0,138141.0,143666.0,143666.0,144980.0,139404.0,139404.0,0.541016583259739,0.35551957609655577,0.4097340790893926,0.4097340790893926,0.4226278088509469,0.36791286429202236,0.36791286429202236
2021-01-08,96051.0,117539.0,126381.0,108009.0,108009.0,107939.0,126300.0,126300.0,0.2237144850131701,0.31576974732173535,0.1244963613080551,0.1244963613080551,0.12376758180549916,0.3149264453259206,0.3149264453259206
2021-01-11,78353.0,104388.0,117452.0,104685.0,104685.0,104549.0,117299.0,117299.0,0.33227827907036106,0.4990108866284635,0.3360688167651526,0.3360688167651526,0.3343330823325208,0.4970581853917527,0.4970581853917527
2021-01-12,88812.0,89530.0,106413.0,94671.0,94671.0,95378.0,107208.0,107208.0,0.00808449308651984,0.19818267801648426,0.06597081475476287,0.06597081475476287,0.07393145070485971,0.20713417105796514,0.20713417105796514
2021-01-13,220420.0,92139.0,102989.0,95569.0,95569.0,96052.0,103511.0,103511.0,0.5819843934307232,0.5327601851011705,0.5664231920878323,0.5664231920878323,0.5642319208783232,0.5303919789492787,0.5303919789492787
2021-01-14,276906.0,134761.0,127608.0,124532.0,124532.0,124727.0,127808.0,127808.0,0.5133330444266285,0.5391649151697688,0.5502733779694192,0.5502733779694192,0.5495691678764635,0.5384426484077629,0.5384426484077629
2021-01-15,109394.0,165291.0,157362.0,188052.0,188052.0,188891.0,158064.0,158064.0,0.5109695230085745,0.43848839972941844,0.7190339506737116,0.7190339506737116,0.7267034755105399,0.44490557068943454,0.44490557068943454
2021-01-19,102145.0,123551.0,140700.0,139718.0,139718.0,140850.0,141839.0,141839.0,0.20956483430417544,0.37745361985412895,0.367839835527926,0.367839835527926,0.3789221205149542,0.3886044348719957,0.3886044348719957
2021-01-20,95467.0,110007.0,128576.0,119810.0,119810.0,120349.0,129155.0,129155.0,0.1523039374862518,0.3468109399059361,0.2549886348162192,0.2549886348162192,0.2606345648234468,0.35287586286360734,0.35287586286360734
2021-01-21,69243.0,97920.0,119046.0,108987.0,108987.0,108892.0,118942.0,118942.0,0.41415016680386463,0.719249599237468,0.5739785971145098,0.5739785971145098,0.5726066172753924,0.7177476423609607,0.7177476423609607
2021-01-22,179446.0,86076.0,121096.0,90816.0,105902.0,108866.0,124486.0,103663.0,0.5203236628289291,0.32516745984864526,0.4939090311291419,0.4098391716728152,0.3933216677997838,0.30627598274689877,0.42231646289134334
2021-01-25,87339.0,125511.0,122583.0,110737.0,110737.0,110342.0,122147.0,122147.0,0.43705561089547623,0.4035310685947858,0.267898647797662,0.267898647797662,0.26337604048592267,0.39853902609372677,0.39853902609372677
2021-01-26,101875.0,102761.0,112422.0,92632.0,92632.0,92870.0,112712.0,112712.0,0.008696932515337423,0.10352883435582821,0.09072883435582822,0.09072883435582822,0.08839263803680981,0.10637546012269938,0.10637546012269938
2021-01-27,165574.0,109648.0,110792.0,101208.0,101208.0,101412.0,111016.0,111016.0,0.3377704228924831,0.3308611255390339,0.3887446096609371,0.3887446096609371,0.3875125321608465,0.3295082561271697,0.3295082561271697
2021-01-28,109971.0,128778.0,124565.0,131276.0,131276.0,137644.0,130608.0,130608.0,0.17101781378727118,0.13270771385183366,0.19373289321730275,0.19373289321730275,0.25163906848169065,0.187658564530649,0.187658564530649
2021-01-29,144004.0,119683.0,120747.0,119860.0,119860.0,122976.0,123886.0,123886.0,0.16889114191272464,0.1615024582650482,0.1676620093886281,0.1676620093886281,0.1460237215632899,0.13970445265409295,0.13970445265409295
2021-02-01,123621.0,129414.0,127053.0,131228.0,131228.0,135909.0,131584.0,131584.0,0.046860970223505716,0.02776227340015046,0.06153485249269946,0.06153485249269946,0.09940058727886039,0.06441462211112998,0.06441462211112998
2021-02-02,97253.0,128408.0,126346.0,126603.0,126603.0,129956.0,129692.0,129692.0,0.3203500149095658,0.299147584136222,0.30179017613852527,0.30179017613852527,0.336267261678303,0.3335526924619292,0.3335526924619292
2021-02-03,133412.0,113369.0,118215.0,111634.0,111634.0,112939.0,119597.0,119597.0,0.15023386202140737,0.11391029292717297,0.1632386891733877,0.1632386891733877,0.15345696039336792,0.10355140467124396,0.10355140467124396
2021-02-04,125672.0,124934.0,122813.0,123334.0,123334.0,123779.0,123256.0,123256.0,0.005872429817302184,0.022749697625564964,0.018603984976764913,0.018603984976764913,0.015063021198039341,0.01922464829078872,0.01922464829078872
2021-02-05,70276.0,119171.0,123969.0,124474.0,124474.0,124620.0,124115.0,124115.0,0.695756730605043,0.7640303944447606,0.7712163469747851,0.7712163469747851,0.7732938698844556,0.7661079173544311,0.7661079173544311
2021-02-08,66500.0,94816.0,107668.0,95479.0,95479.0,95130.0,107275.0,107275.0,0.42580451127819546,0.6190676691729323,0.43577443609022554,0.43577443609022554,0.4305263157894737,0.6131578947368421,0.6131578947368421
2021-02-09,75968.0,87305.0,96278.0,83884.0,83884.0,83677.0,96039.0,96039.0,0.14923388795282225,0.2673494102780118,0.10420176916596462,0.10420176916596462,0.10147693765796124,0.26420334877843304,0.26420334877843304
2021-02-10,81429.0,90835.0,92457.0,85193.0,85193.0,85078.0,92333.0,92333.0,0.11551167274558204,0.13543086615333602,0.046224318117623946,0.046224318117623946,0.04481204484888676,0.13390806715052378,0.13390806715052378
2021-02-11,128805.0,93179.0,91699.0,88531.0,88531.0,88508.0,91676.0,91676.0,0.27658864174527387,0.28807887892550754,0.31267419743022395,0.31267419743022395,0.31285276192694383,0.2882574434222274,0.2882574434222274
2021-02-12,86300.0,111080.0,102965.0,111681.0,111681.0,111373.0,102681.0,102681.0,0.28713789107763615,0.19310544611819236,0.29410196987253767,0.29410196987253767,0.2905330243337196,0.1898146002317497,0.1898146002317497
2021-02-16,106346.0,94459.0,100129.0,100609.0,100609.0,99787.0,99311.0,99311.0,0.11177665356477912,0.05846012073796852,0.05394655182141312,0.05394655182141312,0.06167603859101423,0.066151994433265,0.066151994433265
2021-02-17,86584.0,102386.0,103735.0,106727.0,106727.0,106338.0,103357.0,103357.0,0.18250485078074472,0.19808509655363576,0.23264113462071515,0.23264113462071515,0.2281483876928763,0.19371939388339646,0.19371939388339646
2021-02-18,53908.0,95397.0,100644.0,99197.0,99197.0,98850.0,100292.0,100292.0,0.7696260295317949,0.8669585219262447,0.8401164947688655,0.8401164947688655,0.8336796022853751,0.8604288788306003,0.8604288788306003
2021-02-19,152119.0,76125.0,87175.0,77338.0,77338.0,77298.0,87129.0,87129.0,0.49956941604927724,0.4269289174922265,0.4915953957099376,0.4915953957099376,0.49185834774091336,0.4272313123278486,0.4272313123278486
2021-02-22,162310.0,116830.0,103718.0,92534.0,92534.0,92401.0,103568.0,103568.0,0.2802045468547841,0.3609882323948001,0.42989341383771795,0.42989341383771795,0.43071283346682276,0.3619123898712341,0.3619123898712341
2021-02-23,198438.0,126024.0,118699.0,136764.0,136764.0,137174.0,119055.0,119055.0,0.3649200253983612,0.4018333182152612,0.31079732712484504,0.31079732712484504,0.30873119059857485,0.40003930698757295,0.40003930698757295
2021-02-24,164980.0,145380.0,137478.0,161117.0,161117.0,161435.0,137750.0,137750.0,0.11880227906412899,0.16669899381743242,0.02341495938901685,0.02341495938901685,0.021487453024609044,0.1650503091283792,0.1650503091283792
2021-02-25,172861.0,139570.0,143974.0,156270.0,156270.0,155706.0,143454.0,143454.0,0.19258826455938585,0.1671111471066348,0.0959788500587177,0.0959788500587177,0.09924158717119536,0.17011934444438018,0.17011934444438018
2021-02-26,175952.0,138446.0,150188.0,158060.0,158060.0,161299.0,153266.0,153266.0,0.21316040738383196,0.1464262980812949,0.10168682367918523,0.10168682367918523,0.08327839410748386,0.12893289078839684,0.12893289078839684
2021-03-01,96509.0,142890.0,155063.0,160207.0,160207.0,162959.0,157726.0,157726.0,0.48058730273860467,0.6067206167300458,0.6600213451595188,0.6600213451595188,0.68853682040017,0.6343138981856614,0.6343138981856614
2021-03-02,83242.0,109446.0,134430.0,120520.0,120520.0,120955.0,134915.0,134915.0,0.3147930131424041,0.6149299632397107,0.44782681819273923,0.44782681819273923,0.4530525455899666,0.6207563489584584,0.6207563489584584
2021-03-03,120624.0,96554.0,117818.0,101082.0,101082.0,101678.0,118513.0,118513.0,0.19954569571561215,0.02326236901445815,0.16200756068444092,0.16200756068444092,0.15706658708051466,0.017500663217933414,0.017500663217933414
2021-03-04,166850.0,111515.0,119486.0,114011.0,114011.0,115598.0,121150.0,121150.0,0.33164519029068024,0.28387174108480673,0.31668564578963143,0.31668564578963143,0.3071741084806713,0.2738987114174408,0.2738987114174408
2021-03-05,204123.0,131579.0,131628.0,139382.0,139382.0,142103.0,134197.0,134197.0,0.35539356172503833,0.3551535103834453,0.3171666103280865,0.3171666103280865,0.30383641235921477,0.3425679614742092,0.3425679614742092
2021-03-08,123966.0,151425.0,147966.0,164796.0,164796.0,166066.0,149107.0,149107.0,0.2215042834325541,0.19360147137118242,0.3293645031702241,0.3293645031702241,0.33960924769694917,0.20280560798928737,0.20280560798928737
2021-03-09,107647.0,129783.0,139700.0,137065.0,137065.0,138362.0,141022.0,141022.0,0.20563508504649455,0.29776027200014865,0.27328211654760465,0.27328211654760465,0.28533075701134264,0.3100411530279525,0.3100411530279525
2021-03-10,104183.0,118822.0,129581.0,120160.0,120160.0,120738.0,130204.0,130204.0,0.1405123676607508,0.24378257489225688,0.15335515391186663,0.15335515391186663,0.15890308399642936,0.24976243724983924,0.24976243724983924
2021-03-11,105047.0,114880.0,122283.0,112989.0,112989.0,113002.0,122296.0,122296.0,0.09360571934467429,0.16407893609527163,0.07560425333422183,0.07560425333422183,0.07572800746332593,0.16420269022437575,0.16420269022437575
2021-03-12,173475.0,114457.0,117520.0,110793.0,110793.0,110767.0,117492.0,117492.0,0.34021040495748667,0.322553682086756,0.3613316039775184,0.3613316039775184,0.36148148148148146,0.3227150886294855,0.3227150886294855
2021-03-15,118262.0,142429.0,132112.0,140437.0,140437.0,139300.0,131042.0,131042.0,0.20435135546498454,0.11711285112715834,0.18750739882633474,0.18750739882633474,0.17789315249192472,0.10806514349495189,0.10806514349495189
2021-03-16,128299.0,128502.0,128198.0,126996.0,126996.0,125860.0,127051.0,127051.0,0.0015822414827863038,0.0007872235948838261,0.010155963803303221,0.010155963803303221,0.0190102806724916,0.009727277687277375,0.009727277687277375
2021-03-17,112682.0,129174.0,128476.0,127440.0,127440.0,126208.0,127235.0,127235.0,0.14635877957437746,0.14016435633020358,0.13097034131449567,0.13097034131449567,0.12003691805257273,0.12915106228146464,0.12915106228146464
2021-03-18,89372.0,123992.0,124243.0,119899.0,119899.0,118534.0,122829.0,122829.0,0.3873696459741306,0.3901781318533769,0.3415723045249071,0.3415723045249071,0.32629906458398605,0.3743566217607304,0.3743566217607304
2021-03-19,366232.0,114012.0,114387.0,105080.0,105080.0,104586.0,113848.0,113848.0,0.6886891369405186,0.6876651958321501,0.7130780488870443,0.7130780488870443,0.7144269206404683,0.6891369405185784,0.6891369405185784
2021-03-22,152560.0,202384.0,156732.0,132022.0,132022.0,130827.0,155313.0,155313.0,0.3265862611431568,0.027346617724174096,0.13462244362873624,0.13462244362873624,0.14245542737283692,0.01804535920293655,0.01804535920293655
2021-03-23,184332.0,155579.0,153723.0,133412.0,133412.0,131539.0,151564.0,151564.0,0.15598485341666124,0.16605364234099343,0.2762406961352343,0.2762406961352343,0.28640170995811903,0.1777662044571751,0.1777662044571751
