DATE,total_vol_m,baseline,overnight_model,robustARMA_model,combined_model,combinedVIX_model,overnightVIX_model,robustVIX_model,baseline_error,overnight_error,robustARMA_error,combined_error,combinedVIX_error,overnightVIX_error,robustVIX_error
2021-01-04,10003714.0,9446233.0,9161341.0,8829395.0,8829395.0,8835655.0,9167837.0,9167837.0,0.05572740284258426,0.08420602588198743,0.11738830198464291,0.11738830198464291,0.1167625343947258,0.0835566670538562,0.0835566670538562
2021-01-05,9043630.0,10867871.0,9863946.0,10050790.0,10050790.0,10107976.0,9920069.0,9920069.0,0.20171557217621686,0.09070649728040621,0.11136678523999766,0.11136678523999766,0.1176901310646278,0.09691230180801293,0.09691230180801293
2021-01-06,9869419.0,10044148.0,9624306.0,9510295.0,9510295.0,9533913.0,9648208.0,9648208.0,0.01770408166883988,0.024835605824415803,0.036387552296644816,0.036387552296644816,0.03399450362782247,0.022413781398884777,0.022413781398884777
2021-01-07,12343804.0,10475655.0,9972077.0,10043499.0,10043499.0,10063193.0,9991631.0,9991631.0,0.15134305437772666,0.19213906831313912,0.18635300754937456,0.18635300754937456,0.1847575512378518,0.19055495372415182,0.19055495372415182
2021-01-08,10232385.0,12326345.0,11326123.0,11825054.0,11825054.0,11788972.0,11291564.0,11291564.0,0.20464046260964575,0.10688984044286841,0.15564983139316982,0.15564983139316982,0.1521235762727849,0.1035124264773071,0.1035124264773071
2021-01-11,14088790.0,10704424.0,10783935.0,10548494.0,10548494.0,10494907.0,10729152.0,10729152.0,0.24021693843119246,0.2345733735828272,0.2512846028651147,0.2512846028651147,0.2550881232526001,0.23846178415605598,0.23846178415605598
2021-01-12,7801267.0,13184526.0,12490999.0,13070197.0,13070197.0,13007878.0,12431442.0,12431442.0,0.6900493214756014,0.601150043960808,0.6753941379009333,0.6753941379009333,0.6674058201058879,0.593515771220239,0.593515771220239
2021-01-13,5854253.0,9063603.0,9770598.0,8894131.0,8894131.0,8839236.0,9710293.0,9710293.0,0.5482082854977398,0.6689743337023528,0.519259758674591,0.519259758674591,0.5098828151089473,0.6586732756510523,0.6586732756510523
2021-01-14,10380362.0,7520036.0,7667590.0,6880213.0,6880213.0,6824164.0,7605126.0,7605126.0,0.2755516618784586,0.26133693603363733,0.3371894930061206,0.3371894930061206,0.3425890156817267,0.26735445257111456,0.26735445257111456
2021-01-15,19340568.0,10789932.0,9367615.0,9924139.0,9924139.0,9860142.0,9307207.0,9307207.0,0.44210883568672854,0.5156494369762046,0.486874480625388,0.486874480625388,0.4901834320481177,0.5187728199089086,0.5187728199089086
2021-01-19,10587753.0,15914728.0,13849949.0,16045981.0,16045981.0,16042086.0,13846588.0,13846588.0,0.5031261118388387,0.30811032331411586,0.5155227931743402,0.5155227931743402,0.5151549153063922,0.30779288107684416,0.30779288107684416
