DATE,total_vol_m,baseline,overnight_model,robustARMA_model,combined_model,combinedVIX_model,overnightVIX_model,robustVIX_model,baseline_error,overnight_error,robustARMA_error,combined_error,combinedVIX_error,overnightVIX_error,robustVIX_error
2021-01-04,3770004.0,1597986.0,1597870.0,1636143.0,1636143.0,1634388.0,1596156.0,1596156.0,0.5761314842106269,0.5761622534087497,0.5660102747901594,0.5660102747901594,0.5664757915376217,0.5766168948361858,0.5766168948361858
2021-01-05,2635869.0,2485613.0,2312170.0,2300910.0,2300910.0,2327347.0,2338736.0,2338736.0,0.05700435036794317,0.12280542014796639,0.12707725611553533,0.12707725611553533,0.11704754674833992,0.11272677056409101,0.11272677056409101
2021-01-06,2209966.0,2372867.0,2433075.0,2597827.0,2597827.0,2616416.0,2450484.0,2450484.0,0.07371199375918,0.10095585180948485,0.17550541501543462,0.17550541501543462,0.18391685663942342,0.10883334856735352,0.10883334856735352
2021-01-07,2589666.0,2180715.0,2326585.0,2316926.0,2316926.0,2331607.0,2341327.0,2341327.0,0.15791650351821432,0.10158877631323884,0.1053186009315487,0.1053186009315487,0.09964953009384221,0.09589615031436487,0.09589615031436487
2021-01-08,2854961.0,2286552.0,2416751.0,2444600.0,2444600.0,2443100.0,2415269.0,2415269.0,0.19909518904111123,0.1534907131831223,0.14373611408351988,0.14373611408351988,0.14426151530616355,0.15400980959109423,0.15400980959109423
2021-01-11,2411048.0,2482345.0,2557976.0,2620027.0,2620027.0,2609428.0,2547628.0,2547628.0,0.029570958355038972,0.06093947528211798,0.08667558671581818,0.08667558671581818,0.08227957303214203,0.05664756570586733,0.05664756570586733
2021-01-12,2208785.0,2349427.0,2466644.0,2439062.0,2439062.0,2446095.0,2473756.0,2473756.0,0.0636739202774376,0.11674246248503137,0.10425505424928184,0.10425505424928184,0.10743915772698565,0.11996233223242643,0.11996233223242643
2021-01-13,2608691.0,2226958.0,2343734.0,2278565.0,2278565.0,2280345.0,2345564.0,2345564.0,0.14633124429071898,0.10156703112787217,0.12654852567820413,0.12654852567820413,0.12586619112804084,0.10086552987686162,0.10086552987686162
2021-01-14,1862512.0,2333754.0,2432781.0,2442480.0,2442480.0,2436891.0,2427215.0,2427215.0,0.25301420876751396,0.3061827252656627,0.31139020849261645,0.31139020849261645,0.30838942245741235,0.30319428814418375,0.30319428814418375
2021-01-15,2765626.0,2025448.0,2180215.0,2070871.0,2070871.0,2073013.0,2182470.0,2182470.0,0.2676348862789112,0.21167395736082897,0.2512107566243592,0.2512107566243592,0.2504362484298311,0.2108585904240125,0.2108585904240125
2021-01-19,2004270.0,2381737.0,2393433.0,2447648.0,2447648.0,2458254.0,2403804.0,2403804.0,0.18833141243445245,0.19416695355416186,0.22121670234050303,0.22121670234050303,0.22650840455627236,0.19934140609798082,0.19934140609798082
2021-01-20,2421889.0,2113271.0,2225758.0,2159068.0,2159068.0,2161608.0,2228376.0,2228376.0,0.12742863112223557,0.08098265444865557,0.10851901139977926,0.10851901139977926,0.10747024326878729,0.0799016800522237,0.0799016800522237
2021-01-21,1493714.0,2163855.0,2301486.0,2304636.0,2304636.0,2296550.0,2293411.0,2293411.0,0.4486407705892828,0.5407808991547244,0.5428897365894676,0.5428897365894676,0.5374763843680919,0.5353749111275653,0.5353749111275653
2021-01-22,1308150.0,1738025.0,1956304.0,1809057.0,1809057.0,1801349.0,1947968.0,1947968.0,0.3286129266521423,0.4954737606543592,0.38291251003325305,0.38291251003325305,0.3770202193938004,0.4891014027443336,0.4891014027443336
2021-01-25,2181513.0,1543834.0,1709001.0,1567958.0,1567958.0,1565135.0,1705923.0,1705923.0,0.2923104285878654,0.21659829668674907,0.2812520484636122,0.2812520484636122,0.282546104469696,0.2180092440430105,0.2180092440430105
2021-01-26,1371867.0,1949299.0,1936406.0,1882656.0,1882656.0,1886570.0,1940431.0,1940431.0,0.4209096071266384,0.4115114657616227,0.37233128284301614,0.37233128284301614,0.3751843290931264,0.4144454236452951,0.4144454236452951
2021-01-27,2247615.0,1702665.0,1734013.0,1520989.0,1520989.0,1523349.0,1736704.0,1736704.0,0.24245700442469018,0.22850977591802868,0.32328757371702893,0.32328757371702893,0.3222375718261357,0.2273125068127771,0.2273125068127771
2021-01-28,1681443.0,2097271.0,1969460.0,1928832.0,1928832.0,2012036.0,2054417.0,2054417.0,0.2473042499805227,0.17129156325846312,0.1471289838549389,0.1471289838549389,0.19661267137809607,0.22181780768066475,0.22181780768066475
2021-01-29,1896863.0,1899953.0,1886788.0,1844795.0,1844795.0,1884751.0,1927654.0,1927654.0,0.0016290053630652293,0.00531140098151527,0.02744953114695157,0.02744953114695157,0.006385279274254387,0.016232590334673617,0.016232590334673617
