DATE,total_vol_m,baseline,overnight_model,robustARMA_model,combined_model,combinedVIX_model,overnightVIX_model,robustVIX_model,baseline_error,overnight_error,robustARMA_error,combined_error,combinedVIX_error,overnightVIX_error,robustVIX_error
2021-01-04,1587071.0,1467725.0,1425981.0,1451558.0,1451558.0,1452797.0,1427198.0,1427198.0,0.07519890414480511,0.10150144511493185,0.08538559396523533,0.08538559396523533,0.08460491055535638,0.10073462371878762,0.10073462371878762
2021-01-05,2617660.0,1539605.0,1537810.0,1561108.0,1561108.0,1591353.0,1567604.0,1567604.0,0.4118391998960904,0.4125249268430583,0.4036246112940565,0.4036246112940565,0.3920703987530848,0.40114300558514093,0.40114300558514093
2021-01-06,3356951.0,1952243.0,2029013.0,2062061.0,2062061.0,2087985.0,2054522.0,2054522.0,0.4184475734081314,0.39557860689655583,0.3857339591790288,0.3857339591790288,0.37801147529409873,0.38797974709788735,0.38797974709788735
2021-01-07,2866396.0,2355594.0,2541725.0,2711679.0,2711679.0,2742927.0,2571014.0,2571014.0,0.17820356991846206,0.11326802018981327,0.05397614286372155,0.05397614286372155,0.04307464844355072,0.10304996239179792,0.10304996239179792
2021-01-08,2989834.0,2289523.0,2528155.0,2574208.0,2574208.0,2574670.0,2528609.0,2528609.0,0.23423072986660798,0.1544162652508467,0.13901306895299204,0.13901306895299204,0.138858545323921,0.1542644173556124,0.1542644173556124
2021-01-11,2342376.0,2345313.0,3173072.0,2618186.0,3219270.0,3407130.0,3358236.0,2573884.0,0.0012538550599903687,0.35463819642960825,0.11774796189851672,0.37436090533714483,0.4545615221467433,0.433687845162348,0.0988346875138748
2021-01-12,11572355.0,2102562.0,2295690.0,2256252.0,2256252.0,2276234.0,2316021.0,2316021.0,0.8183116573938494,0.8016229194489799,0.8050308688248848,0.8050308688248848,0.8033041675613996,0.7998660601061754,0.7998660601061754
2021-01-13,2916515.0,4499573.0,4944378.0,2851953.0,2851953.0,2867587.0,4971482.0,4971482.0,0.5427909679874782,0.6953034700661578,0.02213669396522905,0.02213669396522905,0.016776186647419953,0.7045967533168868,0.7045967533168868
2021-01-14,2853615.0,2805360.0,3263205.0,2529964.0,2529964.0,2532311.0,3266231.0,3266231.0,0.01691012978274925,0.1435337282709826,0.1134178927430645,0.1134178927430645,0.11259542720373981,0.1445941376114157,0.1445941376114157
2021-01-15,2531779.0,2520272.0,2782077.0,2541486.0,2541486.0,2554048.0,2795829.0,2795829.0,0.004545025454433424,0.09886249945196639,0.0038340629257135003,0.0038340629257135003,0.008795791417813325,0.1042942531713866,0.1042942531713866
2021-01-19,2676367.0,2333612.0,2467155.0,2358050.0,2358050.0,2378148.0,2488182.0,2488182.0,0.12806726431763657,0.0781701463214873,0.11893622959780926,0.11893622959780926,0.11142679610083371,0.07031360048902112,0.07031360048902112
2021-01-20,2084678.0,2391030.0,2430434.0,2405418.0,2405418.0,2414518.0,2439628.0,2439628.0,0.1469541099392808,0.16585583001307636,0.1538558952509692,0.1538558952509692,0.1582210777875528,0.1702661034461917,0.1702661034461917
