date,time,sym_root,sym_suffix,price
2021-09-01,16:00:00,AGM,A,93.17
2021-09-02,09:44:00,AGM,A,92.05
2021-09-02,16:00:00,AGM,A,94.99
2021-09-03,09:30:00,AGM,A,95.535
2021-09-03,11:19:00,AGM,A,94.97
2021-09-03,14:36:00,AGM,A,98.01
2021-09-03,16:00:00,AGM,A,95.03
2021-09-07,09:30:00,AGM,A,92.12
2021-09-07,10:34:00,AGM,A,93.5
2021-09-07,10:36:00,AGM,A,93.5
2021-09-07,10:40:00,AGM,A,94.29
2021-09-07,10:43:00,AGM,A,94.0
2021-09-07,10:44:00,AGM,A,94.29
2021-09-07,10:47:00,AGM,A,94.29
2021-09-07,11:04:00,AGM,A,93.5
2021-09-07,11:22:00,AGM,A,93.5
2021-09-07,13:30:00,AGM,A,92.52
2021-09-07,13:37:00,AGM,A,94.215
2021-09-07,14:59:00,AGM,A,92.52
2021-09-07,15:45:00,AGM,A,93.0
2021-09-07,15:46:00,AGM,A,96.18
2021-09-07,16:00:00,AGM,A,95.55
2021-09-07,16:10:00,AGM,A,96.18
2021-09-07,18:30:00,AGM,A,96.18
2021-09-07,19:00:00,AGM,A,96.18
2021-09-08,09:53:00,AGM,A,96.0
2021-09-08,10:04:00,AGM,A,96.0
2021-09-08,10:16:00,AGM,A,96.0
2021-09-08,16:00:00,AGM,A,94.49
2021-09-09,11:02:00,AGM,A,97.35
2021-09-09,16:00:00,AGM,A,94.74
2021-09-10,09:46:00,AGM,A,94.435
2021-09-10,16:00:00,AGM,A,93.57
2021-09-13,09:30:00,AGM,A,99.0
2021-09-13,10:57:00,AGM,A,91.48
2021-09-13,13:14:00,AGM,A,96.5
2021-09-13,15:42:00,AGM,A,94.01
2021-09-13,15:59:00,AGM,A,96.5
2021-09-14,14:41:00,AGM,A,96.76
2021-09-14,15:32:00,AGM,A,91.29777777777778
2021-09-14,15:33:00,AGM,A,90.55
2021-09-14,15:42:00,AGM,A,91.1
2021-09-14,16:00:00,AGM,A,92.02
2021-09-14,16:10:00,AGM,A,92.02
2021-09-14,18:30:00,AGM,A,92.02
