date,time,sym_root,sym_suffix,price
2021-09-01,12:50:00,PCG,PRB,27.45
2021-09-01,15:51:00,PCG,PRB,26.89
2021-09-01,16:00:00,PCG,PRB,26.89
2021-09-01,16:10:00,PCG,PRB,26.89
2021-09-01,18:30:00,PCG,PRB,26.89
2021-09-01,20:00:00,PCG,PRB,26.89
2021-09-07,14:22:00,PCG,PRB,26.92333333333333
2021-09-07,14:23:00,PCG,PRB,27.188
2021-09-07,16:00:00,PCG,PRB,27.29
2021-09-07,16:10:00,PCG,PRB,27.29
2021-09-07,18:30:00,PCG,PRB,27.29
2021-09-07,20:00:00,PCG,PRB,27.29
2021-09-08,14:46:00,PCG,PRB,27.29
2021-09-08,16:00:00,PCG,PRB,27.29
2021-09-08,16:10:00,PCG,PRB,27.29
2021-09-08,18:30:00,PCG,PRB,27.29
2021-09-08,20:00:00,PCG,PRB,27.29
2021-09-09,13:42:00,PCG,PRB,26.62
2021-09-09,15:15:00,PCG,PRB,27.045
2021-09-09,15:16:00,PCG,PRB,27.0001
2021-09-09,15:40:00,PCG,PRB,27.35
2021-09-09,16:00:00,PCG,PRB,27.7
2021-09-09,16:10:00,PCG,PRB,27.7
2021-09-09,18:30:00,PCG,PRB,27.7
2021-09-09,20:00:00,PCG,PRB,27.7
2021-09-13,13:20:00,PCG,PRB,27.3
2021-09-13,14:11:00,PCG,PRB,27.3
2021-09-13,16:00:00,PCG,PRB,27.3
2021-09-13,16:10:00,PCG,PRB,27.3
2021-09-13,18:30:00,PCG,PRB,27.3
2021-09-13,20:00:00,PCG,PRB,27.3
2021-09-14,09:30:00,PCG,PRB,26.66
2021-09-14,10:49:00,PCG,PRB,26.9091
2021-09-14,15:11:00,PCG,PRB,26.89
2021-09-15,15:59:00,PCG,PRB,26.64
2021-09-16,09:52:00,PCG,PRB,26.6
2021-09-22,09:30:00,PCG,PRB,26.71
2021-09-22,10:53:00,PCG,PRB,27.02
2021-09-22,16:00:00,PCG,PRB,27.0125
2021-09-22,16:10:00,PCG,PRB,27.02
2021-09-22,18:30:00,PCG,PRB,27.02
2021-09-22,20:00:00,PCG,PRB,27.02
2021-09-23,09:30:00,PCG,PRB,26.55
2021-09-23,15:59:00,PCG,PRB,26.55666666666667
2021-09-23,16:00:00,PCG,PRB,26.55
2021-09-23,16:10:00,PCG,PRB,26.55
2021-09-23,18:30:00,PCG,PRB,26.55
2021-09-23,20:00:00,PCG,PRB,26.55
2021-09-24,15:59:00,PCG,PRB,26.39
2021-09-27,12:29:00,PCG,PRB,27.21
2021-09-27,13:19:00,PCG,PRB,26.92
2021-09-27,15:42:00,PCG,PRB,26.14
2021-09-27,16:00:00,PCG,PRB,26.92
2021-09-27,16:10:00,PCG,PRB,26.92
2021-09-27,18:30:00,PCG,PRB,26.92
2021-09-27,20:00:00,PCG,PRB,26.92
2021-09-29,09:51:00,PCG,PRB,26.7
2021-09-30,09:47:00,PCG,PRB,26.9
2021-10-04,12:02:00,PCG,PRB,26.77
2021-10-04,13:36:00,PCG,PRB,26.51
2021-10-04,14:38:00,PCG,PRB,26.5
2021-10-04,15:29:00,PCG,PRB,26.5
2021-10-04,16:00:00,PCG,PRB,26.565
2021-10-04,16:10:00,PCG,PRB,26.5
2021-10-04,18:30:00,PCG,PRB,26.5
2021-10-04,20:00:00,PCG,PRB,26.5
2021-10-05,11:23:00,PCG,PRB,26.5
2021-10-05,14:28:00,PCG,PRB,26.745
2021-10-11,11:35:00,PCG,PRB,26.0
2021-10-11,11:36:00,PCG,PRB,26.0625
2021-10-11,11:37:00,PCG,PRB,26.086666666666662
2021-10-11,12:19:00,PCG,PRB,26.09
2021-10-11,12:54:00,PCG,PRB,26.09
2021-10-11,12:55:00,PCG,PRB,26.09583333333333
2021-10-11,12:56:00,PCG,PRB,26.0975
2021-10-11,12:57:00,PCG,PRB,26.072
2021-10-11,13:41:00,PCG,PRB,26.07
2021-10-11,14:54:00,PCG,PRB,26.04
2021-10-11,15:43:00,PCG,PRB,26.043333333333333
2021-10-11,15:46:00,PCG,PRB,26.01333333333333
2021-10-11,15:47:00,PCG,PRB,26.04
2021-10-11,15:51:00,PCG,PRB,25.901
2021-10-11,16:00:00,PCG,PRB,26.01333333333333
2021-10-11,16:10:00,PCG,PRB,26.0
2021-10-11,18:30:00,PCG,PRB,26.0
2021-10-11,20:00:00,PCG,PRB,26.0
2021-10-13,11:15:00,PCG,PRB,26.0941875
2021-10-13,11:17:00,PCG,PRB,26.13529411764706
2021-10-13,11:18:00,PCG,PRB,26.3
2021-10-13,16:00:00,PCG,PRB,26.3
2021-10-13,16:10:00,PCG,PRB,26.3
2021-10-13,18:30:00,PCG,PRB,26.3
2021-10-13,20:00:00,PCG,PRB,26.3
2021-10-14,13:23:00,PCG,PRB,26.23
2021-10-14,13:24:00,PCG,PRB,26.292857142857144
2021-10-14,15:55:00,PCG,PRB,26.31
2021-10-14,16:00:00,PCG,PRB,26.31
2021-10-14,16:10:00,PCG,PRB,26.31
2021-10-14,18:30:00,PCG,PRB,26.31
2021-10-14,20:00:00,PCG,PRB,26.31
2021-10-15,11:40:00,PCG,PRB,26.82575
2021-10-20,09:30:00,PCG,PRB,26.32
2021-10-20,12:34:00,PCG,PRB,26.2471
2021-10-20,14:33:00,PCG,PRB,25.71
2021-10-20,16:00:00,PCG,PRB,26.32
2021-10-20,16:10:00,PCG,PRB,26.32
2021-10-20,18:30:00,PCG,PRB,26.32
2021-10-20,20:00:00,PCG,PRB,26.32
2021-10-21,12:28:00,PCG,PRB,26.545
2021-10-21,13:27:00,PCG,PRB,25.706666666666667
2021-10-21,13:58:00,PCG,PRB,26.075
2021-10-21,14:10:00,PCG,PRB,25.971666666666668
2021-10-21,14:22:00,PCG,PRB,26.1
2021-10-21,16:00:00,PCG,PRB,26.28
2021-10-21,16:10:00,PCG,PRB,26.28
2021-10-21,18:30:00,PCG,PRB,26.28
2021-10-21,20:00:00,PCG,PRB,26.28
2021-10-22,11:24:00,PCG,PRB,25.78
2021-10-22,11:38:00,PCG,PRB,25.905
2021-10-22,12:48:00,PCG,PRB,26.12333333333333
2021-10-22,14:37:00,PCG,PRB,26.075
2021-10-22,15:50:00,PCG,PRB,25.95
2021-10-22,16:00:00,PCG,PRB,25.99
2021-10-22,16:10:00,PCG,PRB,25.95
2021-10-22,18:30:00,PCG,PRB,25.95
2021-10-22,20:00:00,PCG,PRB,25.95
2021-10-25,09:30:00,PCG,PRB,26.02
2021-10-25,09:35:00,PCG,PRB,26.37
2021-10-25,14:09:00,PCG,PRB,25.955
2021-10-25,14:10:00,PCG,PRB,26.2
2021-10-25,14:12:00,PCG,PRB,26.2
2021-10-25,15:49:00,PCG,PRB,26.2
2021-10-25,16:00:00,PCG,PRB,26.2
2021-10-25,16:10:00,PCG,PRB,26.2
2021-10-25,18:30:00,PCG,PRB,26.2
2021-10-25,20:00:00,PCG,PRB,26.2
2021-10-26,10:04:00,PCG,PRB,26.21
2021-10-26,11:00:00,PCG,PRB,26.857
2021-10-26,11:01:00,PCG,PRB,26.8075
2021-10-26,12:46:00,PCG,PRB,26.87
2021-10-26,12:47:00,PCG,PRB,26.95
2021-10-26,13:27:00,PCG,PRB,27.3
2021-10-26,13:28:00,PCG,PRB,27.3
2021-10-26,13:32:00,PCG,PRB,27.2506
2021-10-26,13:49:00,PCG,PRB,27.2275
2021-10-26,14:30:00,PCG,PRB,27.395
2021-10-26,15:43:00,PCG,PRB,27.4015
2021-10-26,16:00:00,PCG,PRB,27.345333333333333
