date,time,sym_root,sym_suffix,price
2021-09-02,13:34:00,PCG,PRC,25.01
2021-09-02,16:00:00,PCG,PRC,25.01
2021-09-07,09:33:00,PCG,PRC,25.085
2021-09-08,12:40:00,PCG,PRC,25.292
2021-09-08,13:02:00,PCG,PRC,26.15
2021-09-08,16:00:00,PCG,PRC,25.3
2021-09-08,16:10:00,PCG,PRC,25.3
2021-09-08,18:30:00,PCG,PRC,25.3
2021-09-08,20:00:00,PCG,PRC,25.3
2021-09-09,12:09:00,PCG,PRC,24.62
2021-09-09,12:13:00,PCG,PRC,25.29
2021-09-09,15:57:00,PCG,PRC,25.3
2021-09-09,16:00:00,PCG,PRC,25.293333333333333
2021-09-09,16:10:00,PCG,PRC,25.29
2021-09-09,18:30:00,PCG,PRC,25.29
2021-09-09,20:00:00,PCG,PRC,25.29
2021-09-13,13:15:00,PCG,PRC,25.29
2021-09-13,16:00:00,PCG,PRC,25.29
2021-09-13,16:10:00,PCG,PRC,25.29
2021-09-13,18:30:00,PCG,PRC,25.29
2021-09-13,20:00:00,PCG,PRC,25.29
2021-09-14,14:27:00,PCG,PRC,25.35
2021-09-14,14:53:00,PCG,PRC,25.32
2021-09-14,15:13:00,PCG,PRC,25.3212
2021-09-14,15:17:00,PCG,PRC,25.315
2021-09-14,16:00:00,PCG,PRC,25.316666666666663
2021-09-14,16:10:00,PCG,PRC,25.315
2021-09-14,18:30:00,PCG,PRC,25.315
2021-09-14,20:00:00,PCG,PRC,25.315
2021-09-20,11:30:00,PCG,PRC,25.34
2021-09-20,16:00:00,PCG,PRC,25.34
2021-09-20,16:10:00,PCG,PRC,25.34
2021-09-20,18:30:00,PCG,PRC,25.34
2021-09-20,20:00:00,PCG,PRC,25.34
2021-09-22,11:03:00,PCG,PRC,25.04
2021-09-22,16:00:00,PCG,PRC,25.04
2021-09-22,16:10:00,PCG,PRC,25.04
2021-09-22,18:30:00,PCG,PRC,25.04
2021-09-22,20:00:00,PCG,PRC,25.04
2021-09-23,13:46:00,PCG,PRC,25.41
2021-09-23,13:49:00,PCG,PRC,25.715
2021-09-23,16:00:00,PCG,PRC,25.715
2021-09-23,16:10:00,PCG,PRC,25.715
2021-09-23,18:30:00,PCG,PRC,25.715
2021-09-23,20:00:00,PCG,PRC,25.715
2021-09-24,12:35:00,PCG,PRC,25.03
2021-10-04,11:09:00,PCG,PRC,27.075
2021-10-04,14:41:00,PCG,PRC,24.876666666666665
2021-10-04,16:00:00,PCG,PRC,25.796666666666667
2021-10-04,16:10:00,PCG,PRC,24.85
2021-10-04,18:30:00,PCG,PRC,24.85
2021-10-04,20:00:00,PCG,PRC,24.85
2021-10-05,09:52:00,PCG,PRC,25.4
2021-10-11,09:47:00,PCG,PRC,25.48
2021-10-18,10:26:00,PCG,PRC,25.01
2021-10-18,16:00:00,PCG,PRC,25.01
2021-10-21,13:27:00,PCG,PRC,24.54
2021-10-22,11:24:00,PCG,PRC,24.51
2021-10-22,13:10:00,PCG,PRC,24.523333333333333
2021-10-22,16:00:00,PCG,PRC,24.5
2021-10-22,16:10:00,PCG,PRC,24.5
2021-10-22,18:30:00,PCG,PRC,24.5
2021-10-22,20:00:00,PCG,PRC,24.5
2021-10-25,10:13:00,PCG,PRC,24.05
2021-10-26,10:04:00,PCG,PRC,24.01
2021-10-26,12:44:00,PCG,PRC,25.17
2021-10-26,12:45:00,PCG,PRC,25.25
2021-10-26,12:47:00,PCG,PRC,25.3
2021-10-26,12:49:00,PCG,PRC,25.3
2021-10-26,16:00:00,PCG,PRC,25.28333333333333
2021-10-26,16:10:00,PCG,PRC,25.3
2021-10-26,18:30:00,PCG,PRC,25.3
2021-10-26,20:00:00,PCG,PRC,25.3
2021-10-27,10:25:00,PCG,PRC,25.2125
2021-10-27,12:51:00,PCG,PRC,25.555
2021-10-27,12:52:00,PCG,PRC,25.6
2021-10-27,13:20:00,PCG,PRC,25.59
2021-10-27,16:00:00,PCG,PRC,25.593333333333334
2021-10-27,16:10:00,PCG,PRC,25.59
2021-10-27,18:30:00,PCG,PRC,25.59
2021-10-27,20:00:00,PCG,PRC,25.59
2021-10-28,11:34:00,PCG,PRC,25.35
2021-10-29,10:27:00,PCG,PRC,26.545
2021-10-29,10:28:00,PCG,PRC,25.5
2021-10-29,10:29:00,PCG,PRC,25.5
2021-10-29,12:46:00,PCG,PRC,25.5
2021-10-29,16:00:00,PCG,PRC,25.5
2021-10-29,16:10:00,PCG,PRC,25.5
2021-10-29,18:30:00,PCG,PRC,25.5
2021-10-29,20:00:00,PCG,PRC,25.5
2021-11-01,13:51:00,PCG,PRC,25.0
2021-11-02,10:14:00,PCG,PRC,25.26
2021-11-02,10:25:00,PCG,PRC,27.46
2021-11-02,14:11:00,PCG,PRC,25.9394
2021-11-02,16:00:00,PCG,PRC,25.9394
2021-11-02,16:10:00,PCG,PRC,25.9394
2021-11-02,18:30:00,PCG,PRC,25.9394
2021-11-02,20:00:00,PCG,PRC,25.9394
2021-11-03,10:13:00,PCG,PRC,25.29
2021-11-04,09:53:00,PCG,PRC,25.25
2021-11-04,14:51:00,PCG,PRC,27.935
2021-11-04,16:00:00,PCG,PRC,25.27
2021-11-08,09:30:00,PCG,PRC,27.69
2021-11-08,12:22:00,PCG,PRC,25.26
2021-11-09,09:48:00,PCG,PRC,25.26
2021-11-10,09:37:00,PCG,PRC,25.76
2021-11-10,11:08:00,PCG,PRC,25.26
2021-11-10,14:49:00,PCG,PRC,25.481666666666666
2021-11-10,16:00:00,PCG,PRC,25.5
2021-11-16,09:44:00,PCG,PRC,25.26
2021-11-17,10:51:00,PCG,PRC,25.26
2021-11-18,10:19:00,PCG,PRC,25.75
2021-11-19,11:28:00,PCG,PRC,25.26
2021-11-19,15:58:00,PCG,PRC,25.5
2021-11-22,11:16:00,PCG,PRC,25.25
2021-11-22,14:16:00,PCG,PRC,25.26
2021-11-22,15:40:00,PCG,PRC,26.0
2021-11-23,09:46:00,PCG,PRC,25.25
2021-11-24,11:31:00,PCG,PRC,25.25
2021-11-29,10:55:00,PCG,PRC,25.5
2021-11-29,11:49:00,PCG,PRC,25.5
2021-11-29,14:46:00,PCG,PRC,25.5
2021-11-29,16:00:00,PCG,PRC,25.5
2021-11-30,08:51:00,PCG,PRC,25.5
2021-11-30,09:30:00,PCG,PRC,25.26
2021-11-30,09:38:00,PCG,PRC,25.25
2021-11-30,10:18:00,PCG,PRC,26.0
2021-11-30,16:00:00,PCG,PRC,26.0
2021-11-30,16:10:00,PCG,PRC,26.0
2021-11-30,18:30:00,PCG,PRC,26.0
2021-11-30,20:00:00,PCG,PRC,26.0
2021-12-01,10:09:00,PCG,PRC,25.53
2021-12-01,15:59:00,PCG,PRC,25.53
2021-12-02,10:44:00,PCG,PRC,25.26
2021-12-02,11:03:00,PCG,PRC,25.250454545454545
2021-12-02,11:19:00,PCG,PRC,25.99
2021-12-07,10:22:00,PCG,PRC,25.2
2021-12-07,11:07:00,PCG,PRC,25.2
2021-12-07,14:00:00,PCG,PRC,25.25
2021-12-07,16:00:00,PCG,PRC,25.2
2021-12-07,16:10:00,PCG,PRC,25.2
2021-12-07,16:14:00,PCG,PRC,25.2
2021-12-07,18:30:00,PCG,PRC,25.2
2021-12-07,20:00:00,PCG,PRC,25.2
2021-12-09,09:55:00,PCG,PRC,25.25
2021-12-14,16:00:00,PCG,PRC,25.25
2021-12-20,09:55:00,PCG,PRC,25.25
2021-12-20,09:56:00,PCG,PRC,25.25
2021-12-20,09:59:00,PCG,PRC,25.0
2021-12-20,14:51:00,PCG,PRC,25.26
2021-12-20,16:00:00,PCG,PRC,25.25
2021-12-20,16:10:00,PCG,PRC,25.25
2021-12-20,18:30:00,PCG,PRC,25.25
2021-12-20,20:00:00,PCG,PRC,25.25
2021-12-21,10:09:00,PCG,PRC,25.26
2021-12-21,10:11:00,PCG,PRC,25.26003333333333
2021-12-21,16:00:00,PCG,PRC,25.26
2021-12-21,16:10:00,PCG,PRC,25.26
2021-12-21,18:30:00,PCG,PRC,25.26
2021-12-21,20:00:00,PCG,PRC,25.26
2021-12-23,10:59:00,PCG,PRC,25.26
2021-12-23,11:00:00,PCG,PRC,25.26
2021-12-23,11:02:00,PCG,PRC,25.26
2021-12-23,11:22:00,PCG,PRC,25.2599
2021-12-23,14:10:00,PCG,PRC,24.885
2021-12-23,16:00:00,PCG,PRC,25.01
2021-12-23,16:10:00,PCG,PRC,24.885
2021-12-23,18:30:00,PCG,PRC,24.885
2021-12-23,20:00:00,PCG,PRC,24.885
2021-12-27,12:47:00,PCG,PRC,24.935
2021-12-27,12:49:00,PCG,PRC,24.551666666666662
2021-12-27,12:55:00,PCG,PRC,24.77
2021-12-27,12:56:00,PCG,PRC,25.008
2021-12-27,13:06:00,PCG,PRC,25.1
2021-12-27,16:00:00,PCG,PRC,25.07
2021-12-27,16:10:00,PCG,PRC,25.1
2021-12-27,18:30:00,PCG,PRC,25.1
2021-12-27,20:00:00,PCG,PRC,25.1
2021-12-29,09:30:00,PCG,PRC,24.92
2021-12-29,12:15:00,PCG,PRC,24.94
2021-12-29,12:17:00,PCG,PRC,24.94
2021-12-29,15:53:00,PCG,PRC,24.93
2021-12-30,15:42:00,PCG,PRC,25.6675
2021-12-30,15:53:00,PCG,PRC,25.1132
2021-12-30,16:00:00,PCG,PRC,25.83
2021-12-30,16:10:00,PCG,PRC,25.9
2021-12-30,18:30:00,PCG,PRC,25.9
2021-12-30,20:00:00,PCG,PRC,25.9
