date,time,sym_root,sym_suffix,price
2021-09-01,09:59:00,PCG,PRG,23.7
2021-09-01,10:00:00,PCG,PRG,23.7
2021-09-01,10:01:00,PCG,PRG,23.725
2021-09-01,16:00:00,PCG,PRG,23.7
2021-09-01,16:10:00,PCG,PRG,23.7
2021-09-01,18:30:00,PCG,PRG,23.7
2021-09-01,20:00:00,PCG,PRG,23.7
2021-09-02,13:17:00,PCG,PRG,23.738
2021-09-02,16:00:00,PCG,PRG,23.91
2021-09-02,16:10:00,PCG,PRG,23.75
2021-09-02,18:30:00,PCG,PRG,23.75
2021-09-02,20:00:00,PCG,PRG,23.75
2021-09-08,09:44:00,PCG,PRG,24.0325
2021-09-08,09:50:00,PCG,PRG,24.23
2021-09-08,16:00:00,PCG,PRG,24.01
2021-09-08,16:10:00,PCG,PRG,24.01
2021-09-08,18:30:00,PCG,PRG,24.01
2021-09-08,20:00:00,PCG,PRG,24.01
2021-09-09,13:52:00,PCG,PRG,23.32
2021-09-09,15:13:00,PCG,PRG,23.4
2021-09-09,16:00:00,PCG,PRG,23.36
2021-09-09,16:10:00,PCG,PRG,23.36
2021-09-09,18:30:00,PCG,PRG,23.36
2021-09-09,20:00:00,PCG,PRG,23.36
2021-09-20,09:44:00,PCG,PRG,23.58
2021-09-21,15:52:00,PCG,PRG,25.33
2021-09-24,13:08:00,PCG,PRG,25.3055
2021-09-24,16:00:00,PCG,PRG,25.281
2021-09-24,16:10:00,PCG,PRG,25.281
2021-09-24,18:30:00,PCG,PRG,25.281
2021-09-24,20:00:00,PCG,PRG,25.281
2021-09-27,09:51:00,PCG,PRG,25.0837
2021-09-27,09:53:00,PCG,PRG,25.0
2021-09-27,15:39:00,PCG,PRG,23.6674
2021-09-27,16:00:00,PCG,PRG,23.639
2021-09-27,16:10:00,PCG,PRG,23.639
2021-09-27,18:30:00,PCG,PRG,23.639
2021-09-27,20:00:00,PCG,PRG,23.639
2021-09-29,14:35:00,PCG,PRG,24.99
2021-09-29,14:44:00,PCG,PRG,23.864
2021-09-29,16:00:00,PCG,PRG,24.99
