date,time,sym_root,sym_suffix,price
2021-09-01,11:30:00,PCG,PRH,21.49333333333333
2021-09-01,11:31:00,PCG,PRH,21.5
2021-09-01,16:00:00,PCG,PRH,21.5
2021-09-01,16:10:00,PCG,PRH,21.5
2021-09-01,18:30:00,PCG,PRH,21.5
2021-09-01,20:00:00,PCG,PRH,21.5
2021-09-02,10:45:00,PCG,PRH,20.88
2021-09-02,11:43:00,PCG,PRH,21.2
2021-09-02,11:46:00,PCG,PRH,21.485
2021-09-02,16:00:00,PCG,PRH,21.39333333333333
2021-09-02,16:10:00,PCG,PRH,21.49
2021-09-02,18:30:00,PCG,PRH,21.49
2021-09-02,20:00:00,PCG,PRH,21.49
2021-09-07,11:58:00,PCG,PRH,21.01
2021-09-08,10:07:00,PCG,PRH,20.9615
2021-09-08,10:11:00,PCG,PRH,21.1763
2021-09-08,14:41:00,PCG,PRH,21.36331
2021-09-08,15:04:00,PCG,PRH,21.35
2021-09-08,15:05:00,PCG,PRH,21.37
2021-09-08,16:00:00,PCG,PRH,21.35
2021-09-08,16:10:00,PCG,PRH,21.35
2021-09-08,18:30:00,PCG,PRH,21.35
2021-09-08,20:00:00,PCG,PRH,21.35
2021-09-09,14:02:00,PCG,PRH,20.96
2021-09-09,14:46:00,PCG,PRH,20.994
2021-09-09,15:33:00,PCG,PRH,21.046666666666667
2021-09-09,15:59:00,PCG,PRH,21.06
2021-09-09,16:00:00,PCG,PRH,21.023333333333333
2021-09-09,16:10:00,PCG,PRH,21.06
2021-09-09,18:30:00,PCG,PRH,21.06
2021-09-09,20:00:00,PCG,PRH,21.06
2021-09-10,15:21:00,PCG,PRH,21.07
2021-09-10,15:52:00,PCG,PRH,21.06111111111111
2021-09-10,16:00:00,PCG,PRH,21.07
2021-09-10,16:10:00,PCG,PRH,21.07
2021-09-10,18:30:00,PCG,PRH,21.07
2021-09-10,20:00:00,PCG,PRH,21.07
2021-09-13,09:55:00,PCG,PRH,21.4
2021-09-13,10:26:00,PCG,PRH,21.4
2021-09-13,10:27:00,PCG,PRH,21.4
2021-09-13,11:01:00,PCG,PRH,21.4
2021-09-13,11:21:00,PCG,PRH,21.4
2021-09-13,11:34:00,PCG,PRH,21.4
2021-09-13,11:59:00,PCG,PRH,21.405
2021-09-13,16:00:00,PCG,PRH,21.4
2021-09-13,16:10:00,PCG,PRH,21.4
2021-09-13,18:30:00,PCG,PRH,21.4
2021-09-13,20:00:00,PCG,PRH,21.4
2021-09-15,15:59:00,PCG,PRH,21.11
2021-09-16,14:24:00,PCG,PRH,21.980225
2021-09-16,16:00:00,PCG,PRH,22.0109
2021-09-16,16:10:00,PCG,PRH,22.0109
2021-09-16,18:30:00,PCG,PRH,22.0109
2021-09-16,20:00:00,PCG,PRH,22.0109
2021-09-17,11:12:00,PCG,PRH,22.19
2021-09-17,13:11:00,PCG,PRH,22.09
2021-09-17,14:07:00,PCG,PRH,22.04
2021-09-17,15:31:00,PCG,PRH,21.98
2021-09-17,15:42:00,PCG,PRH,21.98
2021-09-17,16:00:00,PCG,PRH,22.04
2021-09-17,16:10:00,PCG,PRH,22.04
2021-09-17,18:30:00,PCG,PRH,22.04
2021-09-17,20:00:00,PCG,PRH,22.04
2021-09-20,09:49:00,PCG,PRH,22.13
2021-09-20,15:38:00,PCG,PRH,21.746
2021-09-20,16:00:00,PCG,PRH,21.746
2021-09-20,16:10:00,PCG,PRH,21.746
2021-09-20,18:30:00,PCG,PRH,21.746
2021-09-20,20:00:00,PCG,PRH,21.746
2021-09-21,09:40:00,PCG,PRH,21.4999
2021-09-21,15:12:00,PCG,PRH,21.23
2021-09-21,16:00:00,PCG,PRH,21.4999
2021-09-21,16:10:00,PCG,PRH,21.4999
2021-09-21,18:30:00,PCG,PRH,21.4999
2021-09-21,20:00:00,PCG,PRH,21.4999
2021-09-22,09:30:00,PCG,PRH,21.21
2021-09-22,10:41:00,PCG,PRH,21.45
2021-09-22,10:53:00,PCG,PRH,21.96725
2021-09-22,11:03:00,PCG,PRH,21.7757
2021-09-22,11:13:00,PCG,PRH,21.5
2021-09-22,16:00:00,PCG,PRH,21.5
2021-09-22,16:10:00,PCG,PRH,21.5
2021-09-22,18:30:00,PCG,PRH,21.5
2021-09-22,20:00:00,PCG,PRH,21.5
2021-09-23,09:51:00,PCG,PRH,21.00857142857143
2021-09-23,11:52:00,PCG,PRH,21.4
2021-09-23,11:53:00,PCG,PRH,21.4
2021-09-23,15:04:00,PCG,PRH,21.06
2021-09-23,16:00:00,PCG,PRH,21.4
2021-09-23,16:10:00,PCG,PRH,21.4
2021-09-23,18:30:00,PCG,PRH,21.4
2021-09-23,20:00:00,PCG,PRH,21.4
2021-09-24,09:45:00,PCG,PRH,21.016666666666666
2021-09-24,12:21:00,PCG,PRH,21.06
2021-09-24,13:20:00,PCG,PRH,21.25
2021-09-24,14:42:00,PCG,PRH,20.9501
2021-09-24,14:48:00,PCG,PRH,21.06
2021-09-24,15:19:00,PCG,PRH,21.042
2021-09-24,16:00:00,PCG,PRH,21.02
2021-09-24,16:10:00,PCG,PRH,21.02
2021-09-24,18:30:00,PCG,PRH,21.02
2021-09-24,20:00:00,PCG,PRH,21.02
2021-09-27,09:30:00,PCG,PRH,21.0
2021-09-27,09:35:00,PCG,PRH,20.966666666666665
2021-09-27,09:36:00,PCG,PRH,20.975
2021-09-27,09:45:00,PCG,PRH,21.0
2021-09-27,09:48:00,PCG,PRH,21.0
2021-09-27,09:55:00,PCG,PRH,21.04
2021-09-27,16:00:00,PCG,PRH,20.95
2021-09-27,16:10:00,PCG,PRH,20.95
