date,time,sym_root,sym_suffix,price
2021-09-02,11:29:00,PCG,PRI,23.905
2021-09-02,11:31:00,PCG,PRI,23.87875
2021-09-02,16:00:00,PCG,PRI,23.9
2021-09-02,16:10:00,PCG,PRI,23.9
2021-09-02,18:30:00,PCG,PRI,23.9
2021-09-02,20:00:00,PCG,PRI,23.9
2021-09-07,11:07:00,PCG,PRI,23.27
2021-09-09,12:11:00,PCG,PRI,23.98
2021-09-09,12:15:00,PCG,PRI,23.76333333333333
2021-09-09,15:34:00,PCG,PRI,23.89
2021-09-09,16:00:00,PCG,PRI,24.0
2021-09-09,16:10:00,PCG,PRI,24.0
2021-09-09,18:30:00,PCG,PRI,24.0
2021-09-09,20:00:00,PCG,PRI,24.0
2021-09-13,10:11:00,PCG,PRI,24.0
2021-09-13,11:33:00,PCG,PRI,24.0
2021-09-13,13:14:00,PCG,PRI,24.0
2021-09-13,16:00:00,PCG,PRI,24.0
2021-09-13,16:10:00,PCG,PRI,24.0
2021-09-13,18:30:00,PCG,PRI,24.0
2021-09-13,20:00:00,PCG,PRI,24.0
2021-09-14,13:43:00,PCG,PRI,24.08
2021-09-17,14:23:00,PCG,PRI,24.555
2021-09-17,16:00:00,PCG,PRI,24.555
2021-09-17,16:10:00,PCG,PRI,24.555
2021-09-17,18:30:00,PCG,PRI,24.555
2021-09-17,20:00:00,PCG,PRI,24.555
2021-09-20,12:13:00,PCG,PRI,24.4
2021-09-20,14:02:00,PCG,PRI,24.00868
2021-09-20,15:43:00,PCG,PRI,24.09
2021-09-20,16:00:00,PCG,PRI,24.09
2021-09-20,16:10:00,PCG,PRI,24.09
2021-09-20,18:30:00,PCG,PRI,24.09
2021-09-20,20:00:00,PCG,PRI,24.09
2021-09-21,09:46:00,PCG,PRI,24.39
2021-09-21,10:44:00,PCG,PRI,24.49
2021-09-21,16:00:00,PCG,PRI,24.49
2021-09-21,16:10:00,PCG,PRI,24.49
2021-09-21,18:30:00,PCG,PRI,24.49
2021-09-21,20:00:00,PCG,PRI,24.49
2021-09-22,11:03:00,PCG,PRI,22.61
2021-09-22,13:51:00,PCG,PRI,22.5801
2021-09-22,16:00:00,PCG,PRI,22.5801
2021-09-22,16:10:00,PCG,PRI,22.5801
2021-09-22,18:30:00,PCG,PRI,22.5801
2021-09-22,20:00:00,PCG,PRI,22.5801
2021-10-04,12:37:00,PCG,PRI,20.7
2021-10-04,14:06:00,PCG,PRI,21.51
2021-10-04,15:05:00,PCG,PRI,23.188
2021-10-04,16:00:00,PCG,PRI,22.59
2021-10-04,16:10:00,PCG,PRI,22.59
2021-10-04,18:30:00,PCG,PRI,22.59
2021-10-04,20:00:00,PCG,PRI,22.59
2021-10-07,15:53:00,PCG,PRI,24.19
2021-10-12,15:28:00,PCG,PRI,23.01
2021-10-21,13:25:00,PCG,PRI,23.02
2021-10-22,11:25:00,PCG,PRI,23.02
2021-10-22,15:49:00,PCG,PRI,23.55333333333333
2021-10-25,10:08:00,PCG,PRI,23.01
2021-10-26,10:04:00,PCG,PRI,23.01
2021-10-27,10:19:00,PCG,PRI,23.01
2021-10-27,13:34:00,PCG,PRI,24.31
2021-10-27,13:35:00,PCG,PRI,24.3
2021-10-27,13:57:00,PCG,PRI,24.300066666666662
2021-10-27,14:10:00,PCG,PRI,24.3
2021-10-27,15:56:00,PCG,PRI,24.45
2021-10-27,16:00:00,PCG,PRI,24.45
2021-10-27,16:10:00,PCG,PRI,24.45
2021-10-27,18:30:00,PCG,PRI,24.45
2021-10-27,20:00:00,PCG,PRI,24.45
2021-10-28,13:18:00,PCG,PRI,24.5
2021-10-28,15:02:00,PCG,PRI,24.52
2021-10-28,15:03:00,PCG,PRI,24.5
2021-10-28,15:04:00,PCG,PRI,24.475
2021-10-28,15:05:00,PCG,PRI,24.46
2021-10-28,15:06:00,PCG,PRI,24.45
2021-10-28,15:52:00,PCG,PRI,25.493
2021-10-28,16:00:00,PCG,PRI,25.08
2021-10-28,16:10:00,PCG,PRI,25.395
2021-10-28,18:30:00,PCG,PRI,25.395
2021-10-28,20:00:00,PCG,PRI,25.395
2021-10-29,09:12:00,PCG,PRI,24.45
2021-10-29,11:04:00,PCG,PRI,24.85
2021-10-29,11:05:00,PCG,PRI,24.85
2021-10-29,11:06:00,PCG,PRI,24.85
2021-10-29,11:16:00,PCG,PRI,24.85
2021-10-29,11:17:00,PCG,PRI,24.85
2021-10-29,11:20:00,PCG,PRI,24.91
2021-10-29,11:30:00,PCG,PRI,24.9
2021-10-29,11:39:00,PCG,PRI,24.95
2021-10-29,11:42:00,PCG,PRI,24.95
2021-10-29,11:58:00,PCG,PRI,24.95
2021-10-29,11:59:00,PCG,PRI,24.95
2021-10-29,12:00:00,PCG,PRI,24.9625
2021-10-29,12:14:00,PCG,PRI,24.95
2021-10-29,12:46:00,PCG,PRI,24.95
2021-10-29,13:08:00,PCG,PRI,24.95
2021-10-29,13:16:00,PCG,PRI,24.95
2021-10-29,16:00:00,PCG,PRI,24.933333333333334
2021-10-29,16:10:00,PCG,PRI,24.95
2021-10-29,18:30:00,PCG,PRI,24.95
2021-10-29,20:00:00,PCG,PRI,24.95
2021-11-02,09:30:00,PCG,PRI,23.55
2021-11-02,10:13:00,PCG,PRI,23.18
2021-11-02,10:22:00,PCG,PRI,24.78
2021-11-02,16:00:00,PCG,PRI,23.55
2021-11-02,16:10:00,PCG,PRI,23.55
2021-11-02,18:30:00,PCG,PRI,23.55
2021-11-02,20:00:00,PCG,PRI,23.55
2021-11-03,09:30:00,PCG,PRI,22.66
2021-11-03,10:10:00,PCG,PRI,23.145
2021-11-03,16:00:00,PCG,PRI,22.66
