date,time,sym_root,sym_suffix,price
2021-09-01,09:30:00,PEBK,,28.42375
2021-09-01,10:08:00,PEBK,,28.34
2021-09-01,10:11:00,PEBK,,28.0
2021-09-01,10:17:00,PEBK,,28.28
2021-09-01,10:22:00,PEBK,,28.2
2021-09-01,10:25:00,PEBK,,28.0
2021-09-01,10:31:00,PEBK,,28.0
2021-09-01,10:35:00,PEBK,,28.0
2021-09-01,10:44:00,PEBK,,28.025
2021-09-01,11:04:00,PEBK,,28.14
2021-09-01,11:10:00,PEBK,,28.13
2021-09-01,11:15:00,PEBK,,28.02
2021-09-01,12:36:00,PEBK,,28.065
2021-09-01,12:53:00,PEBK,,28.052375
2021-09-01,12:58:00,PEBK,,28.02
2021-09-01,13:08:00,PEBK,,28.06
2021-09-01,13:22:00,PEBK,,28.065
2021-09-01,13:36:00,PEBK,,28.122
2021-09-01,13:41:00,PEBK,,28.02
2021-09-01,13:46:00,PEBK,,28.1
2021-09-01,13:49:00,PEBK,,28.03
2021-09-01,13:50:00,PEBK,,28.0
2021-09-01,13:53:00,PEBK,,28.108525
2021-09-01,13:55:00,PEBK,,28.09
2021-09-01,13:58:00,PEBK,,28.025
2021-09-01,14:03:00,PEBK,,28.02
2021-09-01,14:09:00,PEBK,,28.09
2021-09-01,14:18:00,PEBK,,28.01
2021-09-01,14:23:00,PEBK,,28.02
2021-09-01,14:25:00,PEBK,,28.09
2021-09-01,14:27:00,PEBK,,28.125
2021-09-01,14:28:00,PEBK,,28.09
2021-09-01,14:31:00,PEBK,,28.09
2021-09-01,14:32:00,PEBK,,28.02
2021-09-01,14:33:00,PEBK,,28.09
2021-09-01,14:37:00,PEBK,,28.09
2021-09-01,14:52:00,PEBK,,28.09
2021-09-01,15:02:00,PEBK,,28.18
2021-09-01,15:17:00,PEBK,,28.11
2021-09-01,15:22:00,PEBK,,28.065
2021-09-01,15:23:00,PEBK,,28.05666666666667
2021-09-01,15:26:00,PEBK,,28.08
2021-09-01,15:28:00,PEBK,,28.01
2021-09-01,15:30:00,PEBK,,28.08
2021-09-01,15:31:00,PEBK,,28.08
2021-09-01,15:36:00,PEBK,,28.13
2021-09-01,15:39:00,PEBK,,28.01
2021-09-01,15:40:00,PEBK,,28.06
2021-09-01,15:44:00,PEBK,,28.06
2021-09-01,15:46:00,PEBK,,28.1297
2021-09-01,15:48:00,PEBK,,28.01
2021-09-01,15:52:00,PEBK,,28.0075
2021-09-01,15:53:00,PEBK,,28.0
2021-09-01,15:54:00,PEBK,,28.0
2021-09-01,15:56:00,PEBK,,28.0
2021-09-01,15:58:00,PEBK,,28.0
2021-09-01,15:59:00,PEBK,,28.016666666666666
2021-09-01,16:00:00,PEBK,,28.0025
2021-09-02,09:30:00,PEBK,,28.166666666666668
2021-09-02,09:50:00,PEBK,,28.01
2021-09-02,10:50:00,PEBK,,28.09
2021-09-02,11:46:00,PEBK,,28.05
2021-09-02,12:01:00,PEBK,,28.0
2021-09-02,12:06:00,PEBK,,28.05
2021-09-02,12:30:00,PEBK,,28.04
2021-09-02,13:00:00,PEBK,,28.07
2021-09-02,13:11:00,PEBK,,28.04
2021-09-02,13:12:00,PEBK,,28.065
2021-09-02,14:03:00,PEBK,,28.0887
2021-09-02,15:45:00,PEBK,,28.0
2021-09-02,15:46:00,PEBK,,28.0
2021-09-02,15:49:00,PEBK,,28.0
2021-09-02,15:52:00,PEBK,,28.027
2021-09-02,15:54:00,PEBK,,28.061666666666667
2021-09-02,15:57:00,PEBK,,28.02
2021-09-02,15:59:00,PEBK,,28.0075
2021-09-02,16:00:00,PEBK,,28.005
