date,time,sym_root,sym_suffix,price
2021-09-01,09:30:00,SNR,,8.8025
2021-09-01,09:31:00,SNR,,8.817321428571429
2021-09-01,09:32:00,SNR,,8.80625
2021-09-01,09:33:00,SNR,,8.798461538461538
2021-09-01,09:34:00,SNR,,8.80545
2021-09-01,09:35:00,SNR,,8.806224489795918
2021-09-01,09:36:00,SNR,,8.808928571428572
2021-09-01,09:37:00,SNR,,8.813055555555556
2021-09-01,09:38:00,SNR,,8.828529411764706
2021-09-01,09:39:00,SNR,,8.825555555555555
2021-09-01,09:40:00,SNR,,8.808166666666667
2021-09-01,09:41:00,SNR,,8.795833333333333
2021-09-01,09:42:00,SNR,,8.789444444444445
2021-09-01,09:43:00,SNR,,8.797407407407407
2021-09-01,09:44:00,SNR,,8.790555555555555
2021-09-01,09:45:00,SNR,,8.774736842105263
2021-09-01,09:46:00,SNR,,8.77
2021-09-01,09:47:00,SNR,,8.753043478260869
2021-09-01,09:48:00,SNR,,8.75
2021-09-01,09:49:00,SNR,,8.761666666666667
2021-09-01,09:50:00,SNR,,8.768333333333333
2021-09-01,09:51:00,SNR,,8.78111111111111
2021-09-01,09:52:00,SNR,,8.776875
2021-09-01,09:53:00,SNR,,8.780909090909091
2021-09-01,09:54:00,SNR,,8.78
2021-09-01,09:55:00,SNR,,8.775
2021-09-01,09:56:00,SNR,,8.779227272727272
2021-09-01,09:57:00,SNR,,8.776636363636364
2021-09-01,09:58:00,SNR,,8.77
2021-09-01,09:59:00,SNR,,8.768125
2021-09-01,10:00:00,SNR,,8.775
2021-09-01,10:01:00,SNR,,8.789298245614034
2021-09-01,10:02:00,SNR,,8.79657894736842
2021-09-01,10:03:00,SNR,,8.818666666666667
2021-09-01,10:04:00,SNR,,8.825
2021-09-01,10:05:00,SNR,,8.82
2021-09-01,10:06:00,SNR,,8.822727272727272
2021-09-01,10:07:00,SNR,,8.826666666666666
2021-09-01,10:08:00,SNR,,8.83665
2021-09-01,10:09:00,SNR,,8.83125
2021-09-01,10:10:00,SNR,,8.82375
2021-09-01,10:11:00,SNR,,8.81
2021-09-01,10:12:00,SNR,,8.812608695652173
2021-09-01,10:13:00,SNR,,8.809166666666666
2021-09-01,10:14:00,SNR,,8.799285714285714
2021-09-01,10:15:00,SNR,,8.799647368421052
2021-09-01,10:16:00,SNR,,8.808333333333334
2021-09-01,10:17:00,SNR,,8.81
2021-09-01,10:18:00,SNR,,8.8055
2021-09-01,10:19:00,SNR,,8.8
2021-09-01,10:20:00,SNR,,8.800588235294118
2021-09-01,10:21:00,SNR,,8.806111111111111
2021-09-01,10:22:00,SNR,,8.80319090909091
2021-09-01,10:23:00,SNR,,8.8
2021-09-01,10:24:00,SNR,,8.8025
2021-09-01,10:25:00,SNR,,8.805
2021-09-01,10:26:00,SNR,,8.809285714285714
2021-09-01,10:27:00,SNR,,8.8096875
2021-09-01,10:28:00,SNR,,8.819285714285714
2021-09-01,10:29:00,SNR,,8.8175
2021-09-01,10:30:00,SNR,,8.819558823529412
2021-09-01,10:31:00,SNR,,8.82529411764706
2021-09-01,10:32:00,SNR,,8.825833333333334
2021-09-01,10:33:00,SNR,,8.8275
2021-09-01,10:34:00,SNR,,8.820268421052631
2021-09-01,10:35:00,SNR,,8.813333333333333
2021-09-01,10:36:00,SNR,,8.82
2021-09-01,10:37:00,SNR,,8.816
2021-09-01,10:38:00,SNR,,8.8175
2021-09-01,10:39:00,SNR,,8.8125
2021-09-01,10:40:00,SNR,,8.820357142857143
2021-09-01,10:41:00,SNR,,8.83
2021-09-01,10:42:00,SNR,,8.83
2021-09-01,10:43:00,SNR,,8.82852
2021-09-01,10:44:00,SNR,,8.837571428571428
2021-09-01,10:45:00,SNR,,8.84
2021-09-01,10:46:00,SNR,,8.8375
2021-09-01,10:47:00,SNR,,8.84
2021-09-01,10:48:00,SNR,,8.832142857142857
2021-09-01,10:49:00,SNR,,8.834166666666667
2021-09-01,10:50:00,SNR,,8.830625
2021-09-01,10:51:00,SNR,,8.83
2021-09-01,10:52:00,SNR,,8.8325
2021-09-01,10:53:00,SNR,,8.84
2021-09-01,10:54:00,SNR,,8.84375
2021-09-01,10:55:00,SNR,,8.839230769230769
2021-09-01,10:56:00,SNR,,8.840892857142856
2021-09-01,10:57:00,SNR,,8.848571428571429
2021-09-01,10:58:00,SNR,,8.836724137931034
2021-09-01,10:59:00,SNR,,8.839411764705883
2021-09-01,11:00:00,SNR,,8.84
2021-09-01,11:01:00,SNR,,8.837857142857143
2021-09-01,11:02:00,SNR,,8.83875
2021-09-01,11:03:00,SNR,,8.84
2021-09-01,11:04:00,SNR,,8.835
2021-09-01,11:07:00,SNR,,8.841911764705882
2021-09-01,11:08:00,SNR,,8.848703703703704
2021-09-01,11:09:00,SNR,,8.847333333333333
2021-09-01,11:10:00,SNR,,8.84
2021-09-01,11:11:00,SNR,,8.84
2021-09-01,11:12:00,SNR,,8.834523809523809
2021-09-01,11:13:00,SNR,,8.82
2021-09-01,11:14:00,SNR,,8.82
2021-09-01,11:15:00,SNR,,8.8175
2021-09-01,11:16:00,SNR,,8.81
2021-09-01,11:17:00,SNR,,8.809
2021-09-01,11:18:00,SNR,,8.808181818181819
2021-09-01,11:19:00,SNR,,8.8
2021-09-01,11:20:00,SNR,,8.81
2021-09-01,11:21:00,SNR,,8.8075
2021-09-01,11:22:00,SNR,,8.80375
2021-09-01,11:23:00,SNR,,8.81054054054054
2021-09-01,11:24:00,SNR,,8.8125
