date,time,sym_root,sym_suffix,price
2021-09-01,08:03:00,VGR,,15.02
2021-09-01,09:29:00,VGR,,15.095
2021-09-01,09:30:00,VGR,,15.12341463414634
2021-09-01,09:31:00,VGR,,15.171818181818182
2021-09-01,09:32:00,VGR,,15.129756097560977
2021-09-01,09:33:00,VGR,,15.0890625
2021-09-01,09:34:00,VGR,,15.0725
2021-09-01,09:35:00,VGR,,15.0615
2021-09-01,09:36:00,VGR,,15.071846153846154
2021-09-01,09:37:00,VGR,,15.07
2021-09-01,09:38:00,VGR,,15.09
2021-09-01,09:39:00,VGR,,15.1347
2021-09-01,09:40:00,VGR,,15.112675
2021-09-01,09:41:00,VGR,,15.12225
2021-09-01,09:42:00,VGR,,15.12652857142857
2021-09-01,09:43:00,VGR,,15.103031578947368
2021-09-01,09:44:00,VGR,,15.086
2021-09-01,09:45:00,VGR,,15.052914285714284
2021-09-01,09:46:00,VGR,,15.03705
2021-09-01,09:47:00,VGR,,15.005
2021-09-01,09:48:00,VGR,,15.0058
2021-09-01,09:49:00,VGR,,15.004594594594597
2021-09-01,09:51:00,VGR,,14.99909090909091
2021-09-01,09:52:00,VGR,,14.96625
2021-09-01,09:53:00,VGR,,14.937575
2021-09-01,09:54:00,VGR,,14.94875
2021-09-01,09:55:00,VGR,,14.945
2021-09-01,09:57:00,VGR,,14.927222222222222
2021-09-01,09:59:00,VGR,,14.904
2021-09-01,10:00:00,VGR,,14.9275
2021-09-01,10:01:00,VGR,,14.925
2021-09-01,10:02:00,VGR,,14.962857142857144
2021-09-01,10:03:00,VGR,,14.98
2021-09-01,10:04:00,VGR,,14.9725
2021-09-01,10:05:00,VGR,,14.936242424242424
2021-09-01,10:06:00,VGR,,14.91
2021-09-01,10:07:00,VGR,,14.915
2021-09-01,10:09:00,VGR,,14.908
2021-09-01,10:10:00,VGR,,14.883531914893616
2021-09-01,10:11:00,VGR,,14.882475
2021-09-01,10:12:00,VGR,,14.862833333333333
2021-09-01,10:13:00,VGR,,14.872090566037736
2021-09-01,10:14:00,VGR,,14.875
2021-09-01,10:15:00,VGR,,14.8716
2021-09-01,10:16:00,VGR,,14.901521739130434
2021-09-01,10:18:00,VGR,,14.8935
2021-09-01,10:19:00,VGR,,14.896666666666668
2021-09-01,10:20:00,VGR,,14.892733333333334
2021-09-01,10:21:00,VGR,,14.87485
2021-09-01,10:23:00,VGR,,14.880588235294118
2021-09-01,10:24:00,VGR,,14.88
2021-09-01,10:26:00,VGR,,14.884375
2021-09-01,10:27:00,VGR,,14.8753
2021-09-01,10:29:00,VGR,,14.89090909090909
2021-09-01,10:30:00,VGR,,14.89725
2021-09-01,10:31:00,VGR,,14.915
2021-09-01,10:32:00,VGR,,14.91512
2021-09-01,10:33:00,VGR,,14.917459090909093
2021-09-01,10:34:00,VGR,,14.900666666666666
2021-09-01,10:35:00,VGR,,14.882733333333332
2021-09-01,10:36:00,VGR,,14.881
2021-09-01,10:37:00,VGR,,14.863333333333332
2021-09-01,10:38:00,VGR,,14.865783018867925
2021-09-01,10:39:00,VGR,,14.861242857142855
2021-09-01,10:40:00,VGR,,14.86909090909091
2021-09-01,10:41:00,VGR,,14.885
2021-09-01,10:42:00,VGR,,14.88454
2021-09-01,10:43:00,VGR,,14.887894736842105
2021-09-01,10:45:00,VGR,,14.88796
2021-09-01,10:46:00,VGR,,14.875729166666666
2021-09-01,10:47:00,VGR,,14.89
2021-09-01,10:48:00,VGR,,14.8996
2021-09-01,10:49:00,VGR,,14.8925
2021-09-01,10:50:00,VGR,,14.88224074074074
2021-09-01,10:51:00,VGR,,14.879666666666669
2021-09-01,10:53:00,VGR,,14.88
2021-09-01,10:54:00,VGR,,14.88185
2021-09-01,10:55:00,VGR,,14.88
2021-09-01,10:56:00,VGR,,14.8845
2021-09-01,10:57:00,VGR,,14.895
2021-09-01,10:58:00,VGR,,14.893057142857144
2021-09-01,10:59:00,VGR,,14.909042857142856
2021-09-01,11:00:00,VGR,,14.914538888888888
2021-09-01,11:01:00,VGR,,14.91
2021-09-01,11:02:00,VGR,,14.905
2021-09-01,11:03:00,VGR,,14.916666666666666
2021-09-01,11:04:00,VGR,,14.9152
2021-09-01,11:05:00,VGR,,14.92
2021-09-01,11:06:00,VGR,,14.933644444444443
2021-09-01,11:07:00,VGR,,14.93915
2021-09-01,11:08:00,VGR,,14.94747142857143
2021-09-01,11:09:00,VGR,,14.96122
2021-09-01,11:10:00,VGR,,14.9525
2021-09-01,11:11:00,VGR,,14.96
2021-09-01,11:12:00,VGR,,14.94475
2021-09-01,11:13:00,VGR,,14.93226
2021-09-01,11:14:00,VGR,,14.926333333333334
2021-09-01,11:15:00,VGR,,14.925
2021-09-01,11:16:00,VGR,,14.92275
2021-09-01,11:17:00,VGR,,14.9225
2021-09-01,11:18:00,VGR,,14.933636363636364
2021-09-01,11:19:00,VGR,,14.942
2021-09-01,11:20:00,VGR,,14.94
2021-09-01,11:21:00,VGR,,14.93388888888889
2021-09-01,11:22:00,VGR,,14.933
2021-09-01,11:23:00,VGR,,14.9325
2021-09-01,11:24:00,VGR,,14.940625
2021-09-01,11:25:00,VGR,,14.94
2021-09-01,11:26:00,VGR,,14.95
2021-09-01,11:27:00,VGR,,14.9525
2021-09-01,11:28:00,VGR,,14.94725
2021-09-01,11:29:00,VGR,,14.948636363636364
2021-09-01,11:30:00,VGR,,14.9446
2021-09-01,11:31:00,VGR,,14.947727272727272
2021-09-01,11:32:00,VGR,,14.956
2021-09-01,11:33:00,VGR,,14.963333333333331
2021-09-01,11:34:00,VGR,,14.979592592592592
2021-09-01,11:35:00,VGR,,14.989615384615384
2021-09-01,11:36:00,VGR,,14.984376315789474
2021-09-01,11:37:00,VGR,,14.9875
2021-09-01,11:38:00,VGR,,14.987
2021-09-01,11:39:00,VGR,,14.988
2021-09-01,11:40:00,VGR,,14.97875
2021-09-01,11:41:00,VGR,,14.976666666666668
2021-09-01,11:42:00,VGR,,14.97875
2021-09-01,11:43:00,VGR,,14.977458333333333
2021-09-01,11:44:00,VGR,,14.975625
2021-09-01,11:45:00,VGR,,14.975
2021-09-01,11:46:00,VGR,,14.96448275862069
2021-09-01,11:47:00,VGR,,14.955
2021-09-01,11:48:00,VGR,,14.951866666666668
2021-09-01,11:49:00,VGR,,14.95456
2021-09-01,11:50:00,VGR,,14.960333333333333
2021-09-01,11:52:00,VGR,,14.965
2021-09-01,11:53:00,VGR,,14.975
2021-09-01,11:54:00,VGR,,14.97
2021-09-01,11:55:00,VGR,,14.9621
2021-09-01,11:56:00,VGR,,14.97470588235294
2021-09-01,11:57:00,VGR,,14.991545454545454
2021-09-01,11:58:00,VGR,,14.995
2021-09-01,11:59:00,VGR,,14.9947
2021-09-01,12:00:00,VGR,,14.99425
2021-09-01,12:01:00,VGR,,14.991
2021-09-01,12:02:00,VGR,,14.999333333333333
2021-09-01,12:03:00,VGR,,15.008928571428571
2021-09-01,12:04:00,VGR,,15.022222222222222
2021-09-01,12:05:00,VGR,,15.02095
2021-09-01,12:06:00,VGR,,15.022142857142857
2021-09-01,12:07:00,VGR,,15.029446666666669
2021-09-01,12:08:00,VGR,,15.03315
2021-09-01,12:09:00,VGR,,15.025
2021-09-01,12:10:00,VGR,,15.03
2021-09-01,12:11:00,VGR,,15.03888888888889
2021-09-01,12:12:00,VGR,,15.049545454545454
2021-09-01,12:13:00,VGR,,15.04
2021-09-01,12:14:00,VGR,,15.0425
2021-09-01,12:15:00,VGR,,15.0439
2021-09-01,12:16:00,VGR,,15.045
2021-09-01,12:17:00,VGR,,15.05
2021-09-01,12:18:00,VGR,,15.053333333333333
2021-09-01,12:19:00,VGR,,15.05776
2021-09-01,12:20:00,VGR,,15.05
2021-09-01,12:21:00,VGR,,15.05
2021-09-01,12:22:00,VGR,,15.046375
2021-09-01,12:23:00,VGR,,15.0325
2021-09-01,12:24:00,VGR,,15.0325
2021-09-01,12:25:00,VGR,,15.0302
2021-09-01,12:26:00,VGR,,15.03
2021-09-01,12:27:00,VGR,,15.01875625
2021-09-01,12:28:00,VGR,,15.009
2021-09-01,12:29:00,VGR,,15.03
2021-09-01,12:30:00,VGR,,15.03
2021-09-01,12:31:00,VGR,,15.0325
2021-09-01,12:32:00,VGR,,15.04
2021-09-01,12:33:00,VGR,,15.04375
2021-09-01,12:34:00,VGR,,15.05125
2021-09-01,12:35:00,VGR,,15.0605
2021-09-01,12:36:00,VGR,,15.0567
2021-09-01,12:37:00,VGR,,15.06
2021-09-01,12:38:00,VGR,,15.071138805970149
2021-09-01,12:39:00,VGR,,15.06
2021-09-01,12:40:00,VGR,,15.07
2021-09-01,12:41:00,VGR,,15.0651
2021-09-01,12:42:00,VGR,,15.06
2021-09-01,12:43:00,VGR,,15.06
2021-09-01,12:44:00,VGR,,15.0625
2021-09-01,12:45:00,VGR,,15.061666666666667
2021-09-01,12:46:00,VGR,,15.06
2021-09-01,12:47:00,VGR,,15.065
