symbol,"ARMA(1, 1)","Robust ARMA(1, 1)"
A,0.015811680035257913,0.015036156390528575
AAL,0.014522678312072093,0.014579125609412116
AAP,0.019544932444383985,0.01909178113935187
AAPL,0.010433550572049836,0.010564689350221734
ABBV,0.01632445311779166,0.0159343126773936
ABC,0.018591079251614538,0.018231067082785476
ABMD,0.02472247740897404,0.02503234808163801
ABT,0.014686571201382483,0.01462234825624516
ACN,0.014077091106455275,0.014205999171176337
ADBE,0.017317709456881297,0.017726183991377955
ADI,0.017680355157890074,0.01785782041129766
ADM,0.016716188522845368,0.01613446019938331
ADP,0.0162922575589718,0.015880117866512392
ADSK,0.017913741015041333,0.01763263745512782
AEE,0.017633588102681973,0.016919924442013786
AEP,0.01561238152916856,0.014917330138361898
AES,0.017594532230643903,0.017381295742746973
AFL,0.01475608702180818,0.013869158981830533
AIG,0.013725783151562716,0.013828039963183136
AIGPRA,0.036676454767029944,0.038840908742617836
AIGWS,,
AIZ,0.017798258605062726,0.01749576459417393
AJG,0.019264986149255623,0.019163608467196825
AKAM,0.0200694991135547,0.019944057168500583
ALB,0.019549045836155937,0.01901818431057631
ALGN,0.020540385741973997,0.020736519575861347
ALK,0.01460322389530812,0.014826111329341323
ALL,0.014568675977593242,0.014175247547973516
ALLE,0.020974167944174445,0.020223415302403267
ALLPRB,0.04097141733763655,0.04082356637191218
ALLPRG,0.04486467085088827,0.0417693328123296
ALLPRH,0.02953394463626189,0.029837127240097665
ALLPRI,0.03842323874591168,0.040457816389592116
AMAT,0.01575755078889658,0.015476689645209023
AMCR,0.01647320996422276,0.016310497145081065
AMD,0.010295657108212652,0.010713672651306475
AME,0.017619784591751234,0.01736012877449407
AMGN,0.013431775712822775,0.013423370413689786
AMP,0.016686583336016296,0.015834296627315086
AMT,0.016103727793574295,0.01620329903604314
AMZN,0.014699003569112032,0.01458212020831965
ANET,0.023369877176832667,0.023534710832311612
ANSS,0.018038053367063184,0.017686135646257664
ANTM,0.018850051301406726,0.01887594689335089
AON,0.01656842470785679,0.015907906531795028
AOS,0.018772961866158486,0.01800537224821027
APA,0.013495925235826997,0.013345334723117672
APD,0.019140508573953167,0.018648966385585664
APH,0.016526337051586168,0.016630093864890293
APTV,0.017299987941312545,0.01704719842002707
APTVPRA,0.12999361647533644,0.12875727083321006
ARE,0.017697910034059534,0.0172653193622095
ATO,0.01992241467969531,0.019119587964864664
ATVI,0.015325872639504906,0.015822762570294933
AVB,0.020260532136962283,0.019977363133713746
AVGO,0.015786589893864965,0.015344374892972761
AVGOP,0.1121628479607982,0.1115035615640127
AVY,0.023424625479507445,0.02134755726863213
AWK,0.017595750209261764,0.01681021614724563
AXP,0.015417431090260742,0.015745512867686762
AZO,0.016721577530665138,0.01639864425911688
BA,0.014952321905424424,0.014973931308955293
BAC,0.009718243109906804,0.009585976314082083
BACPRA,,
BACPRB,0.03525323918462241,0.0349239967303454
BACPRC,,
BACPRE,0.05269275649628931,0.04969844187146077
BACPRK,0.03683248150605258,0.03571818764787118
BACPRL,0.062286539046758696,0.06059342081508099
BACPRM,0.030972162752827045,0.030537827569992168
BACPRN,0.037004673869539054,0.03801389829996109
BACPRO,0.033545153132155094,0.033049660739510794
BACPRP,0.034162430567803256,0.03313636696352231
BACPRQ,,
BAX,0.017945384486668402,0.018099172441379218
BBWI,,
BBWIWI,,
BBY,0.016055849283567136,0.015870915007166597
BDX,0.01675439170922663,0.016672169003096197
BEN,0.020261382716481643,0.018573350788719033
BIIB,0.020331545554322972,0.020996345903317924
BIO,0.024987102454722437,0.02435920548660481
BIOB,inf,inf
BK,0.014016133427376449,0.013258577243805298
BKNG,0.018002697364431226,0.01771228337206246
BKR,0.015684956449896578,0.014915109631207315
BLK,0.016685479255991086,0.01571028567593954
BLL,0.01569244909112967,0.015037856266380809
BMY,0.013850257617067716,0.013321147542411059
BR,0.017152900364989135,0.017074110032833503
BRO,0.01928199347706937,0.018827568415096585
BSX,0.01616888463747024,0.015482447743885693
BSXPRA,0.11236183479305863,0.11259186824976572
BWA,0.017444478262951865,0.01754898303357053
BXP,0.018530383893535757,0.01813900982933769
BXPPRB,,
C,0.011037685073440716,0.011024414382400111
CAG,0.016888641157031103,0.0165292499162478
CAH,0.015618951131812464,0.01517560177285888
CARR,0.02003755759380732,0.019261677668547826
CAT,0.015622791119146075,0.015150173757860444
CB,0.016891930058236297,0.016216576947102542
CBOE,0.0235177020952086,0.022800304844213734
CBRE,0.018523488134889105,0.018334089019650737
CCI,0.016387023963588182,0.015336764611365612
CCL,0.01288343422516548,0.01251245350839819
CDAY,0.020295345400538595,0.019686536721022375
CDNS,0.01765896445923852,0.01671977693234872
CDW,0.020932160144835545,0.01916861458813841
CE,0.017906609339226286,0.01668026931653639
CERN,0.019181068109903623,0.018656140010963277
CF,0.01813518268644863,0.01846740431774175
CFG,0.012869491777992086,0.01259623553896499
CFGPRD,0.03850462059948027,0.03720476335316037
CFGPRE,0.04744420789304085,0.044690101951937615
CHD,0.020112214491241273,0.01914152984903084
CHRW,0.01843678961348466,0.0176535849437412
CHTR,0.0190828622054481,0.018562325024230702
CI,0.015148304326391561,0.01496837231480944
CINF,0.018138933442363794,0.01750771840020985
CL,0.013189850968394796,0.012498163457941193
CLX,0.018668171229116348,0.018064932538620383
CMA,0.01741485019210293,0.01696691801661897
CME,0.01643859580639049,0.015393839042051737
CMG,0.023988622574930812,0.022429853323303557
CMI,0.014830469362466587,0.014498775604853787
CMS,0.020489430626968543,0.01945630152392006
CMSPRB,inf,inf
CMSPRC,,
CNC,0.021151664538892646,0.020986787416227604
CNP,0.018653363638713234,0.017307431100013284
CNPPRB,0.09390235694255639,0.10060429525386838
COF,0.014703854786590866,0.013972052752696331
COFPRG,0.03963479727313356,0.04035240960424116
COFPRH,0.035852217483820094,0.03608402628248582
COFPRI,0.030093324810372492,0.02975151900216712
COFPRJ,0.04111111654230545,0.04340649058370713
COFPRK,0.07542565332138138,0.07217039279154021
COFPRL,0.04726528645516025,0.04374780444853427
COFPRN,,
COO,0.023931190637446288,0.023032276563342433
COP,0.013165519846005424,0.012749137887582886
COST,0.013587037019072015,0.013557351093397523
CPB,0.016254646688980703,0.015511805774601145
CPRJ,0.03093608921685731,0.028886160307296235
CPRK,0.027579555357110166,0.026161453882977283
CPRN,0.04467310562775477,0.04459798033699766
CPRS,,
CPRT,0.0194415133388163,0.018661674234927376
CRL,0.019644615368930127,0.01976567275632633
CRM,0.016675617630673777,0.016621520181631058
CSCO,0.012920976928303353,0.01258491581307284
CSX,0.013580565531917738,0.013108380791098913
CTAS,0.020722287791861048,0.019813403803343337
CTLT,0.02185068953132482,0.021563603676575126
CTRA,,
CTSH,0.01789558725506434,0.016920170669213808
CTVA,0.016775533048141226,0.015773242831329092
CTXS,0.0219099482648279,0.022512568435056578
CVS,0.01615739647641952,0.015574684589273614
CVX,0.010828013072459652,0.010724104626482513
CZR,0.019333952980221118,0.01896217255053003
D,0.014342590269208453,0.013934574205990986
