symbol,"ARMA(1, 1)","Robust ARMA(1, 1)"
ADBE,0.017485805497614276,0.017908391445431732
ADI,0.017779696150850392,0.01808926122231615
ADP,0.01629139176892561,0.01588821131260666
ADSK,0.017942360025163317,0.017664675238160225
AEP,0.015555333859062099,0.014946526781257161
ALGN,0.020552720079653895,0.0208102770036461
AMAT,0.015664301706984605,0.015391536335374705
AMD,0.010369587823873302,0.010816301027077644
AMGN,0.013412151448192734,0.013422455300912687
AMZN,0.014754402760512474,0.014710899615309128
ANSS,0.017881626253779113,0.017652575289726698
ATVI,0.015076386818122598,0.015609721113167989
AVGO,0.01611452290247125,0.015505109649631477
BIIB,0.02048431875073436,0.021205310801806092
BKNG,0.017862431085941162,0.017723381786213875
CDNS,0.017731760077531956,0.016773057892063625
CHTR,0.019148334649715548,0.018587402851354472
COST,0.01353370935793922,0.013406026658110215
CPRT,0.019372878120916204,0.01863205867760101
CSCO,0.01294516935006127,0.012603869337726923
CSX,0.013341001983885705,0.012785282722439121
CTAS,0.020801821598429207,0.01980915044675755
CTSH,0.017752183460566204,0.01674771563065175
DLTR,0.023641064049302593,0.02396248371276263
DXCM,0.023285088206758765,0.02254842767931501
EA,0.018075535533055055,0.018064928418388436
EBAY,0.01595734530212954,0.015092602535068694
EXC,0.01453194414434592,0.014175805107624336
FAST,0.016328574760660353,0.015229987122417849
FB,0.015398357756419486,0.015819897436067102
FISV,0.01574071286150795,0.015805803644582662
FTNT,0.019530349700379958,0.018618678095233127
GILD,0.013842887786693167,0.013947518137323828
GOOG,0.015896615318020817,0.015573568841109832
GOOGL,0.01678292910891197,0.01625130762794578
HON,0.015578588990411677,0.015177545962653433
IDXX,0.018666360302922284,0.01792950528631303
ILMN,0.01858091878083497,0.018316150015437974
INTC,0.01350453132339253,0.013275158941513078
INTU,0.016343995270719905,0.016532951814167786
ISRG,0.017799157016490003,0.01839631054809752
KHC,0.016449442949370136,0.01583369846083344
KLAC,0.02094317526477792,0.02030463939501246
LRCX,0.016913151295170688,0.01667000147396815
MAR,0.015810566751515157,0.015873826603894112
MCHP,0.019439691196658282,0.019451109580709676
MDLZ,0.014551424312196085,0.015053790677920334
MNST,0.01832835424450631,0.017837712062684613
MRNA,0.020686485203395378,0.02135582399794608
MSFT,0.011481827226902103,0.011381025549077524
MTCH,0.021950776323432838,0.02089484376960691
MU,0.016516017613482974,0.015355703135171655
NFLX,0.01878134827397693,0.018740801526650048
NVDA,0.013900105272182512,0.01495426265409914
NXPI,0.020968956419235085,0.020664367198662055
ODFL,0.018421601556929422,0.017950257613550603
ORLY,0.01728768595389186,0.01670903239916846
PAYX,0.01633694706284532,0.015829399728399467
PCAR,0.018132981630379248,0.017763419151710397
PEP,0.013548719086819124,0.013470117097143295
PYPL,0.017322335207748618,0.018000460847468733
QCOM,0.01681714547756457,0.016985155527532034
REGN,0.01874115892234295,0.01842913767214832
ROST,0.018293148350695034,0.018469498518224017
SBUX,0.013441262334141396,0.013667547593412809
SNPS,0.020689906813797006,0.02001392224964746
SWKS,0.018114671528499514,0.018191964588903604
TMUS,0.01472901058881322,0.01486253073109097
TSLA,0.015159895848934502,0.015745729744701318
TXN,0.013917540170866329,0.013596223688508947
VRSK,0.02068581161746529,0.02049818089808676
VRSN,0.01862455786590778,0.017191067539412942
VRTX,0.01917067163908366,0.018965110299078148
WBA,0.014384937388843971,0.014914092957108202
XEL,0.018267395212056614,0.017220770439011632
