date,time,sym_root,sym_suffix,size
2019-01-02,10:40:00,AGM,A,100
2019-01-02,10:57:00,AGM,A,100
2019-01-02,10:59:00,AGM,A,100
2019-01-02,11:35:00,AGM,A,212
2019-01-02,11:44:00,AGM,A,100
2019-01-02,12:01:00,AGM,A,124
2019-01-02,14:25:00,AGM,A,65
2019-01-02,14:28:00,AGM,A,119
2019-01-02,15:29:00,AGM,A,4
2019-01-02,15:44:00,AGM,A,15
2019-01-02,16:00:00,AGM,A,100
2019-01-02,16:02:00,AGM,A,131
2019-01-03,09:31:00,AGM,A,1
2019-01-04,09:31:00,AGM,A,1
2019-01-07,11:32:00,AGM,A,100
2019-01-07,11:33:00,AGM,A,81
2019-01-07,12:29:00,AGM,A,100
2019-01-07,12:55:00,AGM,A,2
2019-01-07,16:00:00,AGM,A,101
2019-01-07,16:02:00,AGM,A,100
2019-01-08,10:47:00,AGM,A,100
2019-01-08,10:55:00,AGM,A,100
2019-01-08,15:59:00,AGM,A,3
2019-01-08,16:00:00,AGM,A,100
2019-01-08,16:02:00,AGM,A,100
2019-01-09,09:34:00,AGM,A,100
2019-01-09,10:46:00,AGM,A,200
2019-01-09,15:45:00,AGM,A,9
2019-01-09,15:47:00,AGM,A,100
2019-01-09,15:49:00,AGM,A,35
2019-01-09,16:00:00,AGM,A,100
2019-01-09,16:02:00,AGM,A,100
2019-01-10,11:17:00,AGM,A,100
2019-01-10,15:29:00,AGM,A,10
2019-01-10,15:59:00,AGM,A,8
2019-01-10,16:00:00,AGM,A,100
2019-01-10,16:02:00,AGM,A,126
2019-01-11,11:51:00,AGM,A,138
2019-01-11,15:29:00,AGM,A,7
2019-01-11,16:00:00,AGM,A,100
2019-01-11,16:02:00,AGM,A,100
2019-01-14,10:54:00,AGM,A,277
2019-01-14,14:36:00,AGM,A,26
2019-01-14,15:11:00,AGM,A,124
2019-01-14,15:29:00,AGM,A,6
2019-01-14,16:00:00,AGM,A,126
2019-01-14,16:02:00,AGM,A,14
2019-01-15,10:17:00,AGM,A,22
2019-01-16,13:37:00,AGM,A,116
2019-01-16,13:56:00,AGM,A,100
2019-01-16,15:41:00,AGM,A,136
2019-01-16,15:45:00,AGM,A,59
2019-01-16,15:53:00,AGM,A,5
2019-01-16,16:00:00,AGM,A,136
2019-01-16,16:02:00,AGM,A,136
2019-01-17,09:32:00,AGM,A,5
2019-01-17,10:09:00,AGM,A,100
2019-01-17,11:47:00,AGM,A,42
2019-01-17,12:38:00,AGM,A,100
2019-01-17,14:00:00,AGM,A,100
2019-01-17,14:50:00,AGM,A,99
2019-01-17,15:29:00,AGM,A,55
2019-01-17,15:34:00,AGM,A,7
2019-01-17,16:00:00,AGM,A,100
2019-01-17,16:45:00,AGM,A,100
2019-01-18,10:08:00,AGM,A,100
2019-01-18,10:14:00,AGM,A,100
2019-01-18,13:25:00,AGM,A,100
2019-01-18,13:54:00,AGM,A,200
2019-01-18,15:46:00,AGM,A,109
2019-01-18,16:00:00,AGM,A,209
2019-01-18,16:02:00,AGM,A,100
2019-01-22,10:21:00,AGM,A,100
2019-01-22,13:45:00,AGM,A,1
2019-01-22,15:44:00,AGM,A,9
2019-01-22,16:00:00,AGM,A,100
2019-01-22,16:02:00,AGM,A,131
2019-01-23,13:52:00,AGM,A,100
2019-01-23,16:00:00,AGM,A,100
2019-01-23,16:45:00,AGM,A,100
2019-01-24,13:41:00,AGM,A,100
2019-01-24,13:42:00,AGM,A,100
2019-01-24,13:43:00,AGM,A,100
2019-01-24,13:44:00,AGM,A,100
2019-01-24,13:45:00,AGM,A,100
2019-01-24,16:00:00,AGM,A,100
2019-01-24,16:02:00,AGM,A,100
2019-01-28,15:37:00,AGM,A,26
2019-01-29,15:59:00,AGM,A,300
2019-01-29,16:00:00,AGM,A,200
2019-01-29,16:02:00,AGM,A,100
2019-01-30,13:04:00,AGM,A,100
2019-01-30,15:44:00,AGM,A,200
2019-01-30,15:45:00,AGM,A,2
2019-01-30,16:00:00,AGM,A,100
2019-01-30,16:02:00,AGM,A,100
2019-01-31,12:10:00,AGM,A,10
2019-01-31,12:13:00,AGM,A,10
2019-01-31,12:15:00,AGM,A,10
2019-01-31,12:17:00,AGM,A,10
2019-01-31,12:19:00,AGM,A,10
2019-01-31,12:21:00,AGM,A,10
2019-01-31,12:23:00,AGM,A,10
2019-01-31,12:25:00,AGM,A,10
2019-01-31,12:27:00,AGM,A,10
2019-01-31,12:29:00,AGM,A,10
2019-01-31,12:32:00,AGM,A,10
2019-01-31,12:34:00,AGM,A,10
2019-01-31,12:36:00,AGM,A,10
2019-01-31,12:38:00,AGM,A,10
2019-01-31,12:40:00,AGM,A,10
2019-01-31,12:42:00,AGM,A,10
2019-01-31,12:44:00,AGM,A,10
2019-01-31,12:46:00,AGM,A,10
2019-01-31,12:48:00,AGM,A,10
2019-01-31,12:51:00,AGM,A,10
2019-01-31,12:53:00,AGM,A,10
2019-01-31,12:55:00,AGM,A,10
2019-01-31,12:57:00,AGM,A,10
2019-01-31,12:59:00,AGM,A,10
2019-01-31,13:01:00,AGM,A,10
2019-01-31,13:03:00,AGM,A,10
2019-01-31,13:05:00,AGM,A,10
2019-01-31,13:08:00,AGM,A,10
2019-01-31,13:10:00,AGM,A,10
2019-01-31,13:12:00,AGM,A,10
2019-01-31,13:14:00,AGM,A,10
2019-01-31,13:16:00,AGM,A,10
2019-01-31,13:18:00,AGM,A,10
2019-01-31,13:20:00,AGM,A,10
2019-01-31,13:22:00,AGM,A,10
2019-01-31,13:24:00,AGM,A,10
2019-01-31,13:27:00,AGM,A,10
2019-01-31,13:29:00,AGM,A,10
