date,time,sym_root,sym_suffix,size
2019-01-02,09:30:00,ANH,PRA,500
2019-01-02,11:38:00,ANH,PRA,100
2019-01-02,12:03:00,ANH,PRA,100
2019-01-02,14:33:00,ANH,PRA,265
2019-01-02,14:34:00,ANH,PRA,115
2019-01-02,14:37:00,ANH,PRA,700
2019-01-02,15:08:00,ANH,PRA,100
2019-01-02,15:31:00,ANH,PRA,500
2019-01-02,16:00:00,ANH,PRA,500
2019-01-02,16:02:00,ANH,PRA,100
2019-01-03,09:30:00,ANH,PRA,1100
2019-01-03,09:36:00,ANH,PRA,200
2019-01-03,09:57:00,ANH,PRA,200
2019-01-03,11:01:00,ANH,PRA,200
2019-01-03,11:09:00,ANH,PRA,75
2019-01-03,11:31:00,ANH,PRA,3500
2019-01-03,12:17:00,ANH,PRA,30
2019-01-03,12:29:00,ANH,PRA,200
2019-01-03,12:57:00,ANH,PRA,200
2019-01-03,14:28:00,ANH,PRA,366
2019-01-03,14:45:00,ANH,PRA,700
2019-01-03,14:46:00,ANH,PRA,100
2019-01-03,14:47:00,ANH,PRA,800
2019-01-03,15:50:00,ANH,PRA,430
2019-01-03,16:00:00,ANH,PRA,130
2019-01-03,16:02:00,ANH,PRA,100
2019-01-04,09:30:00,ANH,PRA,100
2019-01-04,09:56:00,ANH,PRA,200
2019-01-04,10:58:00,ANH,PRA,55
2019-01-04,11:08:00,ANH,PRA,88
2019-01-04,11:53:00,ANH,PRA,4
2019-01-04,11:57:00,ANH,PRA,100
2019-01-04,12:00:00,ANH,PRA,300
2019-01-04,12:09:00,ANH,PRA,600
2019-01-04,12:59:00,ANH,PRA,100
2019-01-04,16:00:00,ANH,PRA,100
2019-01-04,16:02:00,ANH,PRA,200
2019-01-07,09:30:00,ANH,PRA,2000
2019-01-07,10:19:00,ANH,PRA,300
2019-01-07,11:17:00,ANH,PRA,200
2019-01-07,11:19:00,ANH,PRA,200
2019-01-07,11:25:00,ANH,PRA,100
2019-01-07,11:30:00,ANH,PRA,100
2019-01-07,14:54:00,ANH,PRA,331
2019-01-07,15:27:00,ANH,PRA,78
2019-01-07,16:00:00,ANH,PRA,135
2019-01-07,16:02:00,ANH,PRA,100
2019-01-08,09:30:00,ANH,PRA,100
2019-01-08,10:27:00,ANH,PRA,300
2019-01-08,10:28:00,ANH,PRA,310
2019-01-08,11:53:00,ANH,PRA,3000
2019-01-08,12:00:00,ANH,PRA,300
2019-01-08,15:24:00,ANH,PRA,183
2019-01-08,16:00:00,ANH,PRA,183
2019-01-08,16:02:00,ANH,PRA,1000
2019-01-09,09:30:00,ANH,PRA,100
2019-01-09,12:04:00,ANH,PRA,20
2019-01-09,12:39:00,ANH,PRA,38
2019-01-09,14:46:00,ANH,PRA,1400
2019-01-09,15:01:00,ANH,PRA,200
2019-01-09,15:22:00,ANH,PRA,250
2019-01-09,15:55:00,ANH,PRA,50
2019-01-09,16:00:00,ANH,PRA,200
2019-01-09,16:02:00,ANH,PRA,400
2019-01-10,09:30:00,ANH,PRA,100
2019-01-10,10:07:00,ANH,PRA,40
2019-01-10,11:54:00,ANH,PRA,100
2019-01-10,15:09:00,ANH,PRA,350
2019-01-10,15:42:00,ANH,PRA,510
2019-01-10,16:00:00,ANH,PRA,200
2019-01-10,16:02:00,ANH,PRA,140
2019-01-11,09:30:00,ANH,PRA,570
2019-01-11,10:07:00,ANH,PRA,200
2019-01-11,11:52:00,ANH,PRA,500
2019-01-11,12:59:00,ANH,PRA,204
2019-01-11,15:48:00,ANH,PRA,100
2019-01-11,16:00:00,ANH,PRA,100
2019-01-11,16:02:00,ANH,PRA,100
2019-01-14,09:30:00,ANH,PRA,100
2019-01-14,15:56:00,ANH,PRA,80
2019-01-14,16:00:00,ANH,PRA,100
2019-01-14,16:02:00,ANH,PRA,100
2019-01-15,09:30:00,ANH,PRA,208
2019-01-15,09:33:00,ANH,PRA,26
2019-01-15,09:56:00,ANH,PRA,419
2019-01-15,09:57:00,ANH,PRA,2
2019-01-15,12:21:00,ANH,PRA,30
2019-01-15,15:45:00,ANH,PRA,200
2019-01-15,16:00:00,ANH,PRA,200
