date,time,sym_root,sym_suffix,size
2019-01-02,09:30:00,PCG,PRA,152
2019-01-02,10:13:00,PCG,PRA,27
2019-01-02,10:15:00,PCG,PRA,46
2019-01-02,10:19:00,PCG,PRA,1900
2019-01-02,10:20:00,PCG,PRA,100
2019-01-02,10:24:00,PCG,PRA,100
2019-01-02,10:32:00,PCG,PRA,100
2019-01-02,10:37:00,PCG,PRA,300
2019-01-02,11:29:00,PCG,PRA,1100
2019-01-02,11:33:00,PCG,PRA,1
2019-01-02,11:47:00,PCG,PRA,100
2019-01-02,12:07:00,PCG,PRA,33
2019-01-02,12:33:00,PCG,PRA,4
2019-01-02,12:36:00,PCG,PRA,10
2019-01-02,13:09:00,PCG,PRA,107
2019-01-02,13:33:00,PCG,PRA,41
2019-01-02,13:39:00,PCG,PRA,2
2019-01-02,13:45:00,PCG,PRA,1000
2019-01-02,14:22:00,PCG,PRA,30
2019-01-02,14:32:00,PCG,PRA,225
2019-01-02,14:36:00,PCG,PRA,850
2019-01-02,15:02:00,PCG,PRA,100
2019-01-02,15:14:00,PCG,PRA,100
2019-01-02,15:31:00,PCG,PRA,100
2019-01-02,15:38:00,PCG,PRA,100
2019-01-02,15:41:00,PCG,PRA,200
2019-01-02,15:56:00,PCG,PRA,100
2019-01-02,15:59:00,PCG,PRA,1300
2019-01-02,16:00:00,PCG,PRA,300
2019-01-02,16:10:00,PCG,PRA,100
2019-01-02,18:30:00,PCG,PRA,100
2019-01-02,20:00:00,PCG,PRA,100
2019-01-03,10:56:00,PCG,PRA,1000
2019-01-03,12:54:00,PCG,PRA,53
2019-01-03,13:00:00,PCG,PRA,375
2019-01-03,13:01:00,PCG,PRA,786
2019-01-03,13:35:00,PCG,PRA,21
2019-01-03,13:39:00,PCG,PRA,280
2019-01-03,13:43:00,PCG,PRA,35
2019-01-03,13:46:00,PCG,PRA,50
2019-01-03,13:53:00,PCG,PRA,200
2019-01-03,13:54:00,PCG,PRA,780
2019-01-03,13:59:00,PCG,PRA,10
2019-01-03,14:15:00,PCG,PRA,262
2019-01-03,15:15:00,PCG,PRA,1000
2019-01-03,15:18:00,PCG,PRA,1100
2019-01-03,15:50:00,PCG,PRA,49
2019-01-03,15:51:00,PCG,PRA,366
2019-01-03,15:55:00,PCG,PRA,100
2019-01-03,15:56:00,PCG,PRA,246
2019-01-03,15:57:00,PCG,PRA,69
2019-01-03,15:59:00,PCG,PRA,333
2019-01-03,16:00:00,PCG,PRA,783
2019-01-03,16:10:00,PCG,PRA,272
2019-01-03,18:30:00,PCG,PRA,272
2019-01-03,20:00:00,PCG,PRA,272
2019-01-04,09:30:00,PCG,PRA,338
2019-01-04,10:01:00,PCG,PRA,100
2019-01-04,10:18:00,PCG,PRA,40
2019-01-04,11:08:00,PCG,PRA,100
2019-01-04,11:14:00,PCG,PRA,150
2019-01-04,11:55:00,PCG,PRA,137
2019-01-04,12:40:00,PCG,PRA,500
2019-01-04,12:55:00,PCG,PRA,100
2019-01-04,13:02:00,PCG,PRA,200
