date,time,sym_root,sym_suffix,size
2019-01-02,09:30:00,PCG,PRC,300
2019-01-02,12:31:00,PCG,PRC,800
2019-01-02,16:00:00,PCG,PRC,663
2019-01-02,16:10:00,PCG,PRC,300
2019-01-02,18:30:00,PCG,PRC,100
2019-01-02,20:00:00,PCG,PRC,100
2019-01-03,10:06:00,PCG,PRC,240
2019-01-03,10:18:00,PCG,PRC,452
2019-01-03,10:33:00,PCG,PRC,1000
2019-01-03,11:36:00,PCG,PRC,600
2019-01-03,13:00:00,PCG,PRC,247
2019-01-03,13:24:00,PCG,PRC,10
2019-01-03,16:00:00,PCG,PRC,861
2019-01-03,16:10:00,PCG,PRC,400
2019-01-03,18:30:00,PCG,PRC,100
2019-01-03,20:00:00,PCG,PRC,100
2019-01-04,10:02:00,PCG,PRC,7
2019-01-04,11:23:00,PCG,PRC,268
2019-01-04,14:02:00,PCG,PRC,1000
2019-01-04,16:00:00,PCG,PRC,2000
2019-01-04,16:10:00,PCG,PRC,1000
2019-01-04,18:04:00,PCG,PRC,243
2019-01-04,18:30:00,PCG,PRC,100
2019-01-04,20:00:00,PCG,PRC,100
2019-01-07,09:26:00,PCG,PRC,3000
2019-01-07,09:27:00,PCG,PRC,100
2019-01-07,09:30:00,PCG,PRC,2700
2019-01-07,09:32:00,PCG,PRC,1155
2019-01-07,09:34:00,PCG,PRC,600
2019-01-07,09:41:00,PCG,PRC,42
2019-01-07,09:44:00,PCG,PRC,360
2019-01-07,09:45:00,PCG,PRC,200
2019-01-07,09:53:00,PCG,PRC,250
2019-01-07,09:57:00,PCG,PRC,600
2019-01-07,10:03:00,PCG,PRC,43
2019-01-07,10:09:00,PCG,PRC,100
2019-01-07,10:10:00,PCG,PRC,6
2019-01-07,10:12:00,PCG,PRC,157
2019-01-07,10:13:00,PCG,PRC,800
2019-01-07,10:26:00,PCG,PRC,57
2019-01-07,10:29:00,PCG,PRC,400
2019-01-07,10:48:00,PCG,PRC,434
2019-01-07,11:36:00,PCG,PRC,167
2019-01-07,11:37:00,PCG,PRC,100
2019-01-07,11:45:00,PCG,PRC,1772
2019-01-07,11:48:00,PCG,PRC,866
2019-01-07,11:49:00,PCG,PRC,600
2019-01-07,11:51:00,PCG,PRC,300
2019-01-07,11:52:00,PCG,PRC,500
2019-01-07,12:41:00,PCG,PRC,900
2019-01-07,12:43:00,PCG,PRC,100
2019-01-07,13:46:00,PCG,PRC,25
2019-01-07,13:49:00,PCG,PRC,400
2019-01-07,14:51:00,PCG,PRC,75
2019-01-07,15:01:00,PCG,PRC,25
2019-01-07,16:00:00,PCG,PRC,250
2019-01-07,16:10:00,PCG,PRC,100
2019-01-07,18:30:00,PCG,PRC,100
2019-01-07,20:00:00,PCG,PRC,100
2019-01-08,09:30:00,PCG,PRC,400
2019-01-08,09:53:00,PCG,PRC,1200
2019-01-08,09:54:00,PCG,PRC,1300
2019-01-08,09:57:00,PCG,PRC,1000
2019-01-08,10:00:00,PCG,PRC,5493
2019-01-08,10:25:00,PCG,PRC,1200
2019-01-08,10:35:00,PCG,PRC,550
2019-01-08,11:08:00,PCG,PRC,400
2019-01-08,11:57:00,PCG,PRC,978
2019-01-08,11:58:00,PCG,PRC,600
2019-01-08,11:59:00,PCG,PRC,100
2019-01-08,12:07:00,PCG,PRC,500
2019-01-08,12:08:00,PCG,PRC,85
2019-01-08,12:09:00,PCG,PRC,500
2019-01-08,12:10:00,PCG,PRC,100
2019-01-08,12:15:00,PCG,PRC,100
2019-01-08,12:26:00,PCG,PRC,300
2019-01-08,12:31:00,PCG,PRC,600
