date,time,sym_root,sym_suffix,size
2019-01-03,13:00:00,PCG,PRG,386
2019-01-03,13:01:00,PCG,PRG,184
2019-01-03,16:00:00,PCG,PRG,284
2019-01-03,16:10:00,PCG,PRG,100
2019-01-03,18:30:00,PCG,PRG,100
2019-01-03,20:00:00,PCG,PRG,100
2019-01-04,12:55:00,PCG,PRG,350
2019-01-04,13:52:00,PCG,PRG,50
2019-01-04,15:29:00,PCG,PRG,40
2019-01-04,16:00:00,PCG,PRG,700
2019-01-04,16:10:00,PCG,PRG,350
2019-01-04,18:30:00,PCG,PRG,100
2019-01-04,20:00:00,PCG,PRG,100
2019-01-07,09:27:00,PCG,PRG,200
2019-01-07,09:28:00,PCG,PRG,3800
2019-01-07,09:29:00,PCG,PRG,300
2019-01-07,09:30:00,PCG,PRG,2968
2019-01-07,09:31:00,PCG,PRG,100
2019-01-07,09:38:00,PCG,PRG,100
2019-01-07,09:40:00,PCG,PRG,49
2019-01-07,09:41:00,PCG,PRG,685
2019-01-07,09:44:00,PCG,PRG,66
2019-01-07,09:49:00,PCG,PRG,442
2019-01-07,09:50:00,PCG,PRG,1961
2019-01-07,09:51:00,PCG,PRG,940
2019-01-07,09:53:00,PCG,PRG,500
2019-01-07,10:29:00,PCG,PRG,200
2019-01-07,10:50:00,PCG,PRG,7700
2019-01-07,10:55:00,PCG,PRG,1000
2019-01-07,10:56:00,PCG,PRG,1489
2019-01-07,10:57:00,PCG,PRG,100
2019-01-07,10:59:00,PCG,PRG,100
2019-01-07,11:00:00,PCG,PRG,3300
2019-01-07,11:17:00,PCG,PRG,200
2019-01-07,12:43:00,PCG,PRG,1760
2019-01-07,12:44:00,PCG,PRG,200
2019-01-07,12:50:00,PCG,PRG,2175
2019-01-07,12:53:00,PCG,PRG,1426
2019-01-07,12:57:00,PCG,PRG,100
2019-01-07,13:00:00,PCG,PRG,400
2019-01-07,13:39:00,PCG,PRG,500
2019-01-07,13:42:00,PCG,PRG,600
2019-01-07,13:59:00,PCG,PRG,500
2019-01-07,15:21:00,PCG,PRG,351
2019-01-07,15:59:00,PCG,PRG,100
2019-01-07,16:00:00,PCG,PRG,292
2019-01-07,16:10:00,PCG,PRG,100
2019-01-07,18:30:00,PCG,PRG,100
2019-01-07,20:00:00,PCG,PRG,100
2019-01-08,09:30:00,PCG,PRG,50
2019-01-08,09:35:00,PCG,PRG,200
2019-01-08,09:36:00,PCG,PRG,100
2019-01-08,09:49:00,PCG,PRG,400
2019-01-08,09:52:00,PCG,PRG,1
2019-01-08,10:48:00,PCG,PRG,600
2019-01-08,12:04:00,PCG,PRG,1000
2019-01-08,12:14:00,PCG,PRG,100
2019-01-08,12:20:00,PCG,PRG,4100
2019-01-08,12:22:00,PCG,PRG,300
2019-01-08,12:28:00,PCG,PRG,219
2019-01-08,12:43:00,PCG,PRG,20
2019-01-08,13:04:00,PCG,PRG,1781
2019-01-08,13:33:00,PCG,PRG,670
2019-01-08,13:34:00,PCG,PRG,115
2019-01-08,13:35:00,PCG,PRG,400
2019-01-08,14:45:00,PCG,PRG,595
2019-01-08,15:12:00,PCG,PRG,103
2019-01-08,15:35:00,PCG,PRG,241
2019-01-08,15:36:00,PCG,PRG,500
2019-01-08,15:54:00,PCG,PRG,25
2019-01-08,16:00:00,PCG,PRG,1100
2019-01-08,16:10:00,PCG,PRG,500
2019-01-08,18:30:00,PCG,PRG,100
2019-01-08,20:00:00,PCG,PRG,100
2019-01-09,09:30:00,PCG,PRG,610
2019-01-09,10:41:00,PCG,PRG,100
2019-01-09,10:42:00,PCG,PRG,100
2019-01-09,12:10:00,PCG,PRG,300
2019-01-09,12:25:00,PCG,PRG,25
2019-01-09,12:56:00,PCG,PRG,96
2019-01-09,13:17:00,PCG,PRG,200
2019-01-09,13:29:00,PCG,PRG,496
2019-01-09,14:56:00,PCG,PRG,1100
2019-01-09,15:06:00,PCG,PRG,75
2019-01-09,16:00:00,PCG,PRG,295
2019-01-09,16:10:00,PCG,PRG,100
2019-01-09,18:30:00,PCG,PRG,100
2019-01-09,20:00:00,PCG,PRG,100
2019-01-10,09:30:00,PCG,PRG,2927
2019-01-10,09:40:00,PCG,PRG,388
2019-01-10,14:18:00,PCG,PRG,405
2019-01-10,14:28:00,PCG,PRG,200
2019-01-10,14:30:00,PCG,PRG,12
2019-01-10,14:32:00,PCG,PRG,100
2019-01-10,14:34:00,PCG,PRG,100
2019-01-10,14:37:00,PCG,PRG,100
2019-01-10,16:00:00,PCG,PRG,300
2019-01-10,16:10:00,PCG,PRG,100
2019-01-10,18:30:00,PCG,PRG,100
2019-01-10,20:00:00,PCG,PRG,100
2019-01-11,09:30:00,PCG,PRG,3100
2019-01-11,10:48:00,PCG,PRG,4
2019-01-11,10:54:00,PCG,PRG,200
2019-01-11,11:00:00,PCG,PRG,300
2019-01-11,11:54:00,PCG,PRG,200
2019-01-11,12:04:00,PCG,PRG,400
2019-01-11,12:39:00,PCG,PRG,300
2019-01-11,12:54:00,PCG,PRG,200
2019-01-11,13:54:00,PCG,PRG,100
2019-01-11,14:21:00,PCG,PRG,500
2019-01-11,14:46:00,PCG,PRG,2100
2019-01-11,14:49:00,PCG,PRG,2000
2019-01-11,14:55:00,PCG,PRG,277
2019-01-11,15:29:00,PCG,PRG,500
2019-01-11,15:34:00,PCG,PRG,1500
2019-01-11,15:36:00,PCG,PRG,100
2019-01-11,15:37:00,PCG,PRG,1000
2019-01-11,15:40:00,PCG,PRG,100
2019-01-11,15:42:00,PCG,PRG,100
2019-01-11,15:43:00,PCG,PRG,81
2019-01-11,15:48:00,PCG,PRG,119
2019-01-11,15:49:00,PCG,PRG,219
2019-01-11,15:59:00,PCG,PRG,87
2019-01-11,16:00:00,PCG,PRG,419
2019-01-11,16:10:00,PCG,PRG,200
2019-01-11,18:30:00,PCG,PRG,100
2019-01-11,20:00:00,PCG,PRG,100
2019-01-14,09:19:00,PCG,PRG,2000
2019-01-14,09:30:00,PCG,PRG,30
2019-01-14,09:31:00,PCG,PRG,385
2019-01-14,09:36:00,PCG,PRG,700
2019-01-14,09:54:00,PCG,PRG,100
2019-01-14,10:06:00,PCG,PRG,700
2019-01-14,10:11:00,PCG,PRG,500
2019-01-14,10:12:00,PCG,PRG,88
2019-01-14,10:13:00,PCG,PRG,1332
2019-01-14,10:16:00,PCG,PRG,100
2019-01-14,10:19:00,PCG,PRG,700
2019-01-14,10:22:00,PCG,PRG,200
2019-01-14,10:29:00,PCG,PRG,1800
2019-01-14,10:40:00,PCG,PRG,400
2019-01-14,10:58:00,PCG,PRG,336
2019-01-14,11:02:00,PCG,PRG,100
2019-01-14,11:03:00,PCG,PRG,100
2019-01-14,11:04:00,PCG,PRG,98
2019-01-14,11:13:00,PCG,PRG,100
2019-01-14,11:19:00,PCG,PRG,67
2019-01-14,11:26:00,PCG,PRG,2400
2019-01-14,11:29:00,PCG,PRG,2116
2019-01-14,11:46:00,PCG,PRG,1000
2019-01-14,12:00:00,PCG,PRG,1233
2019-01-14,12:02:00,PCG,PRG,500
2019-01-14,12:10:00,PCG,PRG,1000
2019-01-14,12:11:00,PCG,PRG,973
2019-01-14,12:46:00,PCG,PRG,300
2019-01-14,12:50:00,PCG,PRG,400
2019-01-14,12:52:00,PCG,PRG,100
2019-01-14,12:54:00,PCG,PRG,1000
2019-01-14,13:08:00,PCG,PRG,100
2019-01-14,13:17:00,PCG,PRG,300
2019-01-14,13:20:00,PCG,PRG,125
2019-01-14,13:28:00,PCG,PRG,25
2019-01-14,13:36:00,PCG,PRG,200
2019-01-14,13:38:00,PCG,PRG,400
2019-01-14,13:40:00,PCG,PRG,400
2019-01-14,13:50:00,PCG,PRG,200
2019-01-14,14:10:00,PCG,PRG,20
2019-01-14,14:12:00,PCG,PRG,90
2019-01-14,14:19:00,PCG,PRG,15
2019-01-14,14:50:00,PCG,PRG,15
2019-01-14,14:51:00,PCG,PRG,100
2019-01-14,14:52:00,PCG,PRG,39
2019-01-14,15:15:00,PCG,PRG,150
2019-01-14,15:27:00,PCG,PRG,100
2019-01-14,15:39:00,PCG,PRG,2000
2019-01-14,15:40:00,PCG,PRG,2000
2019-01-14,15:41:00,PCG,PRG,1161
2019-01-14,15:42:00,PCG,PRG,300
2019-01-14,15:44:00,PCG,PRG,200
2019-01-14,15:48:00,PCG,PRG,195
2019-01-14,15:49:00,PCG,PRG,625
2019-01-14,15:50:00,PCG,PRG,50
2019-01-14,15:54:00,PCG,PRG,85
2019-01-14,15:57:00,PCG,PRG,200
2019-01-14,15:58:00,PCG,PRG,200
2019-01-14,15:59:00,PCG,PRG,33
2019-01-14,16:00:00,PCG,PRG,600
2019-01-14,16:10:00,PCG,PRG,200
2019-01-14,18:30:00,PCG,PRG,100
2019-01-14,20:00:00,PCG,PRG,100
2019-01-15,09:30:00,PCG,PRG,1199
2019-01-15,09:35:00,PCG,PRG,1200
2019-01-15,09:36:00,PCG,PRG,281
2019-01-15,09:37:00,PCG,PRG,100
2019-01-15,09:43:00,PCG,PRG,400
2019-01-15,09:45:00,PCG,PRG,4050
2019-01-15,09:47:00,PCG,PRG,100
2019-01-15,09:53:00,PCG,PRG,100
2019-01-15,09:54:00,PCG,PRG,600
2019-01-15,09:58:00,PCG,PRG,100
2019-01-15,09:59:00,PCG,PRG,1177
2019-01-15,10:00:00,PCG,PRG,300
2019-01-15,10:01:00,PCG,PRG,99
2019-01-15,10:02:00,PCG,PRG,236
2019-01-15,10:03:00,PCG,PRG,264
2019-01-15,10:07:00,PCG,PRG,527
2019-01-15,10:13:00,PCG,PRG,125
2019-01-15,10:18:00,PCG,PRG,1306
2019-01-15,10:20:00,PCG,PRG,200
2019-01-15,10:21:00,PCG,PRG,500
2019-01-15,10:32:00,PCG,PRG,700
2019-01-15,10:43:00,PCG,PRG,500
2019-01-15,10:44:00,PCG,PRG,250
2019-01-15,10:47:00,PCG,PRG,20
2019-01-15,10:51:00,PCG,PRG,500
2019-01-15,10:56:00,PCG,PRG,222
2019-01-15,10:57:00,PCG,PRG,200
2019-01-15,10:58:00,PCG,PRG,192
2019-01-15,11:14:00,PCG,PRG,100
2019-01-15,11:46:00,PCG,PRG,245
2019-01-15,11:51:00,PCG,PRG,475
2019-01-15,12:36:00,PCG,PRG,1881
2019-01-15,12:38:00,PCG,PRG,374
2019-01-15,12:41:00,PCG,PRG,3928
2019-01-15,12:42:00,PCG,PRG,2072
2019-01-15,12:53:00,PCG,PRG,1600
2019-01-15,13:37:00,PCG,PRG,500
2019-01-15,14:37:00,PCG,PRG,600
2019-01-15,14:47:00,PCG,PRG,200
2019-01-15,15:00:00,PCG,PRG,5600
2019-01-15,15:01:00,PCG,PRG,4250
2019-01-15,15:53:00,PCG,PRG,100
2019-01-15,15:56:00,PCG,PRG,245
2019-01-15,16:00:00,PCG,PRG,590
2019-01-15,16:10:00,PCG,PRG,245
2019-01-15,18:30:00,PCG,PRG,100
2019-01-15,20:00:00,PCG,PRG,100
2019-01-16,09:30:00,PCG,PRG,2
2019-01-16,09:45:00,PCG,PRG,6000
2019-01-16,10:23:00,PCG,PRG,1300
2019-01-16,11:13:00,PCG,PRG,300
2019-01-16,11:34:00,PCG,PRG,942
2019-01-16,11:35:00,PCG,PRG,200
2019-01-16,11:36:00,PCG,PRG,200
2019-01-16,11:38:00,PCG,PRG,200
2019-01-16,11:43:00,PCG,PRG,200
2019-01-16,14:33:00,PCG,PRG,780
2019-01-16,15:23:00,PCG,PRG,500
2019-01-16,15:29:00,PCG,PRG,500
2019-01-16,15:44:00,PCG,PRG,45
2019-01-16,15:52:00,PCG,PRG,1300
2019-01-16,16:00:00,PCG,PRG,641
2019-01-16,16:10:00,PCG,PRG,320
2019-01-16,18:30:00,PCG,PRG,100
2019-01-16,20:00:00,PCG,PRG,100
2019-01-17,09:30:00,PCG,PRG,100
2019-01-17,10:14:00,PCG,PRG,17
2019-01-17,10:25:00,PCG,PRG,500
2019-01-17,12:17:00,PCG,PRG,200
2019-01-17,12:18:00,PCG,PRG,3500
2019-01-17,12:51:00,PCG,PRG,750
2019-01-17,12:53:00,PCG,PRG,200
2019-01-17,12:59:00,PCG,PRG,1700
2019-01-17,13:33:00,PCG,PRG,1500
2019-01-17,13:55:00,PCG,PRG,50
2019-01-17,14:41:00,PCG,PRG,100
2019-01-17,15:04:00,PCG,PRG,500
2019-01-17,15:12:00,PCG,PRG,300
2019-01-17,16:00:00,PCG,PRG,600
2019-01-17,16:10:00,PCG,PRG,300
2019-01-17,18:30:00,PCG,PRG,100
2019-01-17,20:00:00,PCG,PRG,100
2019-01-18,09:30:00,PCG,PRG,2
2019-01-18,12:05:00,PCG,PRG,18
2019-01-18,14:42:00,PCG,PRG,2263
2019-01-18,15:53:00,PCG,PRG,100
2019-01-18,16:00:00,PCG,PRG,200
2019-01-18,16:10:00,PCG,PRG,100
2019-01-18,18:30:00,PCG,PRG,100
2019-01-18,20:00:00,PCG,PRG,100
2019-01-22,09:30:00,PCG,PRG,400
2019-01-22,09:38:00,PCG,PRG,101
2019-01-22,11:38:00,PCG,PRG,1500
2019-01-22,12:01:00,PCG,PRG,500
2019-01-22,15:52:00,PCG,PRG,300
2019-01-22,16:00:00,PCG,PRG,200
2019-01-22,16:10:00,PCG,PRG,100
2019-01-22,18:30:00,PCG,PRG,100
2019-01-22,20:00:00,PCG,PRG,100
2019-01-23,09:30:00,PCG,PRG,200
2019-01-23,10:17:00,PCG,PRG,1000
2019-01-23,11:26:00,PCG,PRG,150
2019-01-23,12:39:00,PCG,PRG,1000
2019-01-23,12:49:00,PCG,PRG,100
2019-01-23,13:42:00,PCG,PRG,100
2019-01-23,14:11:00,PCG,PRG,430
2019-01-23,16:00:00,PCG,PRG,430
2019-01-23,16:10:00,PCG,PRG,215
2019-01-23,18:30:00,PCG,PRG,100
2019-01-23,20:00:00,PCG,PRG,100
2019-01-24,09:53:00,PCG,PRG,600
2019-01-24,10:05:00,PCG,PRG,100
2019-01-24,10:07:00,PCG,PRG,2193
2019-01-24,10:30:00,PCG,PRG,512
2019-01-24,11:04:00,PCG,PRG,388
2019-01-24,12:13:00,PCG,PRG,212
2019-01-24,13:21:00,PCG,PRG,87
2019-01-24,15:15:00,PCG,PRG,1400
2019-01-24,15:16:00,PCG,PRG,2263
2019-01-24,15:17:00,PCG,PRG,900
2019-01-24,15:18:00,PCG,PRG,300
2019-01-24,15:20:00,PCG,PRG,700
2019-01-24,15:27:00,PCG,PRG,1
2019-01-24,15:32:00,PCG,PRG,249
2019-01-24,15:33:00,PCG,PRG,100
2019-01-24,15:34:00,PCG,PRG,100
2019-01-24,15:35:00,PCG,PRG,1113
2019-01-24,15:37:00,PCG,PRG,300
2019-01-24,15:38:00,PCG,PRG,212
2019-01-24,15:41:00,PCG,PRG,300
2019-01-24,15:44:00,PCG,PRG,600
2019-01-24,15:45:00,PCG,PRG,1
2019-01-24,15:50:00,PCG,PRG,1350
