date,time,sym_root,sym_suffix,size
2019-01-02,11:12:00,PCG,PRI,220
2019-01-02,11:13:00,PCG,PRI,100
2019-01-02,16:00:00,PCG,PRI,200
2019-01-02,16:10:00,PCG,PRI,100
2019-01-02,18:30:00,PCG,PRI,100
2019-01-02,20:00:00,PCG,PRI,100
2019-01-03,13:00:00,PCG,PRI,386
2019-01-03,15:17:00,PCG,PRI,1
2019-01-03,16:00:00,PCG,PRI,307
2019-01-03,16:10:00,PCG,PRI,116
2019-01-03,18:30:00,PCG,PRI,100
2019-01-03,20:00:00,PCG,PRI,100
2019-01-04,10:15:00,PCG,PRI,400
2019-01-04,10:16:00,PCG,PRI,200
2019-01-04,10:29:00,PCG,PRI,50
2019-01-04,13:31:00,PCG,PRI,100
2019-01-04,13:39:00,PCG,PRI,2000
2019-01-04,15:42:00,PCG,PRI,200
2019-01-04,15:46:00,PCG,PRI,100
2019-01-04,15:48:00,PCG,PRI,250
2019-01-04,15:54:00,PCG,PRI,100
2019-01-04,16:00:00,PCG,PRI,200
2019-01-04,16:10:00,PCG,PRI,100
2019-01-04,18:30:00,PCG,PRI,100
2019-01-04,18:36:00,PCG,PRI,200
2019-01-04,20:00:00,PCG,PRI,100
2019-01-07,09:30:00,PCG,PRI,806
2019-01-07,09:32:00,PCG,PRI,500
2019-01-07,09:33:00,PCG,PRI,350
2019-01-07,09:34:00,PCG,PRI,2550
2019-01-07,09:38:00,PCG,PRI,1000
2019-01-07,09:46:00,PCG,PRI,100
2019-01-07,09:51:00,PCG,PRI,12
2019-01-07,10:26:00,PCG,PRI,400
2019-01-07,10:28:00,PCG,PRI,400
2019-01-07,10:29:00,PCG,PRI,300
2019-01-07,10:30:00,PCG,PRI,100
2019-01-07,10:34:00,PCG,PRI,1000
2019-01-07,10:44:00,PCG,PRI,1500
2019-01-07,10:46:00,PCG,PRI,100
2019-01-07,11:02:00,PCG,PRI,506
2019-01-07,12:44:00,PCG,PRI,106
