date,time,sym_root,sym_suffix,size
2019-01-02,11:38:00,RNR,PRC,2000
2019-01-02,11:44:00,RNR,PRC,400
2019-01-02,13:03:00,RNR,PRC,40
2019-01-02,13:31:00,RNR,PRC,498
2019-01-02,14:12:00,RNR,PRC,100
2019-01-02,14:13:00,RNR,PRC,120
2019-01-02,14:39:00,RNR,PRC,59
2019-01-02,14:59:00,RNR,PRC,1400
2019-01-02,15:17:00,RNR,PRC,100
2019-01-02,15:31:00,RNR,PRC,100
2019-01-02,15:56:00,RNR,PRC,100
2019-01-02,15:59:00,RNR,PRC,100
2019-01-02,16:00:00,RNR,PRC,300
2019-01-03,09:30:00,RNR,PRC,100
2019-01-03,09:33:00,RNR,PRC,1
2019-01-03,09:50:00,RNR,PRC,10
2019-01-03,09:59:00,RNR,PRC,250
2019-01-03,10:01:00,RNR,PRC,160
2019-01-03,10:13:00,RNR,PRC,1500
2019-01-03,10:14:00,RNR,PRC,400
2019-01-03,10:24:00,RNR,PRC,1700
2019-01-03,10:26:00,RNR,PRC,200
2019-01-03,10:43:00,RNR,PRC,600
2019-01-03,10:44:00,RNR,PRC,100
2019-01-03,10:49:00,RNR,PRC,100
2019-01-03,10:50:00,RNR,PRC,600
2019-01-03,10:57:00,RNR,PRC,200
2019-01-03,11:33:00,RNR,PRC,100
2019-01-03,11:34:00,RNR,PRC,500
2019-01-03,11:38:00,RNR,PRC,200
2019-01-03,11:39:00,RNR,PRC,100
2019-01-03,11:40:00,RNR,PRC,100
2019-01-03,11:48:00,RNR,PRC,121
2019-01-03,11:56:00,RNR,PRC,1000
2019-01-03,12:35:00,RNR,PRC,100
2019-01-03,12:38:00,RNR,PRC,100
2019-01-03,12:45:00,RNR,PRC,2000
2019-01-03,12:50:00,RNR,PRC,33
2019-01-03,12:55:00,RNR,PRC,100
2019-01-03,13:01:00,RNR,PRC,6200
2019-01-03,13:02:00,RNR,PRC,200
2019-01-03,13:03:00,RNR,PRC,200
2019-01-03,13:04:00,RNR,PRC,2100
2019-01-03,13:09:00,RNR,PRC,300
2019-01-03,13:16:00,RNR,PRC,500
2019-01-03,13:17:00,RNR,PRC,800
2019-01-03,13:24:00,RNR,PRC,225
2019-01-03,14:04:00,RNR,PRC,500
2019-01-03,14:05:00,RNR,PRC,200
2019-01-03,14:15:00,RNR,PRC,145
2019-01-03,14:40:00,RNR,PRC,239
2019-01-03,14:41:00,RNR,PRC,100
2019-01-03,14:50:00,RNR,PRC,200
2019-01-03,15:02:00,RNR,PRC,400
2019-01-03,15:32:00,RNR,PRC,794
2019-01-03,15:42:00,RNR,PRC,300
2019-01-03,15:44:00,RNR,PRC,100
2019-01-03,15:46:00,RNR,PRC,500
2019-01-03,15:54:00,RNR,PRC,100
2019-01-03,15:56:00,RNR,PRC,40
2019-01-03,15:59:00,RNR,PRC,196
2019-01-03,16:00:00,RNR,PRC,200
2019-01-03,16:02:00,RNR,PRC,728
2019-01-04,09:30:00,RNR,PRC,221
2019-01-04,09:31:00,RNR,PRC,1206
2019-01-04,09:51:00,RNR,PRC,1000
2019-01-04,10:05:00,RNR,PRC,46
2019-01-04,10:06:00,RNR,PRC,100
2019-01-04,10:07:00,RNR,PRC,600
2019-01-04,10:10:00,RNR,PRC,800
2019-01-04,10:19:00,RNR,PRC,300
2019-01-04,10:22:00,RNR,PRC,6
2019-01-04,10:29:00,RNR,PRC,820
2019-01-04,10:42:00,RNR,PRC,9689
2019-01-04,11:19:00,RNR,PRC,494
2019-01-04,11:30:00,RNR,PRC,300
2019-01-04,11:38:00,RNR,PRC,100
2019-01-04,11:46:00,RNR,PRC,382
2019-01-04,12:00:00,RNR,PRC,1000
2019-01-04,12:19:00,RNR,PRC,21
2019-01-04,12:20:00,RNR,PRC,2494
2019-01-04,12:53:00,RNR,PRC,468
2019-01-04,13:02:00,RNR,PRC,200
2019-01-04,13:17:00,RNR,PRC,100
2019-01-04,13:20:00,RNR,PRC,113
2019-01-04,13:29:00,RNR,PRC,100
2019-01-04,13:52:00,RNR,PRC,400
2019-01-04,13:53:00,RNR,PRC,379
2019-01-04,13:59:00,RNR,PRC,500
2019-01-04,14:13:00,RNR,PRC,2000
2019-01-04,14:18:00,RNR,PRC,100
2019-01-04,14:29:00,RNR,PRC,6038
2019-01-04,14:31:00,RNR,PRC,51
2019-01-04,14:39:00,RNR,PRC,242
2019-01-04,14:45:00,RNR,PRC,1000
2019-01-04,14:46:00,RNR,PRC,179
2019-01-04,15:15:00,RNR,PRC,500
2019-01-04,15:40:00,RNR,PRC,100
2019-01-04,15:49:00,RNR,PRC,658
2019-01-04,15:54:00,RNR,PRC,21
2019-01-04,15:58:00,RNR,PRC,100
2019-01-04,15:59:00,RNR,PRC,100
2019-01-04,16:00:00,RNR,PRC,200
2019-01-04,16:02:00,RNR,PRC,100
2019-01-07,10:38:00,RNR,PRC,1
2019-01-07,11:33:00,RNR,PRC,117
2019-01-07,11:41:00,RNR,PRC,400
2019-01-07,11:59:00,RNR,PRC,296
2019-01-07,12:09:00,RNR,PRC,199
2019-01-07,13:05:00,RNR,PRC,110
2019-01-07,13:10:00,RNR,PRC,1090
2019-01-07,14:24:00,RNR,PRC,4642
2019-01-07,15:32:00,RNR,PRC,104
2019-01-07,15:49:00,RNR,PRC,1
2019-01-07,15:59:00,RNR,PRC,300
2019-01-07,16:00:00,RNR,PRC,117
2019-01-07,16:02:00,RNR,PRC,100
2019-01-08,09:30:00,RNR,PRC,1200
2019-01-08,09:50:00,RNR,PRC,100
2019-01-08,10:25:00,RNR,PRC,396
2019-01-08,11:07:00,RNR,PRC,406
2019-01-08,11:53:00,RNR,PRC,100
2019-01-08,12:18:00,RNR,PRC,3300
2019-01-08,12:19:00,RNR,PRC,800
2019-01-08,12:50:00,RNR,PRC,1000
2019-01-08,12:55:00,RNR,PRC,100
2019-01-08,13:13:00,RNR,PRC,80
2019-01-08,13:21:00,RNR,PRC,100
2019-01-08,13:51:00,RNR,PRC,116
2019-01-08,13:56:00,RNR,PRC,100
2019-01-08,14:01:00,RNR,PRC,97
2019-01-08,14:12:00,RNR,PRC,100
2019-01-08,14:30:00,RNR,PRC,116
2019-01-08,14:34:00,RNR,PRC,450
2019-01-08,14:48:00,RNR,PRC,58
2019-01-08,14:53:00,RNR,PRC,600
2019-01-08,15:10:00,RNR,PRC,1600
2019-01-08,15:27:00,RNR,PRC,115
2019-01-08,15:44:00,RNR,PRC,675
2019-01-08,15:45:00,RNR,PRC,400
2019-01-08,15:51:00,RNR,PRC,174
2019-01-08,15:53:00,RNR,PRC,100
2019-01-08,15:55:00,RNR,PRC,26
2019-01-08,15:59:00,RNR,PRC,198
2019-01-08,16:00:00,RNR,PRC,200
2019-01-08,16:02:00,RNR,PRC,550
2019-01-09,11:04:00,RNR,PRC,1000
2019-01-09,11:19:00,RNR,PRC,25
2019-01-09,12:07:00,RNR,PRC,200
2019-01-09,13:19:00,RNR,PRC,233
2019-01-09,14:20:00,RNR,PRC,59
2019-01-09,14:41:00,RNR,PRC,55
2019-01-09,15:14:00,RNR,PRC,116
2019-01-09,15:28:00,RNR,PRC,116
2019-01-09,15:55:00,RNR,PRC,117
2019-01-09,15:59:00,RNR,PRC,198
2019-01-09,16:00:00,RNR,PRC,100
2019-01-09,16:01:00,RNR,PRC,2
2019-01-10,09:30:00,RNR,PRC,1
2019-01-10,09:40:00,RNR,PRC,2
2019-01-10,11:37:00,RNR,PRC,2800
2019-01-10,14:18:00,RNR,PRC,1621
2019-01-10,15:19:00,RNR,PRC,198
2019-01-10,15:35:00,RNR,PRC,3900
2019-01-10,15:48:00,RNR,PRC,470
2019-01-10,15:59:00,RNR,PRC,211
2019-01-10,16:00:00,RNR,PRC,200
2019-01-10,16:02:00,RNR,PRC,200
2019-01-11,10:32:00,RNR,PRC,200
2019-01-11,12:05:00,RNR,PRC,500
2019-01-11,14:09:00,RNR,PRC,200
2019-01-11,14:10:00,RNR,PRC,68
2019-01-11,14:58:00,RNR,PRC,870
2019-01-11,15:04:00,RNR,PRC,132
2019-01-11,15:14:00,RNR,PRC,232
2019-01-11,15:47:00,RNR,PRC,225
2019-01-11,15:58:00,RNR,PRC,763
2019-01-11,15:59:00,RNR,PRC,799
2019-01-11,16:00:00,RNR,PRC,200
2019-01-11,16:02:00,RNR,PRC,402
2019-01-14,09:30:00,RNR,PRC,600
2019-01-14,09:42:00,RNR,PRC,1370
2019-01-14,09:50:00,RNR,PRC,100
2019-01-14,09:59:00,RNR,PRC,400
2019-01-14,10:00:00,RNR,PRC,213
2019-01-14,10:14:00,RNR,PRC,80
2019-01-14,10:42:00,RNR,PRC,100
2019-01-14,11:26:00,RNR,PRC,1249
2019-01-14,12:16:00,RNR,PRC,228
2019-01-14,13:13:00,RNR,PRC,595
2019-01-14,13:58:00,RNR,PRC,100
2019-01-14,14:12:00,RNR,PRC,500
2019-01-14,15:13:00,RNR,PRC,600
2019-01-14,15:44:00,RNR,PRC,100
2019-01-14,15:55:00,RNR,PRC,100
2019-01-14,16:00:00,RNR,PRC,200
2019-01-14,16:02:00,RNR,PRC,264
2019-01-15,09:36:00,RNR,PRC,1800
2019-01-15,11:54:00,RNR,PRC,29
2019-01-15,12:20:00,RNR,PRC,3200
2019-01-15,12:21:00,RNR,PRC,27
2019-01-15,12:47:00,RNR,PRC,100
2019-01-15,13:11:00,RNR,PRC,15
2019-01-15,13:30:00,RNR,PRC,204
2019-01-15,13:34:00,RNR,PRC,896
2019-01-15,13:52:00,RNR,PRC,200
2019-01-15,13:58:00,RNR,PRC,14
2019-01-15,15:13:00,RNR,PRC,15
2019-01-15,15:27:00,RNR,PRC,15
2019-01-15,15:45:00,RNR,PRC,239
2019-01-15,15:50:00,RNR,PRC,1300
2019-01-15,15:53:00,RNR,PRC,100
2019-01-15,15:59:00,RNR,PRC,100
2019-01-15,16:00:00,RNR,PRC,200
2019-01-15,16:01:00,RNR,PRC,400
2019-01-16,09:30:00,RNR,PRC,528
2019-01-16,10:29:00,RNR,PRC,94
2019-01-16,10:33:00,RNR,PRC,200
2019-01-16,10:51:00,RNR,PRC,300
2019-01-16,10:52:00,RNR,PRC,100
2019-01-16,11:51:00,RNR,PRC,200
2019-01-16,11:56:00,RNR,PRC,1000
2019-01-16,12:30:00,RNR,PRC,100
2019-01-16,12:40:00,RNR,PRC,6800
2019-01-16,14:29:00,RNR,PRC,82
2019-01-16,15:16:00,RNR,PRC,200
2019-01-16,15:35:00,RNR,PRC,20
2019-01-16,15:43:00,RNR,PRC,58
2019-01-16,15:49:00,RNR,PRC,41
2019-01-16,15:59:00,RNR,PRC,17
2019-01-16,16:00:00,RNR,PRC,300
2019-01-16,16:01:00,RNR,PRC,588
2019-01-17,09:31:00,RNR,PRC,3000
2019-01-17,10:09:00,RNR,PRC,100
2019-01-17,10:40:00,RNR,PRC,500
2019-01-17,10:51:00,RNR,PRC,2000
2019-01-17,11:08:00,RNR,PRC,400
2019-01-17,11:42:00,RNR,PRC,500
2019-01-17,12:36:00,RNR,PRC,48
2019-01-17,12:37:00,RNR,PRC,52
2019-01-17,13:04:00,RNR,PRC,452
2019-01-17,15:36:00,RNR,PRC,395
2019-01-17,15:55:00,RNR,PRC,200
2019-01-17,16:00:00,RNR,PRC,200
2019-01-17,16:45:00,RNR,PRC,200
2019-01-18,10:00:00,RNR,PRC,237
2019-01-18,10:27:00,RNR,PRC,600
2019-01-18,10:28:00,RNR,PRC,62
2019-01-18,10:30:00,RNR,PRC,956
2019-01-18,10:55:00,RNR,PRC,2200
2019-01-18,11:07:00,RNR,PRC,18
2019-01-18,11:19:00,RNR,PRC,1000
2019-01-18,11:30:00,RNR,PRC,100
2019-01-18,11:41:00,RNR,PRC,100
2019-01-18,12:42:00,RNR,PRC,6
2019-01-18,13:35:00,RNR,PRC,188
2019-01-18,14:06:00,RNR,PRC,3043
2019-01-18,14:25:00,RNR,PRC,100
2019-01-18,14:40:00,RNR,PRC,100
2019-01-18,15:05:00,RNR,PRC,800
2019-01-18,15:37:00,RNR,PRC,7
2019-01-18,15:41:00,RNR,PRC,30
2019-01-18,15:59:00,RNR,PRC,100
2019-01-18,16:00:00,RNR,PRC,130
2019-01-18,16:02:00,RNR,PRC,312
2019-01-22,11:05:00,RNR,PRC,700
2019-01-22,11:35:00,RNR,PRC,379
2019-01-22,11:47:00,RNR,PRC,249
2019-01-22,12:02:00,RNR,PRC,492
2019-01-22,13:00:00,RNR,PRC,1600
2019-01-22,13:01:00,RNR,PRC,500
2019-01-22,13:30:00,RNR,PRC,650
2019-01-22,15:15:00,RNR,PRC,820
2019-01-22,16:00:00,RNR,PRC,200
2019-01-22,16:02:00,RNR,PRC,100
2019-01-23,10:07:00,RNR,PRC,240
2019-01-23,10:11:00,RNR,PRC,200
2019-01-23,10:12:00,RNR,PRC,400
2019-01-23,10:53:00,RNR,PRC,640
2019-01-23,11:18:00,RNR,PRC,200
2019-01-23,12:59:00,RNR,PRC,1254
2019-01-23,13:03:00,RNR,PRC,600
2019-01-23,15:22:00,RNR,PRC,230
2019-01-23,15:23:00,RNR,PRC,22
2019-01-23,15:34:00,RNR,PRC,100
2019-01-23,15:55:00,RNR,PRC,956
2019-01-23,16:00:00,RNR,PRC,1456
2019-01-23,16:02:00,RNR,PRC,100
2019-01-24,09:54:00,RNR,PRC,300
2019-01-24,09:55:00,RNR,PRC,100
2019-01-24,10:00:00,RNR,PRC,2000
2019-01-24,10:11:00,RNR,PRC,50
2019-01-24,10:42:00,RNR,PRC,250
2019-01-24,10:50:00,RNR,PRC,1000
2019-01-24,10:58:00,RNR,PRC,1099
2019-01-24,11:21:00,RNR,PRC,600
2019-01-24,11:38:00,RNR,PRC,200
2019-01-24,11:39:00,RNR,PRC,1931
2019-01-24,11:44:00,RNR,PRC,391
2019-01-24,11:48:00,RNR,PRC,3
2019-01-24,12:01:00,RNR,PRC,608
2019-01-24,12:42:00,RNR,PRC,1600
2019-01-24,13:23:00,RNR,PRC,500
2019-01-24,13:51:00,RNR,PRC,10
2019-01-24,14:05:00,RNR,PRC,700
2019-01-24,14:08:00,RNR,PRC,343
2019-01-24,14:09:00,RNR,PRC,400
2019-01-24,14:12:00,RNR,PRC,100
2019-01-24,14:13:00,RNR,PRC,1203
2019-01-24,14:15:00,RNR,PRC,100
2019-01-24,14:16:00,RNR,PRC,200
2019-01-24,14:18:00,RNR,PRC,100
2019-01-24,14:25:00,RNR,PRC,200
2019-01-24,14:28:00,RNR,PRC,60
2019-01-24,14:39:00,RNR,PRC,30
2019-01-24,14:40:00,RNR,PRC,13
2019-01-24,14:46:00,RNR,PRC,500
2019-01-24,15:16:00,RNR,PRC,250
2019-01-24,15:33:00,RNR,PRC,250
2019-01-24,15:52:00,RNR,PRC,100
2019-01-24,15:54:00,RNR,PRC,200
2019-01-24,16:00:00,RNR,PRC,400
2019-01-24,16:02:00,RNR,PRC,100
2019-01-25,10:23:00,RNR,PRC,852
2019-01-25,10:28:00,RNR,PRC,666
2019-01-25,10:53:00,RNR,PRC,200
2019-01-25,12:04:00,RNR,PRC,800
2019-01-25,14:17:00,RNR,PRC,75
2019-01-25,14:37:00,RNR,PRC,87
2019-01-25,14:57:00,RNR,PRC,500
2019-01-25,15:23:00,RNR,PRC,525
2019-01-25,15:28:00,RNR,PRC,600
2019-01-25,15:53:00,RNR,PRC,2000
2019-01-25,16:00:00,RNR,PRC,200
2019-01-25,16:02:00,RNR,PRC,200
2019-01-28,09:30:00,RNR,PRC,196
2019-01-28,09:59:00,RNR,PRC,500
2019-01-28,10:10:00,RNR,PRC,40
2019-01-28,10:18:00,RNR,PRC,100
2019-01-28,10:31:00,RNR,PRC,500
2019-01-28,10:49:00,RNR,PRC,100
2019-01-28,11:05:00,RNR,PRC,66
2019-01-28,11:28:00,RNR,PRC,250
2019-01-28,11:54:00,RNR,PRC,500
2019-01-28,12:03:00,RNR,PRC,60
2019-01-28,12:15:00,RNR,PRC,300
2019-01-28,12:17:00,RNR,PRC,100
2019-01-28,12:23:00,RNR,PRC,575
2019-01-28,12:41:00,RNR,PRC,400
2019-01-28,12:58:00,RNR,PRC,100
2019-01-28,13:26:00,RNR,PRC,2055
2019-01-28,13:27:00,RNR,PRC,200
2019-01-28,13:34:00,RNR,PRC,975
2019-01-28,13:38:00,RNR,PRC,100
2019-01-28,13:40:00,RNR,PRC,800
2019-01-28,14:01:00,RNR,PRC,100
2019-01-28,14:03:00,RNR,PRC,200
2019-01-28,14:04:00,RNR,PRC,200
2019-01-28,14:10:00,RNR,PRC,400
2019-01-28,14:26:00,RNR,PRC,100
2019-01-28,14:34:00,RNR,PRC,450
2019-01-28,14:52:00,RNR,PRC,100
2019-01-28,15:25:00,RNR,PRC,600
2019-01-28,15:50:00,RNR,PRC,79
2019-01-28,15:55:00,RNR,PRC,4
2019-01-28,15:57:00,RNR,PRC,79
2019-01-28,15:58:00,RNR,PRC,79
2019-01-28,15:59:00,RNR,PRC,202
2019-01-28,16:00:00,RNR,PRC,200
2019-01-28,16:01:00,RNR,PRC,392
2019-01-29,09:40:00,RNR,PRC,100
2019-01-29,09:48:00,RNR,PRC,200
2019-01-29,10:35:00,RNR,PRC,59
2019-01-29,10:56:00,RNR,PRC,300
2019-01-29,11:12:00,RNR,PRC,25
2019-01-29,11:14:00,RNR,PRC,1
2019-01-29,11:20:00,RNR,PRC,1500
2019-01-29,11:55:00,RNR,PRC,800
2019-01-29,12:14:00,RNR,PRC,29
2019-01-29,12:21:00,RNR,PRC,950
2019-01-29,13:21:00,RNR,PRC,3501
2019-01-29,13:50:00,RNR,PRC,1203
2019-01-29,14:25:00,RNR,PRC,53
2019-01-29,14:26:00,RNR,PRC,4
2019-01-29,14:29:00,RNR,PRC,349
2019-01-29,15:19:00,RNR,PRC,100
2019-01-29,15:31:00,RNR,PRC,128
2019-01-29,15:34:00,RNR,PRC,100
2019-01-29,15:52:00,RNR,PRC,100
2019-01-29,15:59:00,RNR,PRC,110
2019-01-29,16:00:00,RNR,PRC,200
2019-01-29,16:01:00,RNR,PRC,101
2019-01-30,09:30:00,RNR,PRC,350
2019-01-30,09:33:00,RNR,PRC,400
2019-01-30,10:39:00,RNR,PRC,50
2019-01-30,10:51:00,RNR,PRC,173
2019-01-30,11:27:00,RNR,PRC,100
2019-01-30,11:44:00,RNR,PRC,100
2019-01-30,11:48:00,RNR,PRC,3837
2019-01-30,13:52:00,RNR,PRC,200
2019-01-30,13:59:00,RNR,PRC,93
2019-01-30,14:41:00,RNR,PRC,100
2019-01-30,14:59:00,RNR,PRC,5200
2019-01-30,15:00:00,RNR,PRC,2300
2019-01-30,15:39:00,RNR,PRC,100
2019-01-30,15:54:00,RNR,PRC,100
2019-01-30,15:57:00,RNR,PRC,100
2019-01-30,15:59:00,RNR,PRC,100
2019-01-30,16:00:00,RNR,PRC,200
2019-01-30,16:02:00,RNR,PRC,100
2019-01-31,09:30:00,RNR,PRC,500
2019-01-31,10:19:00,RNR,PRC,300
2019-01-31,10:22:00,RNR,PRC,400
2019-01-31,10:23:00,RNR,PRC,1501
2019-01-31,10:28:00,RNR,PRC,700
2019-01-31,10:30:00,RNR,PRC,600
2019-01-31,10:41:00,RNR,PRC,79
2019-01-31,10:49:00,RNR,PRC,900
2019-01-31,10:54:00,RNR,PRC,79
2019-01-31,11:03:00,RNR,PRC,42
2019-01-31,11:17:00,RNR,PRC,39
2019-01-31,11:43:00,RNR,PRC,19
2019-01-31,12:02:00,RNR,PRC,500
2019-01-31,12:06:00,RNR,PRC,500
2019-01-31,12:09:00,RNR,PRC,100
2019-01-31,12:33:00,RNR,PRC,23
2019-01-31,12:35:00,RNR,PRC,1
2019-01-31,12:38:00,RNR,PRC,119
2019-01-31,13:00:00,RNR,PRC,27
2019-01-31,13:07:00,RNR,PRC,1373
2019-01-31,13:21:00,RNR,PRC,100
2019-01-31,13:35:00,RNR,PRC,119
2019-01-31,13:43:00,RNR,PRC,19
2019-01-31,13:51:00,RNR,PRC,19
