date,time,sym_root,sym_suffix,size
2020-02-26,09:32:00,RNR,PRCCL,1800
2020-02-26,10:07:00,RNR,PRCCL,2
2020-02-26,10:23:00,RNR,PRCCL,1
2020-02-26,10:24:00,RNR,PRCCL,100
2020-02-26,11:06:00,RNR,PRCCL,2
2020-02-26,11:11:00,RNR,PRCCL,11
2020-02-26,11:15:00,RNR,PRCCL,7
2020-02-26,11:30:00,RNR,PRCCL,1
2020-02-26,11:31:00,RNR,PRCCL,17
2020-02-26,11:35:00,RNR,PRCCL,4
2020-02-26,11:42:00,RNR,PRCCL,102
2020-02-26,11:43:00,RNR,PRCCL,8
2020-02-26,11:44:00,RNR,PRCCL,2
2020-02-26,11:47:00,RNR,PRCCL,7
2020-02-26,11:48:00,RNR,PRCCL,1
2020-02-26,11:49:00,RNR,PRCCL,7
2020-02-26,11:50:00,RNR,PRCCL,2
2020-02-26,11:52:00,RNR,PRCCL,2
2020-02-26,11:53:00,RNR,PRCCL,6
2020-02-26,12:03:00,RNR,PRCCL,4
2020-02-26,12:04:00,RNR,PRCCL,846
2020-02-26,12:05:00,RNR,PRCCL,4
2020-02-26,12:07:00,RNR,PRCCL,105
2020-02-26,12:08:00,RNR,PRCCL,6
2020-02-26,12:09:00,RNR,PRCCL,12
2020-02-26,12:11:00,RNR,PRCCL,36
2020-02-26,12:18:00,RNR,PRCCL,135
2020-02-26,12:36:00,RNR,PRCCL,204
2020-02-26,12:37:00,RNR,PRCCL,3
2020-02-26,13:07:00,RNR,PRCCL,600
2020-02-26,13:08:00,RNR,PRCCL,300
2020-02-26,13:10:00,RNR,PRCCL,300
2020-02-26,13:37:00,RNR,PRCCL,2
2020-02-26,13:44:00,RNR,PRCCL,181
2020-02-26,13:51:00,RNR,PRCCL,80
2020-02-26,14:10:00,RNR,PRCCL,1
2020-02-26,14:14:00,RNR,PRCCL,20
2020-02-26,15:00:00,RNR,PRCCL,251
2020-02-26,16:00:00,RNR,PRCCL,100
2020-02-26,16:02:00,RNR,PRCCL,139
2020-02-26,16:10:00,RNR,PRCCL,100
2020-02-26,18:30:00,RNR,PRCCL,100
2020-02-27,09:30:00,RNR,PRCCL,8600
2020-02-27,09:42:00,RNR,PRCCL,600
2020-02-27,09:43:00,RNR,PRCCL,138
2020-02-27,09:53:00,RNR,PRCCL,398
2020-02-27,10:48:00,RNR,PRCCL,4100
2020-02-27,11:05:00,RNR,PRCCL,100
2020-02-27,11:28:00,RNR,PRCCL,169
2020-02-27,11:59:00,RNR,PRCCL,257
2020-02-27,12:12:00,RNR,PRCCL,1150
2020-02-27,13:03:00,RNR,PRCCL,298
2020-02-27,13:41:00,RNR,PRCCL,127
2020-02-27,13:47:00,RNR,PRCCL,200
2020-02-27,13:56:00,RNR,PRCCL,1545
2020-02-27,14:27:00,RNR,PRCCL,301
2020-02-27,14:28:00,RNR,PRCCL,600
2020-02-27,14:43:00,RNR,PRCCL,6100
2020-02-27,14:45:00,RNR,PRCCL,200
2020-02-27,15:03:00,RNR,PRCCL,48
2020-02-27,15:27:00,RNR,PRCCL,2
2020-02-27,15:46:00,RNR,PRCCL,2
2020-02-27,15:54:00,RNR,PRCCL,948
2020-02-27,15:55:00,RNR,PRCCL,894
2020-02-27,15:56:00,RNR,PRCCL,1
2020-02-27,16:00:00,RNR,PRCCL,5100
2020-02-27,16:01:00,RNR,PRCCL,500
2020-02-27,16:10:00,RNR,PRCCL,500
2020-02-27,18:30:00,RNR,PRCCL,100
2020-02-28,09:30:00,RNR,PRCCL,16000
2020-02-28,09:52:00,RNR,PRCCL,45
2020-02-28,09:56:00,RNR,PRCCL,1
2020-02-28,09:57:00,RNR,PRCCL,1
2020-02-28,09:58:00,RNR,PRCCL,1
2020-02-28,10:06:00,RNR,PRCCL,701
2020-02-28,10:23:00,RNR,PRCCL,231
2020-02-28,10:29:00,RNR,PRCCL,800
2020-02-28,10:32:00,RNR,PRCCL,45
2020-02-28,10:42:00,RNR,PRCCL,180
2020-02-28,10:55:00,RNR,PRCCL,25
2020-02-28,10:56:00,RNR,PRCCL,25
2020-02-28,11:00:00,RNR,PRCCL,50
2020-02-28,11:05:00,RNR,PRCCL,317
2020-02-28,11:07:00,RNR,PRCCL,3
2020-02-28,11:09:00,RNR,PRCCL,1
2020-02-28,11:36:00,RNR,PRCCL,2000
2020-02-28,11:37:00,RNR,PRCCL,400
2020-02-28,11:53:00,RNR,PRCCL,2
2020-02-28,11:54:00,RNR,PRCCL,2
2020-02-28,11:55:00,RNR,PRCCL,4
2020-02-28,11:56:00,RNR,PRCCL,2
2020-02-28,11:57:00,RNR,PRCCL,591
2020-02-28,13:50:00,RNR,PRCCL,300
2020-02-28,13:53:00,RNR,PRCCL,268
2020-02-28,14:05:00,RNR,PRCCL,1900
2020-02-28,14:17:00,RNR,PRCCL,4704
2020-02-28,14:19:00,RNR,PRCCL,576
2020-02-28,14:27:00,RNR,PRCCL,40
2020-02-28,14:29:00,RNR,PRCCL,2059
2020-02-28,14:37:00,RNR,PRCCL,14
2020-02-28,15:05:00,RNR,PRCCL,4
2020-02-28,15:15:00,RNR,PRCCL,495
2020-02-28,15:29:00,RNR,PRCCL,2
2020-02-28,15:30:00,RNR,PRCCL,225
2020-02-28,15:34:00,RNR,PRCCL,5
2020-02-28,15:35:00,RNR,PRCCL,226
2020-02-28,15:43:00,RNR,PRCCL,400
2020-02-28,15:48:00,RNR,PRCCL,90
2020-02-28,15:56:00,RNR,PRCCL,400
2020-02-28,15:57:00,RNR,PRCCL,100
2020-02-28,15:59:00,RNR,PRCCL,100
2020-02-28,16:00:00,RNR,PRCCL,200
2020-02-28,16:03:00,RNR,PRCCL,3060
