date,time,sym_root,sym_suffix,size
2019-01-02,09:55:00,STAR,PRI,100
2019-01-02,10:02:00,STAR,PRI,60
2019-01-02,10:06:00,STAR,PRI,450
2019-01-02,10:09:00,STAR,PRI,1400
2019-01-02,10:54:00,STAR,PRI,72
2019-01-02,12:56:00,STAR,PRI,100
2019-01-02,14:16:00,STAR,PRI,100
2019-01-02,14:17:00,STAR,PRI,100
2019-01-02,14:19:00,STAR,PRI,2000
2019-01-02,14:27:00,STAR,PRI,7251
2019-01-02,14:28:00,STAR,PRI,1600
2019-01-02,14:30:00,STAR,PRI,200
2019-01-02,15:16:00,STAR,PRI,100
2019-01-02,15:29:00,STAR,PRI,300
2019-01-02,15:30:00,STAR,PRI,100
2019-01-02,15:41:00,STAR,PRI,100
2019-01-02,15:49:00,STAR,PRI,200
2019-01-02,15:54:00,STAR,PRI,100
2019-01-02,15:58:00,STAR,PRI,100
2019-01-02,15:59:00,STAR,PRI,100
2019-01-02,16:00:00,STAR,PRI,100
2019-01-02,16:45:00,STAR,PRI,100
2019-01-03,10:39:00,STAR,PRI,60
2019-01-03,10:49:00,STAR,PRI,100
2019-01-03,11:31:00,STAR,PRI,300
2019-01-03,11:48:00,STAR,PRI,46
2019-01-03,12:09:00,STAR,PRI,181
2019-01-03,12:33:00,STAR,PRI,100
2019-01-03,12:38:00,STAR,PRI,300
2019-01-03,12:50:00,STAR,PRI,500
2019-01-03,13:21:00,STAR,PRI,600
2019-01-03,13:22:00,STAR,PRI,400
2019-01-03,13:56:00,STAR,PRI,219
2019-01-03,14:05:00,STAR,PRI,110
2019-01-03,14:15:00,STAR,PRI,97
2019-01-03,14:22:00,STAR,PRI,208
2019-01-03,14:26:00,STAR,PRI,300
2019-01-03,15:24:00,STAR,PRI,200
2019-01-03,15:26:00,STAR,PRI,300
2019-01-03,15:27:00,STAR,PRI,200
2019-01-03,15:29:00,STAR,PRI,143
2019-01-03,15:30:00,STAR,PRI,257
2019-01-03,15:31:00,STAR,PRI,400
2019-01-03,15:33:00,STAR,PRI,500
2019-01-03,15:34:00,STAR,PRI,200
2019-01-03,15:35:00,STAR,PRI,300
2019-01-03,15:36:00,STAR,PRI,300
2019-01-03,15:38:00,STAR,PRI,200
2019-01-03,15:44:00,STAR,PRI,40
2019-01-03,15:45:00,STAR,PRI,150
2019-01-03,15:48:00,STAR,PRI,200
2019-01-03,16:00:00,STAR,PRI,100
2019-01-03,16:02:00,STAR,PRI,100
2019-01-04,10:59:00,STAR,PRI,105
2019-01-04,11:02:00,STAR,PRI,90
2019-01-04,11:08:00,STAR,PRI,200
2019-01-04,12:16:00,STAR,PRI,25
2019-01-04,13:02:00,STAR,PRI,200
2019-01-04,13:12:00,STAR,PRI,200
2019-01-04,13:33:00,STAR,PRI,102
2019-01-04,13:45:00,STAR,PRI,100
2019-01-04,13:53:00,STAR,PRI,300
2019-01-04,15:46:00,STAR,PRI,200
2019-01-04,16:00:00,STAR,PRI,200
2019-01-04,16:02:00,STAR,PRI,100
2019-01-07,09:30:00,STAR,PRI,100
2019-01-07,09:32:00,STAR,PRI,100
2019-01-07,09:42:00,STAR,PRI,300
2019-01-07,09:43:00,STAR,PRI,300
2019-01-07,09:53:00,STAR,PRI,560
2019-01-07,09:54:00,STAR,PRI,700
2019-01-07,11:14:00,STAR,PRI,200
2019-01-07,11:15:00,STAR,PRI,700
2019-01-07,11:16:00,STAR,PRI,960
2019-01-07,11:18:00,STAR,PRI,20
2019-01-07,11:21:00,STAR,PRI,1800
2019-01-07,11:22:00,STAR,PRI,900
2019-01-07,11:24:00,STAR,PRI,200
2019-01-07,11:28:00,STAR,PRI,1000
2019-01-07,12:11:00,STAR,PRI,300
2019-01-07,12:14:00,STAR,PRI,500
2019-01-07,12:25:00,STAR,PRI,400
2019-01-07,13:08:00,STAR,PRI,100
2019-01-07,13:50:00,STAR,PRI,100
2019-01-07,14:42:00,STAR,PRI,400
2019-01-07,14:43:00,STAR,PRI,200
2019-01-07,14:44:00,STAR,PRI,200
2019-01-07,14:45:00,STAR,PRI,200
2019-01-07,14:46:00,STAR,PRI,300
2019-01-07,14:48:00,STAR,PRI,300
2019-01-07,14:49:00,STAR,PRI,300
2019-01-07,14:50:00,STAR,PRI,300
2019-01-07,14:51:00,STAR,PRI,600
2019-01-07,14:53:00,STAR,PRI,50
2019-01-07,15:02:00,STAR,PRI,2346
2019-01-07,15:10:00,STAR,PRI,76
2019-01-07,15:27:00,STAR,PRI,88
2019-01-07,15:36:00,STAR,PRI,100
2019-01-07,15:48:00,STAR,PRI,100
2019-01-07,15:59:00,STAR,PRI,100
2019-01-07,16:00:00,STAR,PRI,163
2019-01-07,16:02:00,STAR,PRI,100
2019-01-08,10:36:00,STAR,PRI,300
2019-01-08,10:40:00,STAR,PRI,100
2019-01-08,10:41:00,STAR,PRI,200
2019-01-08,10:48:00,STAR,PRI,125
2019-01-08,10:50:00,STAR,PRI,400
2019-01-08,11:46:00,STAR,PRI,435
2019-01-08,11:47:00,STAR,PRI,1300
2019-01-08,12:38:00,STAR,PRI,400
2019-01-08,13:02:00,STAR,PRI,400
2019-01-08,13:40:00,STAR,PRI,200
2019-01-08,13:51:00,STAR,PRI,112
2019-01-08,14:30:00,STAR,PRI,112
2019-01-08,14:48:00,STAR,PRI,56
2019-01-08,14:58:00,STAR,PRI,200
2019-01-08,15:02:00,STAR,PRI,964
2019-01-08,15:23:00,STAR,PRI,100
2019-01-08,15:27:00,STAR,PRI,112
2019-01-08,15:39:00,STAR,PRI,400
2019-01-08,15:40:00,STAR,PRI,100
2019-01-08,15:51:00,STAR,PRI,168
2019-01-08,15:59:00,STAR,PRI,100
2019-01-08,16:00:00,STAR,PRI,100
2019-01-08,16:02:00,STAR,PRI,100
2019-01-09,11:31:00,STAR,PRI,100
2019-01-09,12:11:00,STAR,PRI,200
2019-01-09,13:19:00,STAR,PRI,126
2019-01-09,14:42:00,STAR,PRI,574
2019-01-09,15:03:00,STAR,PRI,94
2019-01-09,15:16:00,STAR,PRI,100
2019-01-09,15:28:00,STAR,PRI,225
2019-01-09,15:44:00,STAR,PRI,99
2019-01-09,15:55:00,STAR,PRI,113
2019-01-09,16:00:00,STAR,PRI,113
2019-01-09,16:02:00,STAR,PRI,100
2019-01-10,09:40:00,STAR,PRI,450
2019-01-10,10:35:00,STAR,PRI,200
2019-01-10,10:57:00,STAR,PRI,1600
2019-01-10,11:02:00,STAR,PRI,400
2019-01-10,11:14:00,STAR,PRI,800
2019-01-10,15:06:00,STAR,PRI,300
2019-01-10,15:13:00,STAR,PRI,400
2019-01-10,16:00:00,STAR,PRI,400
2019-01-10,16:02:00,STAR,PRI,200
2019-01-11,13:44:00,STAR,PRI,200
2019-01-11,14:00:00,STAR,PRI,1200
2019-01-11,14:20:00,STAR,PRI,100
2019-01-11,15:13:00,STAR,PRI,17
2019-01-11,15:52:00,STAR,PRI,400
2019-01-11,15:59:00,STAR,PRI,100
2019-01-11,16:00:00,STAR,PRI,100
2019-01-11,16:02:00,STAR,PRI,100
2019-01-14,10:13:00,STAR,PRI,100
2019-01-14,11:19:00,STAR,PRI,1200
2019-01-14,13:51:00,STAR,PRI,200
2019-01-14,13:59:00,STAR,PRI,200
2019-01-14,15:19:00,STAR,PRI,500
2019-01-14,15:50:00,STAR,PRI,1700
2019-01-14,15:52:00,STAR,PRI,200
2019-01-14,15:59:00,STAR,PRI,100
2019-01-14,16:00:00,STAR,PRI,183
2019-01-14,16:02:00,STAR,PRI,100
2019-01-15,09:30:00,STAR,PRI,1
2019-01-15,10:38:00,STAR,PRI,100
2019-01-15,10:46:00,STAR,PRI,200
2019-01-15,12:08:00,STAR,PRI,200
2019-01-15,12:39:00,STAR,PRI,1515
2019-01-15,12:48:00,STAR,PRI,1100
2019-01-15,12:52:00,STAR,PRI,616
2019-01-15,13:04:00,STAR,PRI,408
2019-01-15,14:04:00,STAR,PRI,100
2019-01-15,14:29:00,STAR,PRI,874
2019-01-15,14:51:00,STAR,PRI,2000
2019-01-15,15:01:00,STAR,PRI,500
2019-01-15,15:02:00,STAR,PRI,1865
2019-01-15,15:03:00,STAR,PRI,165
2019-01-15,15:06:00,STAR,PRI,200
2019-01-15,15:24:00,STAR,PRI,100
2019-01-15,15:33:00,STAR,PRI,100
2019-01-15,15:59:00,STAR,PRI,100
2019-01-15,16:00:00,STAR,PRI,100
2019-01-15,16:02:00,STAR,PRI,100
2019-01-16,11:16:00,STAR,PRI,97
2019-01-16,11:43:00,STAR,PRI,10
2019-01-16,12:40:00,STAR,PRI,100
2019-01-16,15:55:00,STAR,PRI,100
2019-01-16,16:00:00,STAR,PRI,100
2019-01-16,16:02:00,STAR,PRI,100
2019-01-17,10:25:00,STAR,PRI,212
2019-01-17,11:15:00,STAR,PRI,90
2019-01-17,11:24:00,STAR,PRI,100
2019-01-17,12:13:00,STAR,PRI,400
2019-01-17,13:56:00,STAR,PRI,575
2019-01-17,15:51:00,STAR,PRI,100
2019-01-17,16:00:00,STAR,PRI,100
2019-01-18,10:28:00,STAR,PRI,300
2019-01-18,16:00:00,STAR,PRI,300
2019-01-22,09:30:00,STAR,PRI,500
2019-01-22,09:45:00,STAR,PRI,100
2019-01-22,10:56:00,STAR,PRI,100
2019-01-22,11:48:00,STAR,PRI,100
2019-01-22,12:18:00,STAR,PRI,468
2019-01-22,13:33:00,STAR,PRI,300
2019-01-22,14:41:00,STAR,PRI,400
2019-01-22,14:48:00,STAR,PRI,100
2019-01-22,14:58:00,STAR,PRI,600
2019-01-22,16:00:00,STAR,PRI,200
2019-01-22,16:02:00,STAR,PRI,200
2019-01-23,09:30:00,STAR,PRI,525
2019-01-23,11:14:00,STAR,PRI,980
2019-01-23,11:22:00,STAR,PRI,5117
2019-01-23,11:23:00,STAR,PRI,758
2019-01-23,11:25:00,STAR,PRI,200
2019-01-23,11:32:00,STAR,PRI,2642
2019-01-23,11:37:00,STAR,PRI,2500
2019-01-23,11:38:00,STAR,PRI,544
2019-01-23,11:40:00,STAR,PRI,1956
2019-01-23,11:50:00,STAR,PRI,800
2019-01-23,15:57:00,STAR,PRI,300
2019-01-23,16:00:00,STAR,PRI,321
2019-01-23,16:02:00,STAR,PRI,600
2019-01-24,12:38:00,STAR,PRI,35
2019-01-24,15:32:00,STAR,PRI,97
2019-01-24,15:33:00,STAR,PRI,61
2019-01-25,09:58:00,STAR,PRI,2000
2019-01-25,10:52:00,STAR,PRI,500
2019-01-25,12:07:00,STAR,PRI,100
2019-01-25,14:05:00,STAR,PRI,200
2019-01-25,14:13:00,STAR,PRI,300
2019-01-25,14:20:00,STAR,PRI,100
2019-01-25,14:22:00,STAR,PRI,200
2019-01-25,14:25:00,STAR,PRI,200
2019-01-25,15:05:00,STAR,PRI,100
2019-01-25,15:30:00,STAR,PRI,75
2019-01-25,15:40:00,STAR,PRI,700
2019-01-25,15:41:00,STAR,PRI,18
2019-01-25,16:00:00,STAR,PRI,100
2019-01-25,16:02:00,STAR,PRI,100
2019-01-28,10:28:00,STAR,PRI,33
2019-01-28,10:49:00,STAR,PRI,3600
2019-01-28,10:50:00,STAR,PRI,2000
2019-01-28,10:51:00,STAR,PRI,1650
2019-01-28,10:53:00,STAR,PRI,3671
2019-01-28,11:24:00,STAR,PRI,500
2019-01-28,11:30:00,STAR,PRI,101
2019-01-28,11:56:00,STAR,PRI,500
2019-01-28,12:01:00,STAR,PRI,706
2019-01-28,12:06:00,STAR,PRI,388
2019-01-28,12:15:00,STAR,PRI,194
2019-01-28,12:17:00,STAR,PRI,100
2019-01-28,12:20:00,STAR,PRI,300
2019-01-28,12:21:00,STAR,PRI,99
2019-01-28,12:22:00,STAR,PRI,1200
2019-01-28,12:23:00,STAR,PRI,600
2019-01-28,12:24:00,STAR,PRI,1100
2019-01-28,12:49:00,STAR,PRI,500
2019-01-28,12:53:00,STAR,PRI,300
2019-01-28,12:55:00,STAR,PRI,100
2019-01-28,12:58:00,STAR,PRI,100
2019-01-28,13:01:00,STAR,PRI,21
2019-01-28,13:25:00,STAR,PRI,79
2019-01-28,13:30:00,STAR,PRI,21
2019-01-28,13:35:00,STAR,PRI,1106
2019-01-28,13:37:00,STAR,PRI,73
2019-01-28,13:53:00,STAR,PRI,100
2019-01-28,13:55:00,STAR,PRI,27
2019-01-28,13:57:00,STAR,PRI,99
2019-01-28,14:08:00,STAR,PRI,100
2019-01-28,14:26:00,STAR,PRI,100
2019-01-28,14:30:00,STAR,PRI,100
2019-01-28,14:34:00,STAR,PRI,300
2019-01-28,14:54:00,STAR,PRI,73
2019-01-28,14:55:00,STAR,PRI,338
2019-01-28,15:11:00,STAR,PRI,1575
2019-01-28,15:16:00,STAR,PRI,100
2019-01-28,15:49:00,STAR,PRI,112
2019-01-28,15:54:00,STAR,PRI,46
2019-01-28,15:58:00,STAR,PRI,79
2019-01-28,15:59:00,STAR,PRI,160
2019-01-28,16:00:00,STAR,PRI,103
2019-01-28,16:02:00,STAR,PRI,100
2019-01-29,09:38:00,STAR,PRI,40
2019-01-29,10:35:00,STAR,PRI,59
2019-01-29,12:14:00,STAR,PRI,29
2019-01-29,12:27:00,STAR,PRI,560
2019-01-29,12:53:00,STAR,PRI,236
2019-01-29,14:15:00,STAR,PRI,100
2019-01-29,14:38:00,STAR,PRI,100
2019-01-29,14:59:00,STAR,PRI,200
2019-01-29,15:00:00,STAR,PRI,200
2019-01-29,15:07:00,STAR,PRI,100
2019-01-29,15:11:00,STAR,PRI,300
2019-01-29,15:12:00,STAR,PRI,300
2019-01-29,15:22:00,STAR,PRI,19
2019-01-29,15:27:00,STAR,PRI,19
2019-01-29,15:32:00,STAR,PRI,183
2019-01-29,15:52:00,STAR,PRI,17
2019-01-29,15:53:00,STAR,PRI,1183
2019-01-29,15:59:00,STAR,PRI,100
2019-01-29,16:00:00,STAR,PRI,100
2019-01-29,16:02:00,STAR,PRI,100
2019-01-30,09:47:00,STAR,PRI,600
2019-01-30,11:09:00,STAR,PRI,400
2019-01-30,11:10:00,STAR,PRI,100
2019-01-30,11:17:00,STAR,PRI,100
2019-01-30,12:18:00,STAR,PRI,650
2019-01-30,15:07:00,STAR,PRI,100
2019-01-30,15:20:00,STAR,PRI,300
2019-01-30,15:23:00,STAR,PRI,450
2019-01-30,15:37:00,STAR,PRI,700
