date,time,sym_root,sym_suffix,size
2019-10-21,09:53:00,YCBD,PRA,4000
2019-10-21,09:54:00,YCBD,PRA,200
2019-10-21,09:55:00,YCBD,PRA,6100
2019-10-21,09:56:00,YCBD,PRA,1000
2019-10-21,10:00:00,YCBD,PRA,600
2019-10-21,10:16:00,YCBD,PRA,100
2019-10-21,10:21:00,YCBD,PRA,500
2019-10-21,10:34:00,YCBD,PRA,1300
2019-10-21,10:39:00,YCBD,PRA,400
2019-10-21,10:41:00,YCBD,PRA,6500
2019-10-21,10:43:00,YCBD,PRA,2000
2019-10-21,10:46:00,YCBD,PRA,2000
2019-10-21,10:48:00,YCBD,PRA,100
2019-10-21,11:22:00,YCBD,PRA,200
2019-10-21,11:23:00,YCBD,PRA,100
2019-10-21,11:25:00,YCBD,PRA,100
2019-10-21,12:30:00,YCBD,PRA,1000
2019-10-21,12:36:00,YCBD,PRA,100
2019-10-21,13:13:00,YCBD,PRA,400
2019-10-21,14:22:00,YCBD,PRA,2500
2019-10-21,14:23:00,YCBD,PRA,1198
2019-10-21,14:25:00,YCBD,PRA,2500
2019-10-21,14:26:00,YCBD,PRA,400
2019-10-21,14:33:00,YCBD,PRA,400
2019-10-21,14:34:00,YCBD,PRA,3500
2019-10-21,14:35:00,YCBD,PRA,2
2019-10-21,14:43:00,YCBD,PRA,1100
2019-10-21,15:16:00,YCBD,PRA,400
2019-10-21,15:57:00,YCBD,PRA,200
2019-10-21,16:00:00,YCBD,PRA,1000
2019-10-21,16:10:00,YCBD,PRA,100
2019-10-21,18:30:00,YCBD,PRA,100
2019-10-21,20:00:00,YCBD,PRA,100
2019-10-22,09:31:00,YCBD,PRA,200
2019-10-22,09:33:00,YCBD,PRA,2089
2019-10-22,09:34:00,YCBD,PRA,80
2019-10-22,09:39:00,YCBD,PRA,400
2019-10-22,09:46:00,YCBD,PRA,198
2019-10-22,09:48:00,YCBD,PRA,5103
2019-10-22,10:09:00,YCBD,PRA,300
2019-10-22,10:22:00,YCBD,PRA,15
2019-10-22,12:05:00,YCBD,PRA,25
2019-10-22,12:51:00,YCBD,PRA,500
2019-10-22,12:52:00,YCBD,PRA,500
2019-10-22,13:20:00,YCBD,PRA,400
2019-10-22,13:36:00,YCBD,PRA,10
2019-10-22,13:51:00,YCBD,PRA,35
2019-10-22,14:12:00,YCBD,PRA,50
2019-10-22,14:22:00,YCBD,PRA,100
2019-10-22,14:29:00,YCBD,PRA,2000
2019-10-22,15:33:00,YCBD,PRA,1000
2019-10-22,15:38:00,YCBD,PRA,100
2019-10-22,15:47:00,YCBD,PRA,1100
2019-10-22,15:48:00,YCBD,PRA,3000
2019-10-22,15:49:00,YCBD,PRA,1500
2019-10-22,15:50:00,YCBD,PRA,730
2019-10-22,15:51:00,YCBD,PRA,325
2019-10-22,15:56:00,YCBD,PRA,875
2019-10-22,16:00:00,YCBD,PRA,575
2019-10-22,16:10:00,YCBD,PRA,100
2019-10-22,18:30:00,YCBD,PRA,100
2019-10-22,20:00:00,YCBD,PRA,100
2019-10-23,07:29:00,YCBD,PRA,2
2019-10-23,09:24:00,YCBD,PRA,1
2019-10-23,09:30:00,YCBD,PRA,1978
2019-10-23,09:41:00,YCBD,PRA,2000
2019-10-23,09:42:00,YCBD,PRA,104
2019-10-23,09:44:00,YCBD,PRA,900
2019-10-23,10:11:00,YCBD,PRA,100
2019-10-23,10:22:00,YCBD,PRA,200
2019-10-23,10:36:00,YCBD,PRA,1
2019-10-23,10:39:00,YCBD,PRA,24
2019-10-23,10:47:00,YCBD,PRA,3
2019-10-23,10:50:00,YCBD,PRA,1
2019-10-23,10:57:00,YCBD,PRA,1000
2019-10-23,10:59:00,YCBD,PRA,1000
2019-10-23,11:19:00,YCBD,PRA,208
2019-10-23,11:28:00,YCBD,PRA,1
2019-10-23,11:50:00,YCBD,PRA,100
2019-10-23,11:51:00,YCBD,PRA,101
2019-10-23,11:57:00,YCBD,PRA,400
2019-10-23,12:08:00,YCBD,PRA,208
2019-10-23,12:09:00,YCBD,PRA,100
2019-10-23,13:05:00,YCBD,PRA,10
2019-10-23,14:17:00,YCBD,PRA,100
2019-10-23,14:43:00,YCBD,PRA,150
2019-10-23,14:48:00,YCBD,PRA,1
2019-10-23,15:04:00,YCBD,PRA,200
2019-10-23,15:11:00,YCBD,PRA,3000
2019-10-23,15:13:00,YCBD,PRA,2000
2019-10-23,16:00:00,YCBD,PRA,4050
2019-10-23,16:10:00,YCBD,PRA,2000
2019-10-23,18:30:00,YCBD,PRA,100
2019-10-23,20:00:00,YCBD,PRA,100
2019-10-24,09:38:00,YCBD,PRA,1220
2019-10-24,09:50:00,YCBD,PRA,680
2019-10-24,10:39:00,YCBD,PRA,200
2019-10-24,12:08:00,YCBD,PRA,10
2019-10-24,12:17:00,YCBD,PRA,1
2019-10-24,12:50:00,YCBD,PRA,150
2019-10-24,14:47:00,YCBD,PRA,100
2019-10-24,16:00:00,YCBD,PRA,300
2019-10-24,16:10:00,YCBD,PRA,100
2019-10-24,18:30:00,YCBD,PRA,100
