,2021-09-02,2021-09-03,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-20,2021-09-21,2021-09-22,2021-09-23,2021-09-24,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-01,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-22,2021-11-23,2021-11-24,2021-11-26,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31
09:46:00,inf,inf,11.0,0.6470588235294118,inf,inf,0.948936170212766,inf,inf,inf,0.75,inf,inf,inf,inf,inf,4.0,3.0,inf,inf,0.08333333333333333,inf,inf,inf,inf,inf,inf,inf,8.0,inf,inf,inf,9.0,inf,inf,inf,inf,7.0,inf,inf,inf,inf,0.36363636363636365,inf,inf,inf,inf,inf,inf,inf,inf,inf,10.0,11.0,inf,inf,inf,inf,inf,inf,inf,inf,7.0,inf,0.9122807017543859,inf,inf,inf,inf,inf,inf,inf,inf,0.72,inf,14.0,inf,inf,inf,inf,inf,inf,inf,inf
09:47:00,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.8,inf,inf,9.0,inf,inf,0.18181818181818182,inf,inf,inf,inf,inf,inf,inf,inf,inf,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,7.0,inf,9.0,inf,inf,inf,inf,inf,inf,2.5,inf,0.7,6.0,inf,0.9024390243902439,inf,inf,1.5,inf,inf,inf,inf,inf,0.76,1.75,inf,inf,inf,inf,inf,inf,inf,inf,inf
09:48:00,inf,inf,inf,inf,0.2857142857142857,12.0,inf,inf,inf,inf,inf,inf,12.0,inf,inf,inf,7.0,inf,inf,inf,inf,inf,inf,inf,4.0,inf,inf,inf,inf,inf,0.3333333333333333,8.0,inf,inf,inf,inf,inf,inf,inf,inf,5.0,inf,4.0,inf,inf,inf,inf,inf,inf,5.0,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,2.0,inf,inf,2.0,inf,inf,inf,inf,0.3333333333333333,2.0,inf,0.14285714285714285,0.8333333333333334,0.7419354838709677,11.0,inf,inf,inf,inf,0.9845094664371773,0.42857142857142855,inf,inf
09:49:00,inf,inf,6.0,inf,inf,inf,inf,inf,0.75,inf,inf,inf,inf,0.1,inf,inf,inf,inf,inf,inf,0.42857142857142855,inf,inf,inf,0.3333333333333333,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.9877450980392157,inf,5.0,inf,inf,0.9459459459459459,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,0.7857142857142857,2.0,0.8421052631578947,inf,0.2,inf,inf,0.5,inf,inf,8.0,inf,inf,inf,inf
09:50:00,inf,inf,inf,0.13333333333333333,inf,0.961764705882353,2.5,inf,0.5,inf,inf,inf,inf,11.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.5,inf,inf,inf,inf,0.896551724137931,inf,0.65,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.0,inf,2.0,2.0,0.7647058823529411,0.9651162790697675,inf,inf,2.0,inf,inf,inf,2.75,inf,inf,inf,inf,inf,inf
09:51:00,7.0,9.0,0.9591078066914498,inf,inf,inf,inf,inf,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.3333333333333333,inf,inf,0.7872340425531915,0.5714285714285714,inf,inf,1.4,inf,inf,inf,inf,3.5,1.5,inf,0.4444444444444444,inf,inf,inf,inf,inf,inf,inf,9.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,8.0,inf,inf,inf,inf,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.0,inf,0.7777777777777778,0.16666666666666666,inf,inf,inf,inf,0.1,inf,10.0,inf,inf,inf,0.7560975609756098,inf,inf,inf
09:52:00,inf,inf,0.7333333333333333,inf,16.0,inf,inf,inf,inf,3.5,inf,19.0,inf,13.0,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,8.5,inf,inf,9.0,13.0,inf,inf,inf,inf,inf,inf,inf,0.75,inf,inf,inf,inf,inf,inf,inf,inf,inf,10.0,inf,9.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.9615384615384616,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
09:53:00,inf,inf,0.9358288770053476,inf,inf,inf,inf,inf,inf,0.0,inf,5.666666666666667,inf,inf,inf,0.09090909090909091,inf,inf,inf,inf,3.3333333333333335,inf,12.0,inf,2.6666666666666665,inf,inf,0.9633333333333334,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5.5,inf,inf,inf,inf,inf,inf,inf,7.0,inf,inf,0.68,inf,4.0,inf,inf,inf,1.3333333333333333,inf,inf,inf,inf,inf,4.333333333333333,inf,inf,14.0,inf,inf,inf,inf,inf
09:54:00,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.3181818181818182,inf,inf,inf,inf,inf,inf,0.7636363636363637,0.75,inf,inf,inf,inf,inf,0.9720930232558139,inf,inf,21.0,0.5,inf,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,7.0,inf,inf,0.88,inf,inf,inf,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.9,inf,inf,inf,inf,inf,inf
09:55:00,9.0,inf,inf,inf,inf,0.06666666666666667,inf,inf,inf,9.0,inf,20.0,inf,0.0,inf,inf,0.5714285714285714,0.9982262514781237,0.4166666666666667,inf,inf,inf,6.0,0.6666666666666666,inf,inf,inf,inf,10.0,6.0,inf,inf,inf,inf,inf,12.0,inf,4.0,inf,inf,10.0,inf,inf,inf,inf,inf,14.0,inf,0.42857142857142855,inf,10.0,0.29411764705882354,inf,14.0,inf,inf,inf,inf,inf,0.16666666666666666,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
