,2021-09-02,2021-09-03,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-20,2021-09-21,2021-09-22,2021-09-23,2021-09-24,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-01,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-22,2021-11-23,2021-11-24,2021-11-26,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31
09:46:00,inf,inf,inf,inf,9.0,inf,inf,7.0,8.0,inf,inf,inf,inf,4.0,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,0.0,inf,inf,0.0,inf,0.75,0.0,inf,inf,0.8,0.0,inf,inf,inf,0.5,0.0,1.0,inf,inf,inf,inf,inf,0.6666666666666666,2.0,inf,inf,0.0,inf,inf,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,0.0,0.6,inf,1.0,inf,1.0,inf,1.0,inf,inf,0.0,0.0,inf,inf,inf,0.5454545454545454,1.0
09:47:00,inf,inf,inf,inf,inf,inf,inf,0.91,0.9,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,0.0,inf,inf,0.0,inf,inf,inf,0.0,inf,inf,inf,inf,inf,0.6,0.0,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,0.0,inf,0.0,inf,0.0,1.0,2.0,inf,inf,0.0,inf,0.8,inf,0.96,0.0,inf,inf,inf,0.0,5.0,inf,inf,inf,inf,0.0,inf,inf,inf
09:48:00,inf,inf,4.0,inf,inf,inf,inf,inf,inf,0.9918918918918919,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.9814814814814815,inf,inf,inf,inf,0.0,0.0,inf,inf,0.96875,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.6666666666666666,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
09:49:00,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.5,inf,inf,inf,inf,0.0,0.0,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,4.0,inf,inf,0.6666666666666666,inf,inf,inf,inf,inf,0.875,3.0,inf,1.0,4.0,0.984,inf,inf,2.0,inf,inf,inf,inf
09:50:00,3.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.79,inf,inf,9.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.8666666666666667,inf,inf,inf,inf,inf,inf,inf,inf,0.5,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.8333333333333334,0.8,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,0.9805194805194806,3.0,inf,1.3333333333333333,inf,inf
09:51:00,inf,inf,0.4166666666666667,inf,8.0,inf,inf,9.0,8.0,inf,inf,0.9900166389351082,15.0,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,0.0,0.0,inf,inf,inf,inf,inf,0.98,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,0.7777777777777778,3.0,inf,0.3333333333333333,inf,inf,inf,inf,inf,0.99,inf,inf,inf
09:52:00,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5.333333333333333,inf,inf,9.0,inf,inf,inf,inf,0.1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,0.0,0.0,inf,0.6,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.5,inf,inf,inf,inf,inf,inf,inf,2.0,5.0,inf,inf,inf,inf,inf,inf,inf,3.0
09:53:00,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.87,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.0,inf,0.0,inf,inf,0.75,inf,inf,inf,0.0,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,1.0,inf,inf,inf,0.0,1.5,inf,inf,1.0,inf,inf,inf,inf,1.0,inf,inf,inf,2.0,0.5384615384615384,inf,inf,inf,inf,0.994,inf,inf,inf
09:54:00,inf,0.7,inf,inf,inf,inf,inf,0.9833333333333333,0.89,0.84,12.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.5,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.5,inf,0.5,inf,inf,inf,inf,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
09:55:00,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.73,inf,inf,inf,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,0.9897959183673469,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.0,0.6666666666666666,inf,inf,inf,inf,0.992,inf,inf,inf
09:56:00,inf,inf,inf,inf,inf,inf,inf,inf,0.1,14.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.75,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.8,inf,inf,inf,0.9692307692307692,inf,inf,inf,1.0,inf,0.7272727272727273,inf,inf,1.5,inf,3.0,inf,inf,inf,inf,inf,inf
09:57:00,inf,inf,inf,inf,0.8333333333333334,inf,inf,9.0,inf,inf,inf,inf,inf,10.0,inf,8.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,0.5,inf,inf,inf,inf,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.9545454545454546,inf,inf,0.0,0.8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
09:58:00,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,8.0,inf,inf,inf,inf,1.2,inf,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,0.0,0.0,inf,inf,0.0,inf,inf,inf,inf,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,2.0,inf,inf,0.2,inf,inf,inf,inf,inf,1.5,0.5,inf,inf,inf,inf,0.5,inf,inf,inf
