,2021-09-02,2021-09-03,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-20,2021-09-21,2021-09-22,2021-09-23,2021-09-24,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-01,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-22,2021-11-23,2021-11-24,2021-11-26,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31
09:46:00,inf,inf,inf,13.0,inf,inf,0.0,inf,inf,79.0,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf,201.0,inf,inf,inf,inf,254.0,inf,inf,inf,5.0,inf,5.333333333333333,inf,inf,2.17,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,1.0,inf
09:47:00,inf,inf,inf,inf,inf,inf,inf,0.8620689655172413,inf,inf,42.5,inf,inf,inf,inf,inf,0.795,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.8333333333333334,0.98,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.0,inf,inf,inf,44.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
09:48:00,inf,inf,inf,inf,inf,53.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,1.0212121212121212,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.0,inf,inf,inf,5.0,inf,inf,inf,inf,inf,inf,51.0,inf,inf,inf,inf,inf,inf,inf,33.0,inf,inf,inf,inf,inf,inf,inf,inf,0.6,inf,inf,8.0,inf,inf,inf,inf,inf,26.0,inf,60.0,inf,inf,inf,inf,inf,93.0
09:49:00,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,0.0,inf,5.0,inf,inf,inf,inf,1.024822695035461,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.9826732673267327,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.025,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4.428571428571429,inf,inf,inf,6.75,inf,43.0,251.0,inf,inf,inf,0.3170731707317073,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
09:50:00,inf,350.0,inf,17.0,inf,inf,inf,inf,inf,inf,inf,394.0,1.0,inf,0.5893536121673004,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4.8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,81.0,0.35714285714285715,inf,inf,0.08247422680412371,inf,inf,0.7058823529411765,inf,inf,inf,inf,inf,inf,inf,inf,35.0,inf,inf,inf,inf
09:51:00,inf,inf,inf,inf,0.0,inf,7.0,27.0,inf,6.769230769230769,inf,0.0,inf,inf,0.5720930232558139,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,5.4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.75,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4.5,0.4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.0277777777777777,inf
09:52:00,inf,inf,2.5,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.7543352601156069,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,0.0,inf,inf,24.0,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,3.6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.5490196078431373,inf,inf,inf,inf,inf,inf,0.9971014492753624,14.0
09:53:00,inf,16.1,inf,inf,inf,inf,inf,inf,inf,inf,37.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,55.0,inf,inf,0.0,inf,1.1885964912280702,inf,inf,inf,inf,12.0,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,2.2857142857142856,inf,0.5387323943661971,25.0,inf,inf,inf,inf,inf
09:54:00,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.00625,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,0.0,inf,inf,0.21739130434782608,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,6.411764705882353,inf,inf,inf,inf,inf,inf
09:55:00,inf,0.0,inf,inf,inf,inf,inf,inf,inf,55.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,0.0,inf,0.0,inf,inf,inf,0.9951076320939335,inf,0.0,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.05,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
