,2021-09-02,2021-09-03,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-20,2021-09-21,2021-09-22,2021-09-23,2021-09-24,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-01,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-22,2021-11-23,2021-11-24,2021-11-26,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31
09:46:00,inf,inf,86.0,0.6078431372549019,inf,inf,0.8680851063829788,inf,inf,inf,5.0,inf,inf,inf,inf,inf,27.5,1.5,inf,inf,9.916666666666666,inf,inf,inf,inf,inf,inf,inf,59.0,inf,inf,inf,16.0,inf,inf,inf,inf,4.0,inf,inf,inf,inf,0.7272727272727273,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.0,34.0,inf,inf,inf,inf,inf,inf,inf,inf,13.0,inf,0.9473684210526315,inf,inf,inf,inf,inf,inf,inf,inf,0.7,inf,154.0,inf,inf,inf,inf,inf,inf,inf,inf
09:47:00,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.8,inf,inf,66.0,inf,inf,1.0909090909090908,inf,0.0,inf,inf,inf,inf,inf,inf,inf,56.0,inf,inf,inf,inf,inf,inf,0.0,inf,inf,13.0,inf,24.0,inf,inf,inf,0.0,inf,inf,7.0,inf,0.1,11.0,inf,0.975609756097561,inf,inf,6.5,inf,inf,inf,inf,inf,0.6,5.75,inf,inf,inf,0.0,inf,inf,inf,inf,inf
09:48:00,inf,inf,inf,inf,0.19047619047619047,248.0,inf,0.0,inf,inf,0.0,inf,47.0,inf,inf,inf,49.0,inf,inf,inf,inf,inf,inf,0.0,14.0,inf,0.0,inf,inf,inf,3.6666666666666665,72.0,inf,inf,inf,inf,inf,inf,inf,inf,49.0,inf,2.0,inf,inf,0.0,inf,inf,0.0,46.0,inf,inf,1.75,inf,0.0,inf,inf,0.0,inf,0.0,inf,21.0,inf,0.0,0.0,0.0,inf,inf,inf,5.666666666666667,8.0,inf,7.857142857142857,0.3888888888888889,0.25806451612903225,149.0,inf,inf,inf,inf,0.9122203098106713,0.8571428571428571,inf,inf
09:49:00,0.0,inf,79.0,inf,inf,inf,inf,inf,6.875,inf,inf,inf,inf,2.5,inf,inf,inf,inf,inf,inf,5.214285714285714,inf,inf,inf,1.0,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,92.0,inf,0.0,inf,inf,0.0,inf,inf,inf,0.0,0.0,inf,inf,inf,inf,inf,0.7254901960784313,inf,41.0,inf,inf,0.7702702702702703,0.0,inf,0.0,44.0,inf,inf,0.0,inf,inf,inf,0.0,0.0,0.14285714285714285,14.0,0.05263157894736842,inf,6.3,inf,inf,8.2,inf,inf,55.0,inf,inf,inf,inf
09:50:00,inf,inf,inf,4.2,inf,0.3588235294117647,10.0,0.0,1.3,inf,0.0,inf,inf,35.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,18.5,inf,0.0,inf,inf,0.41379310344827586,inf,1.1,0.0,inf,inf,0.0,inf,0.0,inf,inf,inf,0.0,inf,35.0,inf,11.0,0.0,0.058823529411764705,0.8488372093023255,inf,inf,24.666666666666668,inf,inf,inf,21.25,inf,inf,inf,inf,inf,inf
09:51:00,143.0,32.0,0.6914498141263941,inf,inf,inf,inf,inf,20.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,5.5,inf,inf,0.5957446808510638,1.8571428571428572,inf,inf,16.8,inf,inf,inf,inf,10.0,12.666666666666666,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,21.0,inf,inf,inf,inf,inf,0.0,inf,inf,inf,73.0,inf,inf,inf,inf,16.0,inf,inf,inf,inf,inf,inf,inf,0.0,inf,28.0,inf,0.5185185185185185,1.6666666666666667,inf,inf,inf,inf,1.4,inf,41.5,inf,inf,inf,0.2682926829268293,inf,inf,inf
09:52:00,inf,inf,0.8666666666666667,inf,29.0,inf,inf,inf,inf,1.5,inf,186.0,inf,51.0,inf,inf,inf,inf,inf,inf,1.8181818181818181,inf,inf,inf,inf,inf,inf,inf,inf,inf,20.0,inf,inf,15.0,76.0,inf,inf,inf,inf,inf,inf,inf,0.75,inf,inf,inf,inf,inf,inf,inf,inf,inf,23.0,inf,16.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.8974358974358975,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
09:53:00,inf,inf,0.5721925133689839,inf,inf,inf,inf,inf,inf,0.6,inf,57.0,inf,inf,inf,3.5454545454545454,inf,inf,inf,inf,10.333333333333334,inf,39.0,inf,8.0,inf,inf,0.8,inf,inf,8.2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,10.5,inf,inf,inf,inf,inf,inf,inf,33.0,inf,inf,0.12,inf,33.0,inf,inf,inf,5.0,inf,inf,inf,inf,inf,50.333333333333336,inf,inf,99.0,inf,inf,inf,inf,inf
09:54:00,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,1.6818181818181819,inf,inf,inf,inf,inf,inf,0.41818181818181815,0.4423076923076923,inf,inf,inf,inf,inf,0.8697674418604651,inf,inf,86.0,6.166666666666667,inf,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5.0,inf,inf,0.5066666666666667,inf,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,7.4,inf,inf,inf,inf,inf,inf
09:55:00,119.0,inf,inf,inf,inf,12.0,0.0,inf,inf,4.0,inf,180.0,inf,2.7333333333333334,inf,inf,7.142857142857143,0.997240835632637,4.083333333333333,inf,inf,inf,19.5,0.5,inf,inf,inf,inf,59.0,10.5,inf,inf,inf,inf,inf,62.0,inf,2.5,inf,inf,28.0,inf,inf,inf,inf,inf,49.0,inf,0.14285714285714285,inf,18.0,3.1176470588235294,inf,55.0,inf,inf,inf,inf,inf,1.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
